obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""10.49933""","=""0.00010""","=""""","=""3.33e+10""",AA,"=""(737.7216251)""","=""(855.8093)""","=""1s.2p""","=""1P*""","=""1""","=""1s.3s""","=""1S""","=""0""",3,1,,"=""T5997""","=""""",
"=""""","=""16.2864""","=""0.0003""","=""""","=""3.80e+09""",AA,"=""(853.4184)""","=""(929.5461)""","=""1s.3s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""16.2873""","=""0.0003""","=""""","=""3.80e+09""",AA,"=""(853.4184)""","=""(929.5417)""","=""1s.3s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""16.77320""","=""0.00022""","=""""","=""5.95e+09""",AA,"=""(855.7791)""","=""(929.6971)""","=""1s.3p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""16.78092""","=""0.00022""","=""""","=""7.94e+09""",AA,"=""(855.8141)""","=""(929.6982)""","=""1s.3p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
"=""""","=""16.78115""","=""0.00022""","=""""","=""1.984e+09""",AA,"=""(855.8141)""","=""(929.6971)""","=""1s.3p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""16.7683""","=""0.0003""","=""""","=""3.75e+09""",AA,"=""(855.8093)""","=""(929.7491)""","=""1s.3s""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""17.10666""","=""0.00021""","=""""","=""5.88e+07""",AA,"=""(857.0689)""","=""(929.5461)""","=""1s.3d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""17.10769""","=""0.00021""","=""""","=""2.94e+08""",AA,"=""(857.0689)""","=""(929.5417)""","=""1s.3d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""1""",5,3,,"=""T5997LS""","=""""",
"=""""","=""17.07490""","=""0.00021""","=""""","=""2.98e+08""",AA,"=""(857.1371)""","=""(929.7491)""","=""1s.3d""","=""1D""","=""2""","=""1s.6p""","=""1P*""","=""1""",5,3,,"=""T5997""","=""""",
"=""""","=""17.10932""","=""0.00021""","=""""","=""3.26e+08""",AA,"=""(857.0802)""","=""(929.5461)""","=""1s.3d""","=""3D""","=""3""","=""1s.6p""","=""3P*""","=""2""",7,5,,"=""T5997LS""","=""""",
"=""""","=""17.1733""","=""0.0003""","=""""","=""7.61e+09""",AA,"=""(857.5108)""","=""(929.7068)""","=""1s.3p""","=""1P*""","=""1""","=""1s.6d""","=""1D""","=""2""",3,5,,"=""T5997""","=""""",
"=""""","=""18.9680""","=""0.0004""","=""""","=""6.42e+09""",AA,"=""(853.4184)""","=""(918.7833)""","=""1s.3s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""2""",3,5,,"=""T5997LS""","=""""",
