obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""82.1887""","=""0.0003""","=""82.1888""","=""""","=""""",,"=""1.55959103""","=""16.64489""","=""4p6.5p""","=""2P*""","=""1/2""","=""4p5.5s.5p""","=""4S""","=""3/2""",2,4,,"=""""","=""L6831""",
"=""82.3496""","=""0.0003""","=""82.3496""","=""""","=""""",,"=""1.58904906""","=""16.64489""","=""4p6.5p""","=""2P*""","=""3/2""","=""4p5.5s.5p""","=""4S""","=""3/2""",4,4,,"=""""","=""L6831""",
"=""85.1419""","=""0.0003""","=""85.1421""","=""""","=""""",,"=""2.3997946""","=""16.96183""","=""4p6.4d""","=""2D""","=""3/2""","=""4p5.5s.4d""","=""4P*""","=""5/2""",4,6,,"=""""","=""L6831""",
"=""85.1419""","=""0.0003""","=""85.1417""","=""""","=""""",,"=""2.3997393""","=""16.96183""","=""4p6.4d""","=""2D""","=""5/2""","=""4p5.5s.4d""","=""4P*""","=""5/2""",6,6,,"=""""","=""L6831""",
"=""90.53""","=""0.03""","=""90.4691""","=""""","=""""",,"=""2.9402953""","=""16.64489""","=""4p6.6p""","=""2P*""","=""1/2""","=""4p5.5s.5p""","=""4S""","=""3/2""",2,4,,"=""""","=""L11806""",
"=""296.9912""","=""0.0005""","=""296.9909""","=""""","=""""",,"=""0.0000000""","=""4.174681""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.77p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L3287""",
"=""296.9912""","=""0.0005""","=""296.9909""","=""""","=""""",,"=""0.0000000""","=""4.174681""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.77p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L3287""",
"=""296.9952""","=""0.0005""","=""296.9949""","=""""","=""""",,"=""0.0000000""","=""4.174624""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.76p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L3287""",
"=""296.9952""","=""0.0005""","=""296.9949""","=""""","=""""",,"=""0.0000000""","=""4.174624""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.76p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L3287""",
"=""297.0005""","=""0.0005""","=""297.0002""","=""""","=""""",,"=""0.0000000""","=""4.174549""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.75p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L3287""",
"=""297.0005""","=""0.0005""","=""297.0002""","=""""","=""""",,"=""0.0000000""","=""4.174549""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.75p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L3287""",
"=""297.0062""","=""0.0005""","=""297.0059""","=""""","=""""",,"=""0.0000000""","=""4.174469""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.74p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L3287""",
"=""297.0062""","=""0.0005""","=""297.0059""","=""""","=""""",,"=""0.0000000""","=""4.174469""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.74p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L3287""",
"=""297.0112""","=""0.0005""","=""297.0110""","=""""","=""""",,"=""0.0000000""","=""4.174398""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.73p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L3287""",
"=""297.0112""","=""0.0005""","=""297.0110""","=""""","=""""",,"=""0.0000000""","=""4.174398""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.73p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L3287""",
"=""297.0172""","=""0.0005""","=""297.0170""","=""""","=""""",,"=""0.0000000""","=""4.174314""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.72p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L3287""",
