Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
Al 2S;v=3s2.4s,Al 2Po;v=3s2.3p,6.7385e-09,-3.14265416769468
Al 4P;v=3s.3p2,Al 2S;v=3s2.4s,3086400.0,-0.4553338631469197
Al 2D;v=3s2.3d,Al 2Po;v=3s2.3p,1.4225e-08,-4.02139669936881
Al 2Po;v=3s2.4p,Al 2S;v=3s2.4s,6.2893e-08,-0.94250613397671
Al 2Po;v=3s2.4p,Al 2D;v=3s2.3d,0.00015408,-0.06376360230258005
Al 2S;v=3s2.5s,Al 2Po;v=3s2.3p,2.3474e-08,-4.67278225281531
Al 2S;v=3s2.5s,Al 2Po;v=3s2.4p,1.1111e-07,-0.5876219511439196
Al y2D;v=3s2.nd,Al 2Po;v=3s2.3p,3.9698e-08,-4.82651911234321
Al y2D;v=3s2.nd,Al 2Po;v=3s2.4p,8.4388e-08,-0.7413588106718194
Al 2Po;v=3s2.5p,Al 2S;v=3s2.5s,3.876e-07,-0.32019420436835055
Al 2Po;v=3s2.5p,Al 2S;v=3s2.4s,1e-06,-1.8503222894889801
Al 2Po;v=3s2.5p,Al y2D;v=3s2.nd,2.584e-06,-0.16645734484045072
Al 2Po;v=3s2.5p,Al 2D;v=3s2.3d,1.5898e-05,-0.9715797578148502
Al 2Fo;v=3s2.4f,Al 2D;v=3s2.3d,7.1808e-08,-1.1014378115805998
Al 2Fo;v=3s2.4f,Al y2D;v=3s2.nd,4.6447e-07,-0.2963153986062004
Al 2D;v=3s2.4d,Al 2Po;v=3s2.3p,1.0965e-08,-5.23619064858357
Al 2D;v=3s2.4d,Al 2Po;v=3s2.5p,5.211e-07,-0.2432141913999093
Al 2D;v=3s2.4d,Al 2Po;v=3s2.4p,6.0864e-06,-1.1510303469121794
Al 2D;v=3s2.4d,Al 2Fo;v=3s2.4f,7.8125e-06,-0.11335613763415964
Al 2Fo;v=3s2.5f,Al 2D;v=3s2.3d,1.4426e-07,-1.4128417390614398
Al 2Fo;v=3s2.5f,Al 2D;v=3s2.4d,6.4851e-07,-0.19804778984668037
Al 2Fo;v=3s2.5f,Al y2D;v=3s2.nd,5.4259e-05,-0.6077193260870404
Al 2G;v=3s2.5g,Al 2Fo;v=3s2.4f,2.3392e-07,-0.3169334951703098
Al 2D;v=3s2.5d,Al 2Po;v=3s2.3p,1.236e-08,-5.47580938117195
Al 2D;v=3s2.5d,Al 2Po;v=3s2.6p,2.3501e-06,-0.10307510917195017
Al 2D;v=3s2.5d,Al 2Po;v=3s2.4p,3.6575e-06,-1.3906490795005597
Al 2D;v=3s2.5d,Al 2Fo;v=3s2.5f,3.3783e-05,-0.04157094274169992
Al 2D;v=3s2.5d,Al 2Po;v=3s2.5p,6.0421e-05,-0.4828329239882896
