label,energy_eV
Al II (3s2 1S<0>),5.985769
Al II (3s.3p 3P*<0>),10.6219
Al II (3s.3p 3P*<1>),10.629448
Al II (3s.3p 3P*<2>),10.644807
Al II (3s.3p 1P*<1>),13.40646
