Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""2s2.2p3""","=""4S*""","=""3/2""",4,"=""""","=""0.0000""","=""""","=""0""","=""L8473"""
"=""2s2.2p3""","=""2D*""","=""3/2""",4,"=""""","=""11.0057""","=""+x""","=""""","="""""
"=""2s2.2p3""","=""2D*""","=""5/2""",6,"=""""","=""11.2586""","=""+x""","=""""","="""""
"=""2s2.2p3""","=""2P*""","=""1/2""",2,"=""""","=""17.1070""","=""+x""","=""""","="""""
"=""2s2.2p3""","=""2P*""","=""3/2""",4,"=""""","=""17.4864""","=""+x""","=""""","="""""
"=""2s.2p4""","=""4P""","=""5/2""",6,"=""""","=""51.0744""","=""""","=""""","="""""
"=""2s.2p4""","=""4P""","=""3/2""",4,"=""""","=""52.2219""","=""""","=""""","="""""
"=""2s.2p4""","=""4P""","=""1/2""",2,"=""""","=""52.7957""","=""""","=""""","="""""
"=""2s.2p4""","=""2D""","=""3/2""",4,"=""""","=""70.2809""","=""+x""","=""""","="""""
"=""2s.2p4""","=""2D""","=""5/2""",6,"=""""","=""70.3215""","=""+x""","=""""","="""""
"=""2s.2p4""","=""2S""","=""1/2""",2,"=""""","=""82.0382""","=""+x""","=""""","="""""
"=""2s.2p4""","=""2P""","=""3/2""",4,"=""""","=""85.6663""","=""+x""","=""""","="""""
"=""2s.2p4""","=""2P""","=""1/2""",2,"=""""","=""87.153""","=""+x""","=""""","="""""
"=""2p5""","=""2P*""","=""3/2""",4,"=""""","=""133.6898""","=""+x""","=""""","="""""
"=""2p5""","=""2P*""","=""1/2""",2,"=""""","=""135.5392""","=""+x""","=""""","="""""
"=""2s2.2p2.3s""","=""4P""","=""3/2""",4,"=""""","=""306.096""","=""""","=""""","="""""
"=""2s2.2p2.3s""","=""4P""","=""5/2""",6,"=""""","=""306.953""","=""""","=""""","="""""
"=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""",6,"=""""","=""315.239""","=""+x""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",4,"=""""","=""338.664""","=""+x""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""",6,"=""""","=""340.112""","=""+x""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""",8,"=""""","=""341.557""","=""+x""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""",6,"=""""","=""341.234""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""",4,"=""""","=""341.686""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""",4,"=""""","=""344.987""","=""+x""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""",6,"=""""","=""345.634""","=""+x""","=""""","="""""
"=""2s2.2p2.(1D).3d""","=""2F""","=""7/2""",8,"=""""","=""349.329""","=""+x""","=""""","="""""
"=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""",6,"=""""","=""350.249""","=""+x""","=""""","="""""
"=""2s2.2p2.(1D).3d""","=""2P""","=""3/2""",4,"=""""","=""351.468""","=""+x""","=""""","="""""
"=""Cl XII (2p2 3P<0>)""","=""Limit""","=""---""",,"=""[""","=""530.0""","=""]""","=""0.4""","=""L11770"""
