obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""10873.0""","=""""","=""1.87e+05""",B+,"=""7.639208""","=""7.753238""","=""3s2.3p.(2P*<3/2>).5f""","=""2[9/2]""","=""5""","=""3s2.3p.6d""","=""3F*""","=""4""",11,9,,"=""T6066LS'""","=""""",
"=""""","=""10873.5""","=""""","=""1.75e+04""",C,"=""7.739221""","=""7.853246""","=""3s2.3p.(2P*<3/2>).7p<3/2>""","=""(3/2,3/2)""","=""3""","=""3s2.3p.7d""","=""3F*""","=""3""",7,7,,"=""T6066LS'""","=""""",
"=""""","=""10956.05""","=""""","=""8.59e-02""",E,"=""5.8708445""","=""5.9840096""","=""3s2.3p.3d""","=""1D*""","=""2""","=""3s2.3p.4p""","=""3D""","=""3""",5,7,,"=""T8363c22""","=""""",
"=""""","=""11490.5""","=""""","=""1.01e+05""",B+,"=""7.526402""","=""7.6343040""","=""3s2.3p.(2P*<3/2>).6p<3/2>""","=""(3/2,3/2)""","=""3""","=""3s2.3p.5d""","=""3D*""","=""3""",7,7,,"=""T6066LS'""","=""""",
"=""""","=""11524.5""","=""""","=""2.88e+04""",D+,"=""7.801805""","=""7.909388""","=""3s2.3p.6d""","=""3D*""","=""1""","=""3s2.3p.(2P*<3/2>).7f""","=""2[3/2]""","=""1""",3,3,,"=""T6066LS'""","=""""",
"=""""","=""11736.5""","=""""","=""1.13e+05""",C+,"=""7.338682""","=""7.444321""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""1""","=""3s2.3p.nd""","=""a 3P*""","=""0""",3,1,,"=""T6066LS'""","=""""",
"=""""","=""11750.67""","=""""","=""6.78e+04""",C+,"=""7.0287762""","=""7.1342886""","=""3s2.3p.4d""","=""3P*""","=""2""","=""3s2.3p.5p""","=""3S""","=""1""",5,3,,"=""T6066LS""","=""""",
"=""""","=""11817.3""","=""""","=""4.01e+04""",C+,"=""7.6343040""","=""7.739221""","=""3s2.3p.5d""","=""3D*""","=""3""","=""3s2.3p.(2P*<3/2>).7p<3/2>""","=""(3/2,3/2)""","=""3""",7,7,,"=""T6066LS'""","=""""",
"=""""","=""11881.2""","=""""","=""3.94e+04""",C+,"=""7.029935""","=""7.1342886""","=""3s2.3p.4d""","=""3P*""","=""1""","=""3s2.3p.5p""","=""3S""","=""1""",3,3,,"=""T6066LS""","=""""",
"=""""","=""12195.2""","=""""","=""2.52e+04""",C+,"=""7.338682""","=""7.4403485""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""1""","=""3s2.3p.nd""","=""a 3P*""","=""1""",3,3,,"=""T6066LS'""","=""""",
