obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""152.0076120""","=""0.0000025""","=""""","=""5.8260e+08""",AA,"=""(640.36854123)""","=""(648.52498793)""","=""5s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""152.0722340""","=""0.0000025""","=""""","=""2.1506e+08""",AA,"=""(640.36817657)""","=""(648.52115724)""","=""5p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""152.082977""","=""0.000003""","=""""","=""5.8446e+08""",AA,"=""(640.36854123)""","=""(648.52094601)""","=""5s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""152.1059198""","=""0.0000023""","=""""","=""1.6223e+09""",AA,"=""(640.37514943)""","=""(648.52632451)""","=""5d""","=""2D""","=""3/2""","=""6f""","=""2F*""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""152.1060968""","=""0.0000017""","=""""","=""1.0799e+09""",AA,"=""(640.37516137)""","=""(648.52632697)""","=""5p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""152.1308655""","=""0.0000023""","=""""","=""2.3065e+07""",AA,"=""(640.37514943)""","=""(648.52498793)""","=""5d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""152.1312184""","=""0.0000017""","=""""","=""1.8012e+08""",AA,"=""(640.37516137)""","=""(648.52498096)""","=""5p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""152.1367184""","=""0.0000012""","=""""","=""2.5627e+09""",AA,"=""(640.37747111)""","=""(648.526996068)""","=""5f""","=""2F*""","=""5/2""","=""6g""","=""2G""","=""7/2""",6,8,,"=""T7771""","=""""",
"=""""","=""152.1367736""","=""0.0000023""","=""""","=""1.7382e+09""",AA,"=""(640.37747533)""","=""(648.52699734)""","=""5d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""7/2""",6,8,,"=""T7771""","=""""",
"=""""","=""152.1492103""","=""0.0000018""","=""""","=""4.4735e+06""",AA,"=""(640.37747111)""","=""(648.52632697)""","=""5f""","=""2F*""","=""5/2""","=""6d""","=""2D""","=""5/2""",6,6,,"=""T7771""","=""""",
