obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""49.0579""","=""0.002""","=""49.056795+""","=""(-2)""","=""""",,"=""0.000000""","=""25.273604""","=""5s2.5p4""","=""3P""","=""2""","=""5s2.5p3.(2D*).6d""","=""1F*""","=""3""",5,7,,"=""""","=""L10579""",
"=""49.3092""","=""0.002""","=""49.308230+""","=""(0)""","=""""",,"=""0.000000""","=""25.144727""","=""5s2.5p4""","=""3P""","=""2""","=""5s2.5p3.(2D*).6d""","=""1P*""","=""1""",5,3,,"=""""","=""L10579""",
"=""49.6260""","=""0.002""","=""49.624787+""","=""(2)""","=""""",,"=""0.000000""","=""24.984329""","=""5s2.5p4""","=""3P""","=""2""","=""5s2.5p3.(2D*).6d""","=""3D*""","=""2""",5,5,,"=""""","=""L10579""",
"=""49.7457""","=""0.002""","=""49.74507+""","=""(-2)""","=""""",,"=""1.214346""","=""26.138261""","=""5s2.5p4""","=""3P""","=""1""","=""5s2.5p3.(2P*).6d""","=""3D*""","=""1""",3,3,,"=""""","=""L10579""",
"=""49.8378""","=""0.002""","=""49.837969+""","=""(2)""","=""""",,"=""0.000000""","=""24.877458""","=""5s2.5p4""","=""3P""","=""2""","=""5s2.5p3.(2D*).6d""","=""3D*""","=""3""",5,7,,"=""""","=""L10579""",
"=""49.9923""","=""0.002""","=""49.991639+""","=""(0)""","=""""",,"=""0.000000""","=""24.800987""","=""5s2.5p4""","=""3P""","=""2""","=""5s2.5p3.(2D*).7s""","=""3D*""","=""3""",5,7,,"=""""","=""L10579""",
"=""50.3802""","=""0.002""","=""50.37987+""","=""(-1)""","=""""",,"=""0.000000""","=""24.609869""","=""5s2.5p4""","=""3P""","=""2""","=""5s2.5p3.(2D*).6d""","=""3P*""","=""2""",5,5,,"=""""","=""L10579""",
"=""50.7960""","=""0.002""","=""50.79323+""","=""(-2)""","=""""",,"=""0.000000""","=""24.409591""","=""5s2.5p4""","=""3P""","=""2""","=""5s2.5p3.(2D*).6d""","=""3D*""","=""1""",5,3,,"=""""","=""L10579""",
"=""50.8625""","=""0.002""","=""50.86239+""","=""(2)""","=""""",,"=""0.000000""","=""24.376398""","=""5s2.5p4""","=""3P""","=""2""","=""5s2.5p3.(2D*).6d""","=""3F*""","=""3""",5,7,,"=""""","=""L10579""",
"=""50.9519""","=""0.002""","=""50.95243+""","=""(1)""","=""""",,"=""0.000000""","=""24.333325""","=""5s2.5p4""","=""3P""","=""2""","=""5s2.5p3.(2D*).6d""","=""3G*""","=""3""",5,7,,"=""""","=""L10579""",
"=""51.0252""","=""0.002""","=""51.02622+""","=""(1)""","=""""",,"=""0.000000""","=""24.298134""","=""5s2.5p4""","=""3P""","=""2""","=""5s2.5p3.(2D*).6d""","=""3F*""","=""2""",5,5,,"=""""","=""L10579""",
"=""51.6578""","=""0.002""","=""51.65778+""","=""(-2)""","=""""",,"=""1.214346""","=""25.215415""","=""5s2.5p4""","=""3P""","=""1""","=""5s2.5p3.(2D*).6d""","=""1D*""","=""2""",3,5,,"=""""","=""L10579""",
