obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""545.225""","=""545.2224""","=""400""","=""3.3e+07""",D,"=""13.086491""","=""15.360503""","=""3s2.3p.4p""","=""3P""","=""2""","=""3s2.3p.5s""","=""3P*""","=""2""",5,5,,"=""T1619CA,LS""","=""L3986""",
"=""546.272""","=""""","=""125""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""548.507""","=""548.5042""","=""200""","=""1.5e+07""",D,"=""13.046121""","=""15.306526""","=""3s2.3p.4p""","=""3P""","=""0""","=""3s2.3p.5s""","=""3P*""","=""1""",1,3,,"=""T1619CA,LS""","=""L3986""",
"=""550.126""","=""550.1225""","=""200""","=""3.7e+07""",D,"=""10.802074""","=""13.055830""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.4p""","=""3P""","=""1""",5,3,,"=""T1619CA,LS""","=""L3986""",
"=""550.872""","=""550.8704""","=""200""","=""1.1e+07""",D,"=""13.055830""","=""15.306526""","=""3s2.3p.4p""","=""3P""","=""1""","=""3s2.3p.5s""","=""3P*""","=""1""",3,3,,"=""T1619CA,LS""","=""L3986""",
"=""554.268""","=""554.2678""","=""200""","=""4.5e+07""",D,"=""13.055830""","=""15.292731""","=""3s2.3p.4p""","=""3P""","=""1""","=""3s2.3p.5s""","=""3P*""","=""0""",3,1,,"=""T1619CA,LS""","=""L3986""",
"=""558.482""","=""558.4786""","=""200""","=""1.9e+07""",D,"=""13.086491""","=""15.306526""","=""3s2.3p.4p""","=""3P""","=""2""","=""3s2.3p.5s""","=""3P*""","=""1""",5,3,,"=""T1619CA,LS""","=""L3986""",
"=""558.989""","=""558.9852""","=""250""","=""1.5e+07""",D,"=""13.142480""","=""15.360503""","=""3s2.3p.4p""","=""3S""","=""1""","=""3s2.3p.5s""","=""3P*""","=""2""",3,5,,"=""T1619CA,LS""","=""L3986""",
"=""572.930""","=""572.928""","=""100""","=""1.5e+07""",D,"=""13.142480""","=""15.306526""","=""3s2.3p.4p""","=""3S""","=""1""","=""3s2.3p.5s""","=""3P*""","=""1""",3,3,,"=""T1619CA,LS""","=""L3986""",
"=""""","=""576.604""","=""""","=""1.5e+07""",D,"=""13.142480""","=""15.292731""","=""3s2.3p.4p""","=""3S""","=""1""","=""3s2.3p.5s""","=""3P*""","=""0""",3,1,,"=""T1619CA,LS""","=""""",
"=""602.585""","=""602.585""","=""500""","=""5.1e+07""",D,"=""10.754880""","=""12.812420""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.4p""","=""3D""","=""2""",3,5,,"=""T1619CA,LS""","=""L3986""",
"=""603.571""","=""603.571""","=""400""","=""3.7e+07""",D,"=""10.736728""","=""12.790905""","=""3s2.3p.4s""","=""3P*""","=""0""","=""3s2.3p.4p""","=""3D""","=""1""",1,3,,"=""T1619CA,LS""","=""L3986""",
"=""604.479""","=""604.476""","=""500""","=""6.8e+07""",D,"=""10.802074""","=""12.853177""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.4p""","=""3D""","=""3""",5,7,,"=""T1619CA,LS""","=""L3986""",
"=""605.718""","=""605.718""","=""250""","=""6.9e+07""",D,"=""13.380738""","=""15.427634""","=""3s2.3p.4p""","=""1D""","=""2""","=""3s2.3p.5s""","=""1P*""","=""1""",5,3,,"=""T1619CA""","=""L3986""",
"=""605.954""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""608.951""","=""608.952""","=""350""","=""2.7e+07""",D,"=""10.754880""","=""12.790905""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.4p""","=""3D""","=""1""",3,3,,"=""T1619CA,LS""","=""L3986""",
"=""616.730""","=""616.730""","=""350""","=""1.6e+07""",D,"=""10.802074""","=""12.812420""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.4p""","=""3D""","=""2""",5,5,,"=""T1619CA,LS""","=""L3986""",
"=""623.401""","=""623.402""","=""100""","=""1.7e+06""",E,"=""10.802074""","=""12.790905""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.4p""","=""3D""","=""1""",5,3,,"=""T1619CA,LS""","=""L3986""",
"=""636.903""","=""""","=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""643.710""","=""""","=""250""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""643.809""","=""""","=""130""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""646.178""","=""""","=""600""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""650.526""","=""""","=""600""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""650.977""","=""""","=""600""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""671.513""","=""""","=""150""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""""","=""773.718""","=""""","=""1.1e+07""",D,"=""13.825188""","=""15.427634""","=""3s2.3p.4p""","=""1S""","=""0""","=""3s2.3p.5s""","=""1P*""","=""1""",1,3,,"=""T1619CA""","=""""",
"=""784.779""","=""784.777""","=""250""","=""3.3e+07""",D,"=""11.021355""","=""12.601220""","=""3s2.3p.4s""","=""1P*""","=""1""","=""3s2.3p.4p""","=""1P""","=""1""",3,3,,"=""T1619CA""","=""L3986""",
"=""""","=""21316.5""","=""""","=""6.0e-09""",C,"=""0.000000""","=""0.058163""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p2""","=""3P""","=""2""",1,5,E2,"=""T761""","=""""",
"=""""","=""32870.9""","=""""","=""1.54e-09""",C,"=""0.020445""","=""0.058163""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p2""","=""3P""","=""2""",3,5,E2,"=""T761""","=""""",
"=""""","=""32870.9""","=""""","=""3.80e-04""",A,"=""0.020445""","=""0.058163""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p2""","=""3P""","=""2""",3,5,M1,"=""T335""","=""""",
"=""""","=""60643""","=""""","=""8.05e-05""",A,"=""0.000000""","=""0.020445""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p2""","=""3P""","=""1""",1,3,M1,"=""T335""","=""""",
