obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""18.2222""","=""18.2208""","=""0.0003""","=""70""","=""""",,"=""17.81603""","=""85.8613""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d10.6s""","=""2S""","=""1/2""",2,2,,"=""""","=""L10636""",
"=""18.2922""","=""18.29220""","=""0.00012""","=""600""","=""""",,"=""0.00000""","=""67.7798""","=""3d10.4s""","=""2S""","=""1/2""","=""3d10.5p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L10636""",
"=""18.5525""","=""18.5514""","=""0.0004""","=""130""","=""""",,"=""19.02860""","=""85.8613""","=""3d10.4p""","=""2P*""","=""3/2""","=""3d10.6s""","=""2S""","=""1/2""",4,2,,"=""""","=""L10636""",
"=""19.097""","=""19.099""","=""0.005""","=""""","=""""",,"=""17.81603""","=""82.732""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d9.(2D).4s2""","=""2D""","=""3/2""",2,4,,"=""""","=""L7271""",
"=""19.465""","=""19.463""","=""0.005""","=""""","=""""",,"=""19.02860""","=""82.732""","=""3d10.4p""","=""2P*""","=""3/2""","=""3d9.(2D).4s2""","=""2D""","=""3/2""",4,4,,"=""""","=""L7271""",
"=""19.856""","=""19.856""","=""0.005""","=""""","=""""",,"=""19.02860""","=""81.470""","=""3d10.4p""","=""2P*""","=""3/2""","=""3d9.(2D).4s2""","=""2D""","=""5/2""",4,6,,"=""""","=""L7271""",
"=""20.1061""","=""20.10535""","=""0.00015""","=""10p""","=""""",,"=""17.81603""","=""79.4833""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d10.5d""","=""2D""","=""3/2""",2,4,,"=""""","=""L10636""",
"=""20.4862""","=""20.48588""","=""0.00015""","=""8""","=""""",,"=""19.02860""","=""79.5504""","=""3d10.4p""","=""2P*""","=""3/2""","=""3d10.5d""","=""2D""","=""5/2""",4,6,,"=""""","=""L10636""",
"=""28.50""","=""28.4938""","=""0.0003""","=""""","=""""",,"=""46.3758""","=""89.8884""","=""3d10.4d""","=""2D""","=""3/2""","=""3d10.5f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L4956""",
"=""28.62""","=""28.6023""","=""0.0003""","=""*""","=""""",,"=""46.5408""","=""89.8884""","=""3d10.4d""","=""2D""","=""5/2""","=""3d10.5f""","=""2F*""","=""5/2""",6,6,,"=""""","=""L4956""",
