obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""65.324""","=""0.010""","=""65.322""","=""0.009""","=""660*""","=""""",,"=""85.7324""","=""104.713""","=""2s2.2p.3d""","=""3F*""","=""3""","=""2s2.2p.4f""","=""3F""","=""4""",7,9,,"=""""","=""L11744""",
"=""65.324""","=""0.010""","=""65.33""","=""0.03""","=""660*""","=""""",,"=""98.606""","=""117.583""","=""2s.2p2.(4P).3d""","=""5D""","=""1""","=""2s.2p2.(4P).4f""","=""5F*""","=""2""",3,5,,"=""""","=""L11744""",
"=""65.324""","=""0.010""","=""65.340""","=""0.013""","=""660*""","=""""",,"=""98.629""","=""117.605""","=""2s.2p2.(4P).3d""","=""5D""","=""3""","=""2s.2p2.(4P).4f""","=""5F*""","=""4""",7,9,,"=""""","=""L11744""",
"=""65.369""","=""0.010""","=""65.36""","=""0.03""","=""630*""","=""""",,"=""98.613""","=""117.583""","=""2s.2p2.(4P).3d""","=""5D""","=""2""","=""2s.2p2.(4P).4f""","=""5F*""","=""2""",5,5,,"=""""","=""L11744""",
"=""65.369""","=""0.010""","=""65.368""","=""0.009""","=""630*""","=""""",,"=""85.735""","=""104.703""","=""2s2.2p.3d""","=""1D*""","=""2""","=""2s2.2p.4f""","=""3F""","=""3""",5,7,,"=""""","=""L11744""",
"=""65.369""","=""0.010""","=""65.377""","=""0.017""","=""630*""","=""""",,"=""98.629""","=""117.594""","=""2s.2p2.(4P).3d""","=""5D""","=""3""","=""2s.2p2.(4P).4f""","=""5F*""","=""3""",7,7,,"=""""","=""L11744""",
"=""65.369""","=""0.010""","=""65.377""","=""0.009""","=""630*""","=""""",,"=""98.649""","=""117.613""","=""2s.2p2.(4P).3d""","=""5D""","=""4""","=""2s.2p2.(4P).4f""","=""5F*""","=""5""",9,11,,"=""""","=""L11744""",
"=""65.410""","=""0.010""","=""65.406""","=""0.009""","=""230*""","=""""",,"=""98.649""","=""117.605""","=""2s.2p2.(4P).3d""","=""5D""","=""4""","=""2s.2p2.(4P).4f""","=""5F*""","=""4""",9,9,,"=""""","=""L11744""",
"=""65.410""","=""0.010""","=""65.416""","=""0.008""","=""230*""","=""""",,"=""85.735""","=""104.689""","=""2s2.2p.3d""","=""1D*""","=""2""","=""2s2.2p.4f""","=""1F""","=""3""",5,7,,"=""""","=""L11744""",
"=""66.079""","=""0.010""","=""66.080""","=""0.007""","=""210""","=""""",,"=""80.7307""","=""99.493""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s2.2p.4s""","=""3P*""","=""2""",3,5,,"=""""","=""L11744""",
"=""66.127""","=""0.010""","=""66.122""","=""0.009""","=""180""","=""""",,"=""98.649""","=""117.399""","=""2s.2p2.(4P).3d""","=""5D""","=""4""","=""2s.2p2.(4P).4f""","=""5G*""","=""5""",9,11,,"=""""","=""L11744""",
"=""66.273""","=""0.010""","=""66.274""","=""0.007""","=""470""","=""""",,"=""80.7855""","=""99.493""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s2.2p.4s""","=""3P*""","=""2""",5,5,,"=""""","=""L11744""",
"=""66.351""","=""0.010""","=""66.352""","=""0.007""","=""170""","=""""",,"=""80.6910""","=""99.377""","=""2s2.2p.3p""","=""3P""","=""0""","=""2s2.2p.4s""","=""3P*""","=""1""",1,3,,"=""""","=""L11744""",
"=""66.493""","=""0.010""","=""66.493""","=""0.007""","=""140""","=""""",,"=""80.7307""","=""99.377""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s2.2p.4s""","=""3P*""","=""1""",3,3,,"=""""","=""L11744""",
"=""66.628""","=""0.010""","=""66.625""","=""0.009""","=""180""","=""""",,"=""80.7307""","=""99.340""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s2.2p.4s""","=""3P*""","=""0""",3,1,,"=""""","=""L11744""",
"=""66.695""","=""0.010""","=""66.689""","=""0.007""","=""190""","=""""",,"=""80.7855""","=""99.377""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s2.2p.4s""","=""3P*""","=""1""",5,3,,"=""""","=""L11744""",
"=""66.786""","=""0.010""","=""66.788""","=""0.009""","=""130""","=""""",,"=""98.629""","=""117.193""","=""2s.2p2.(4P).3d""","=""5D""","=""3""","=""2s.2p2.(4P).4f""","=""5D*""","=""4""",7,9,,"=""""","=""L11744""",
"=""67.063""","=""0.010""","=""67.058""","=""0.009""","=""90""","=""""",,"=""86.569""","=""105.058""","=""2s2.2p.3d""","=""3D*""","=""1""","=""2s2.2p.4f""","=""3D""","=""1""",3,3,,"=""""","=""L11744""",
"=""67.145""","=""0.010""","=""67.146""","=""0.009""","=""110""","=""""",,"=""86.593""","=""105.058""","=""2s2.2p.3d""","=""3D*""","=""2""","=""2s2.2p.4f""","=""3D""","=""1""",5,3,,"=""""","=""L11744""",
"=""67.334""","=""0.010""","=""67.331""","=""0.008""","=""140""","=""""",,"=""86.593""","=""105.007""","=""2s2.2p.3d""","=""3D*""","=""2""","=""2s2.2p.4f""","=""3D""","=""2""",5,5,,"=""""","=""L11744""",
"=""67.518""","=""0.010""","=""67.524""","=""0.009""","=""280""","=""""",,"=""86.631""","=""104.992""","=""2s2.2p.3d""","=""3D*""","=""3""","=""2s2.2p.4f""","=""3D""","=""3""",7,7,,"=""""","=""L11744""",
"=""67.977""","=""0.010""","=""67.974""","=""0.009""","=""240*""","=""""",,"=""86.593""","=""104.833""","=""2s2.2p.3d""","=""3D*""","=""2""","=""2s2.2p.4f""","=""3G""","=""3""",5,7,,"=""""","=""L11744""",
"=""67.977""","=""0.010""","=""67.979""","=""0.018""","=""240*""","=""""",,"=""99.044""","=""117.283?""","=""2s.2p2.(4P).3d""","=""5P""","=""2""","=""2s.2p2.(4P).4f""","=""3D*""","=""2""",5,5,,"=""""","=""L11744""",
"=""68.047""","=""0.010""","=""68.046""","=""0.009""","=""250""","=""""",,"=""86.631""","=""104.851""","=""2s2.2p.3d""","=""3D*""","=""3""","=""2s2.2p.4f""","=""3G""","=""4""",7,9,,"=""""","=""L11744""",
"=""68.077""","=""0.010""","=""68.078""","=""0.014""","=""360bl*""","=""""",,"=""99.070""","=""117.282""","=""2s.2p2.(4P).3d""","=""5P""","=""1""","=""2s.2p2.(4P).4f""","=""5D*""","=""1""",3,3,,"=""""","=""L11744""",
"=""68.077""","=""0.010""","=""68.080""","=""0.014""","=""360bl*""","=""""",,"=""99.021""","=""117.233""","=""2s.2p2.(4P).3d""","=""5P""","=""3""","=""2s.2p2.(4P).4f""","=""5D*""","=""3""",7,7,,"=""""","=""L11744""",
"=""68.167""","=""0.010""","=""68.167""","=""0.009""","=""260""","=""""",,"=""99.044""","=""117.233""","=""2s.2p2.(4P).3d""","=""5P""","=""2""","=""2s.2p2.(4P).4f""","=""5D*""","=""3""",5,7,,"=""""","=""L11744""",
"=""68.226""","=""0.010""","=""68.226""","=""0.009""","=""610""","=""""",,"=""99.021""","=""117.193""","=""2s.2p2.(4P).3d""","=""5P""","=""3""","=""2s.2p2.(4P).4f""","=""5D*""","=""4""",7,9,,"=""""","=""L11744""",
"=""68.393""","=""0.010""","=""68.393""","=""0.009""","=""700""","=""""",,"=""86.569""","=""104.697""","=""2s2.2p.3d""","=""3D*""","=""1""","=""2s2.2p.4f""","=""3F""","=""2""",3,5,,"=""""","=""L11744""",
"=""68.476""","=""0.020""","=""68.464""","=""0.009""","=""830bl""","=""""",,"=""86.593""","=""104.703""","=""2s2.2p.3d""","=""3D*""","=""2""","=""2s2.2p.4f""","=""3F""","=""3""",5,7,,"=""""","=""L11744""",
"=""68.564""","=""0.010""","=""68.567""","=""0.009""","=""800""","=""""",,"=""86.631""","=""104.713""","=""2s2.2p.3d""","=""3D*""","=""3""","=""2s2.2p.4f""","=""3F""","=""4""",7,9,,"=""""","=""L11744""",
"=""68.610""","=""0.010""","=""68.605""","=""0.009""","=""190*""","=""""",,"=""86.631""","=""104.703""","=""2s2.2p.3d""","=""3D*""","=""3""","=""2s2.2p.4f""","=""3F""","=""3""",7,7,,"=""""","=""L11744""",
"=""68.610""","=""0.010""","=""68.609""","=""0.009""","=""190*""","=""""",,"=""87.007""","=""105.078""","=""2s2.2p.3d""","=""3P*""","=""2""","=""2s2.2p.4f""","=""1D""","=""2""",5,5,,"=""""","=""L11744""",
"=""68.782""","=""0.010""","=""68.777""","=""0.009""","=""200""","=""""",,"=""87.051""","=""105.078""","=""2s2.2p.3d""","=""3P*""","=""1""","=""2s2.2p.4f""","=""1D""","=""2""",3,5,,"=""""","=""L11744""",
"=""68.849""","=""0.010""","=""68.854""","=""0.009""","=""210""","=""""",,"=""87.051""","=""105.058""","=""2s2.2p.3d""","=""3P*""","=""1""","=""2s2.2p.4f""","=""3D""","=""1""",3,3,,"=""""","=""L11744""",
"=""68.879""","=""0.010""","=""68.880""","=""0.009""","=""210""","=""""",,"=""87.007""","=""105.007""","=""2s2.2p.3d""","=""3P*""","=""2""","=""2s2.2p.4f""","=""3D""","=""2""",5,5,,"=""""","=""L11744""",
"=""68.945""","=""0.010""","=""68.938""","=""0.010""","=""1200*""","=""""",,"=""87.007""","=""104.992""","=""2s2.2p.3d""","=""3P*""","=""2""","=""2s2.2p.4f""","=""3D""","=""3""",5,7,,"=""""","=""L11744""",
"=""68.945""","=""0.010""","=""68.941""","=""0.024""","=""1200*""","=""""",,"=""87.074""","=""105.058""","=""2s2.2p.3d""","=""3P*""","=""0""","=""2s2.2p.4f""","=""3D""","=""1""",1,3,,"=""""","=""L11744""",
"=""69.055""","=""0.010""","=""69.049""","=""0.009""","=""680""","=""""",,"=""87.051""","=""105.007""","=""2s2.2p.3d""","=""3P*""","=""1""","=""2s2.2p.4f""","=""3D""","=""2""",3,5,,"=""""","=""L11744""",
"=""69.127""","=""0.010""","=""69.126""","=""0.014""","=""230*""","=""""",,"=""99.296""","=""117.233""","=""2s.2p2.(4P).3d""","=""3P""","=""2""","=""2s.2p2.(4P).4f""","=""5D*""","=""3""",5,7,,"=""""","=""L11744""",
"=""69.127""","=""0.010""","=""69.128""","=""0.014""","=""230*""","=""""",,"=""99.347""","=""117.283?""","=""2s.2p2.(4P).3d""","=""3P""","=""1""","=""2s.2p2.(4P).4f""","=""3D*""","=""2""",3,5,,"=""""","=""L11744""",
"=""69.184""","=""0.010""","=""69.185""","=""0.010""","=""390""","=""""",,"=""99.296""","=""117.217?""","=""2s.2p2.(4P).3d""","=""3P""","=""2""","=""2s.2p2.(4P).4f""","=""3D*""","=""3""",5,7,,"=""""","=""L11744""",
"=""69.226""","=""0.015""","=""69.228""","=""0.014""","=""180""","=""""",,"=""99.347""","=""117.257""","=""2s.2p2.(4P).3d""","=""3P""","=""1""","=""2s.2p2.(4P).4f""","=""5D*""","=""2""",3,5,,"=""""","=""L11744""",
"=""69.823""","=""0.010""","=""69.823""","=""0.010""","=""80""","=""""",,"=""99.882""","=""117.639""","=""2s.2p2.(4P).3d""","=""3F""","=""2""","=""2s.2p2.(4P).4f""","=""3F*""","=""2""",5,5,,"=""""","=""L11744""",
"=""69.944""","=""0.010""","=""69.943""","=""0.010""","=""110""","=""""",,"=""99.917""","=""117.644""","=""2s.2p2.(4P).3d""","=""3F""","=""3""","=""2s.2p2.(4P).4f""","=""3F*""","=""3""",7,7,,"=""""","=""L11744""",
"=""70.129""","=""0.010""","=""70.129""","=""0.010""","=""120""","=""""",,"=""99.974""","=""117.654""","=""2s.2p2.(4P).3d""","=""3F""","=""4""","=""2s.2p2.(4P).4f""","=""3F*""","=""4""",9,9,,"=""""","=""L11744""",
