Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""5s2.5p.(2P*<1/2>).5g""","=""(1/2,7/2)*""","=""3""",7,"=""""","=""6.7980779""","=""""","=""0.0000015""","=""  99     or  :        5s2.5p.5g  3G*  ""","=""L3149,L3936"""
"=""5s2.5p.7p""","=""1P""","=""1""",3,"=""""","=""6.8179445""","=""""","=""0.0000005""","=""                                      ""","=""L3149"""
"=""5s2.5p.7d""","=""b 3D*""","=""1""",3,"=""""","=""6.8282058""","=""""","=""0.0000005""","=""  20         :    20  5s2.5p.9s  3P*  ""","=""L3149,L6407"""
"=""5s2.5p.9s""","=""3P*""","=""0""",1,"=""""","=""6.8354386""","=""""","=""0.0000006""","=""  96                                  ""","=""L3149,L6407"""
"=""5s2.5p.9s""","=""3P*""","=""1""",3,"=""""","=""6.8385631""","=""""","=""0.0000005""","=""  43         :    19  5s2.5p.9s  1P*  ""","=""L3149,L6407"""
"=""5s2.5p.9s""","=""3P*""","=""2""",5,"=""""","=""7.3615""","=""""","=""0.0003""","=""  98                                  ""","=""L3149,L6407"""
"=""5s2.5p.6d""","=""3P*""","=""2""",5,"=""""","=""6.8558615""","=""""","=""0.0000005""","=""  44         :    24  5s2.5p.6d  1D*  ""","=""L3149,L6407"""
"=""5s2.5p.6d""","=""3P*""","=""0""",1,"=""""","=""6.896237""","=""""","=""0.000009""","=""  87         :     7  5s.5p3     3P*  ""","=""L3149,L6407"""
"=""5s2.5p.6d""","=""3P*""","=""1""",3,"=""""","=""6.9044788""","=""""","=""0.0000006""","=""  57         :    15  5s2.5p.6d  3D*  ""","=""L3149,L6407"""
"=""5s2.5p.7p""","=""3S""","=""1""",3,"=""""","=""6.8654805""","=""""","=""0.0000005""","=""                                      ""","=""L3149"""
"=""5s2.5p.7p""","=""1D""","=""2""",5,"=""""","=""6.8812436""","=""""","=""0.0000005""","=""                                      ""","=""L3149"""
"=""5s2.5p.8d""","=""a 3F*""","=""3""",7,"=""""","=""6.9110237""","=""""","=""0.0000007""","=""  25         :    21  5s2.5p.8d  1F*  ""","=""L3149,L6407"""
"=""5s2.5p.9p""","=""3D""","=""1""",3,"=""""","=""6.9123605""","=""""","=""0.0000007""","=""                                      ""","=""L3149"""
"=""5s2.5p.9p""","=""3D""","=""2""",5,"=""""","=""6.9292719""","=""""","=""0.0000006""","=""                                      ""","=""L3149"""
