State,Lifetime /s,Energy /eV
Cr a7S;v=3d5(6S)4s,,0.0
Cr t3Go;v=3d5(2F{1})4p,1.5625e-08,7.13599389019965
Cr r5Do;v=3d4.4s.5p,7.14286e-09,7.22718216454059
Cr u3Do;v=3d5(4F)4p,2.43902e-06,7.2808164915017
Cr t3Ho;v=3d5(2H)4p,3.57143e-08,7.28120083365052
Cr w3Io;v=3d4(3H)4s.4p(1Po),1.33333e-08,7.42451086262496
Cr x1Ho;v=3d5(2G{1})4p,9.09091e-08,7.43956219709809
Cr x3So;v=3d4(3P{1})4s.4p(1Po),1.20482e-07,7.44930713029075
Cr x1Io;v=3d5(2H)4p,1.68919e-08,7.49359326434185
Cr s3Go;v=3d5(2G{1})4p,2.86533e-08,7.50135449612124
Cr s3Ho;v=3d5(2G{1})4p,1.03093e-07,7.58661646249007
Cr e5H;v=3d4.4s.5s,2.04082e-08,8.05137290734999
Cr z7Fo;v=3d4(5D)4s.4p(3Po),,3.0959494057
Cr a1I;v=3d4.4s2,,3.979465938
Cr a3F;v=3d4.4s2,,3.0921682228
Cr a3H;v=3d4.4s2,,2.9673515107
Cr a3P;v=3d4.4s2,,2.8718070776
Cr a5D;v=3d4.4s2,,0.9609479241
Cr b3G;v=3d4.4s2,,3.421542861
Cr c3D;v=3d4.4s2,,4.2037780833
Cr b3D;v=3d5(2D{3})4s,,3.8445337
Cr b3F;v=3d5(2F{1})4s,,4.096339575
Cr d3F;v=3d5(2F{2})4s,,4.5317826285
Cr c3G;v=3d5(2G{2})4s,,4.6128312006
Cr a1H;v=3d5(2H)4s,,4.7779421082
Cr b3H;v=3d5(2H)4s,,4.4472673893
Cr a3I;v=3d5(2I)4s,,3.849367286
Cr b1I;v=3d5(2I)4s,,4.1859400451
Cr a3D;v=3d5(4D)4s,,3.550449048
Cr b5D;v=3d5(4D)4s,,3.00990172
Cr a5F;v=3d5(4F)4s,,3.8871103793
Cr a3G;v=3d5(4G)4s,,3.0789272267
Cr a5G;v=3d5(4G)4s,,2.5437774634
Cr a5P;v=3d5(4P)4s,,2.7078528044
Cr b3P;v=3d5(4P)4s,,3.3677181359
Cr a5S;v=3d5(6S)4s,,0.9414087008
Cr e5S;v=3d5(6S)5s,,4.6968347564
