Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
Cr z7Po;v=3d5(6S)4p,Cr a7S;v=3d5(6S)4s,3.1646e-08,-2.88938508975629
Cr z7Po;v=3d5(6S)4p,Cr a5S;v=3d5(6S)4s,3.4483e-05,-1.9479763889562898
Cr z7Po;v=3d5(6S)4p,Cr a5D;v=3d4.4s2,0.00016667,-1.9284371656562898
Cr z5Po;v=3d5(6S)4p,Cr a5S;v=3d5(6S)4s,1.9646e-08,-2.38152673095881
Cr z5Po;v=3d5(6S)4p,Cr a5D;v=3d4.4s2,1.0989e-07,-2.3619875076588097
Cr z5Po;v=3d5(6S)4p,Cr a7S;v=3d5(6S)4s,6.25e-06,-3.32293543175881
Cr z7Do;v=3d4(5D)4s.4p(3Po),Cr a5S;v=3d5(6S)4s,6.2893e-06,-2.4432942337143
Cr z7Do;v=3d4(5D)4s.4p(3Po),Cr a7S;v=3d5(6S)4s,6.6667e-05,-3.3847029345143
Cr z7Do;v=3d4(5D)4s.4p(3Po),Cr a5D;v=3d4.4s2,0.00017544,-2.4237550104143
Cr y7Po;v=3d4(5D)4s.4p(3Po),Cr a7S;v=3d5(6S)4s,6.1728e-09,-3.43785373425592
Cr y7Po;v=3d4(5D)4s.4p(3Po),Cr a5S;v=3d5(6S)4s,6.2112e-06,-2.4964450334559203
Cr y7Po;v=3d4(5D)4s.4p(3Po),Cr a5D;v=3d4.4s2,2.5e-05,-2.47690581015592
Cr y5Po;v=3d4(5D)4s.4p(3Po),Cr a5D;v=3d4.4s2,9.2593e-08,-2.68669463274234
Cr y5Po;v=3d4(5D)4s.4p(3Po),Cr a5S;v=3d5(6S)4s,4.1667e-07,-2.7062338560423402
Cr y5Po;v=3d4(5D)4s.4p(3Po),Cr a7S;v=3d5(6S)4s,1.0101e-05,-3.64764255684234
Cr z5Fo;v=3d4(5D)4s.4p(3Po),Cr a5D;v=3d4.4s2,1.0984e-07,-2.85610273343503
Cr z5Do;v=3d4(5D)4s.4p(3Po),Cr a5D;v=3d4.4s2,1.0309e-07,-3.1723791275121895
Cr z3Po;v=3d4(5D)4s.4p(3Po),Cr a5D;v=3d4.4s2,1.4286e-07,-3.22497201123133
Cr e7S;v=3d5(6S)5s,Cr z7Po;v=3d5(6S)4p,4.417e-08,-1.6850055729611602
Cr y5Fo;v=3d4(5D)4s.4p(1Po),Cr a5D;v=3d4.4s2,2.907e-09,-4.11068229411955
