obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""63.0544""","=""0.0007""","=""63.0547""","=""0.0004""","=""310""","=""""",,"=""85.96780""","=""105.63076""","=""3d9.4s""","=""(5/2,1/2)""","=""2""","=""3d9.4p""","=""(3/2,1/2)*""","=""2""",5,5,,"=""""","=""L12118""",
"=""63.5576""","=""0.0007""","=""63.5571""","=""0.0004""","=""280""","=""""",,"=""87.34862""","=""106.85615""","=""3d9.4s""","=""(3/2,1/2)""","=""2""","=""3d9.4p""","=""(5/2,3/2)*""","=""3""",5,7,,"=""""","=""L12118""",
"=""64.0310""","=""0.0007""","=""64.0313""","=""0.0004""","=""300""","=""""",,"=""85.96780""","=""105.33085""","=""3d9.4s""","=""(5/2,1/2)""","=""2""","=""3d9.4p""","=""(5/2,3/2)*""","=""1""",5,3,,"=""""","=""L12118""",
"=""64.1383""","=""0.0007""","=""64.1384""","=""0.0004""","=""170""","=""""",,"=""87.34862""","=""106.67934""","=""3d9.4s""","=""(3/2,1/2)""","=""2""","=""3d9.4p""","=""(5/2,3/2)*""","=""2""",5,5,,"=""""","=""L12118""",
"=""64.3198""","=""0.0007""","=""64.3200""","=""0.0006""","=""250""","=""""",,"=""86.87285""","=""106.14901""","=""3d9.4s""","=""(3/2,1/2)""","=""1""","=""3d9.4p""","=""(3/2,3/2)*""","=""0""",3,1,,"=""""","=""L12118""",
"=""64.9516""","=""0.0007""","=""64.9515""","=""0.0005""","=""310""","=""""",,"=""85.59436""","=""104.68309""","=""3d9.4s""","=""(5/2,1/2)""","=""3""","=""3d9.4p""","=""(5/2,1/2)*""","=""3""",7,7,,"=""""","=""L12118""",
"=""66.0967""","=""0.0007""","=""66.0970""","=""0.0004""","=""300""","=""""",,"=""86.87285""","=""105.63076""","=""3d9.4s""","=""(3/2,1/2)""","=""1""","=""3d9.4p""","=""(3/2,1/2)*""","=""2""",3,5,,"=""""","=""L12118""",
"=""66.2473""","=""0.0015""","=""66.2475""","=""0.0007""","=""410bl(Kr VII)""","=""""",,"=""85.96780""","=""104.68309""","=""3d9.4s""","=""(5/2,1/2)""","=""2""","=""3d9.4p""","=""(5/2,1/2)*""","=""3""",5,7,,"=""""","=""L12118""",
"=""67.1712""","=""0.0008""","=""67.1710""","=""0.0005""","=""39""","=""""",,"=""86.87285""","=""105.33085""","=""3d9.4s""","=""(3/2,1/2)""","=""1""","=""3d9.4p""","=""(5/2,3/2)*""","=""1""",3,3,,"=""""","=""L12118""",
"=""67.3919""","=""0.0007""","=""67.3923""","=""0.0005""","=""380""","=""""",,"=""85.59436""","=""103.99175""","=""3d9.4s""","=""(5/2,1/2)""","=""3""","=""3d9.4p""","=""(5/2,1/2)*""","=""2""",7,5,,"=""""","=""L12118""",
"=""67.8176""","=""0.0007""","=""67.8171""","=""0.0005""","=""120""","=""""",,"=""87.34862""","=""105.63076""","=""3d9.4s""","=""(3/2,1/2)""","=""2""","=""3d9.4p""","=""(3/2,1/2)*""","=""2""",5,5,,"=""""","=""L12118""",
"=""68.9474""","=""0.0007""","=""68.9482""","=""0.0005""","=""72""","=""""",,"=""87.34862""","=""105.33085""","=""3d9.4s""","=""(3/2,1/2)""","=""2""","=""3d9.4p""","=""(5/2,3/2)*""","=""1""",5,3,,"=""""","=""L12118""",
"=""74.4962""","=""0.0007""","=""74.4957""","=""0.0006""","=""15""","=""""",,"=""87.34862""","=""103.99175""","=""3d9.4s""","=""(3/2,1/2)""","=""2""","=""3d9.4p""","=""(5/2,1/2)*""","=""2""",5,5,,"=""""","=""L12118""",
