obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""273.413950023""","=""0.000000015""","=""""","=""1.2535e+06""",AA,"=""(48.371512275660)""","=""(52.90618208394)""","=""3d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""1/2""",4,2,,"=""T7771""","=""""",
"=""""","=""273.415845425""","=""0.000000022""","=""""","=""3.4360e+07""",AA,"=""(48.371583992058)""","=""(52.9062223646)""","=""3d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""7/2""",6,8,,"=""T7771""","=""""",
"=""""","=""273.416115677""","=""0.000000022""","=""""","=""2.2905e+06""",AA,"=""(48.371583992058)""","=""(52.9062178825)""","=""3d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""5/2""",6,6,,"=""T7771""","=""""",
"=""""","=""273.416652463""","=""0.000000015""","=""""","=""1.1277e+06""",AA,"=""(48.371583992058)""","=""(52.90620897983)""","=""3d""","=""2D""","=""5/2""","=""6p""","=""2P*""","=""3/2""",6,4,,"=""T7771""","=""""",
"=""""","=""320.38725141""","=""0.00000006""","=""""","=""4.5253e+07""",AA,"=""(48.37129745992)""","=""(52.2411205533)""","=""3p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""320.38867740""","=""0.00000005""","=""""","=""2.6220e+07""",AA,"=""(48.3713147616)""","=""(52.241120631161)""","=""3s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""320.39078241""","=""0.00000004""","=""""","=""4.8288e+06""",AA,"=""(48.37129745992)""","=""(52.2410779043)""","=""3p""","=""2P*""","=""1/2""","=""5s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""320.39252530""","=""0.00000005""","=""""","=""2.6224e+07""",AA,"=""(48.3713147616)""","=""(52.24107415495)""","=""3s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""320.40375694""","=""0.00000004""","=""""","=""6.7879e+07""",AA,"=""(48.371512275660)""","=""(52.2411360160)""","=""3d""","=""2D""","=""3/2""","=""5f""","=""2F*""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""320.40378392""","=""0.00000006""","=""""","=""5.4301e+07""",AA,"=""(48.37151262966)""","=""(52.2411360441)""","=""3p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""320.4050308009""","=""0.0000000022""","=""""","=""2.3944e+05""",AA,"=""(48.371512275660)""","=""(52.241120631161)""","=""3d""","=""2D""","=""3/2""","=""5p""","=""2P*""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""320.40506656""","=""0.00000006""","=""""","=""9.0502e+06""",AA,"=""(48.37151262966)""","=""(52.2411205533)""","=""3p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""320.40859795""","=""0.00000003""","=""""","=""9.6612e+06""",AA,"=""(48.37151262966)""","=""(52.2410779043)""","=""3p""","=""2P*""","=""3/2""","=""5s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
"=""""","=""320.408879095""","=""0.000000004""","=""""","=""2.3958e+06""",AA,"=""(48.371512275660)""","=""(52.24107415495)""","=""3d""","=""2D""","=""3/2""","=""5p""","=""2P*""","=""1/2""",4,2,,"=""T7771""","=""""",
"=""""","=""320.40905382""","=""0.00000004""","=""""","=""7.2724e+07""",AA,"=""(48.371583992058)""","=""(52.2411437612)""","=""3d""","=""2D""","=""5/2""","=""5f""","=""2F*""","=""7/2""",6,8,,"=""T7771""","=""""",
"=""""","=""320.40969514""","=""0.00000004""","=""""","=""4.8481e+06""",AA,"=""(48.371583992058)""","=""(52.2411360160)""","=""3d""","=""2D""","=""5/2""","=""5f""","=""2F*""","=""5/2""",6,6,,"=""T7771""","=""""",
"=""""","=""320.4109690558""","=""0.0000000021""","=""""","=""2.1553e+06""",AA,"=""(48.371583992058)""","=""(52.241120631161)""","=""3d""","=""2D""","=""5/2""","=""5p""","=""2P*""","=""3/2""",6,4,,"=""T7771""","=""""",
