obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""2939.915""","=""2939.92""","=""6""","=""4.14e+06""",A,"=""13.501882""","=""13.923608""","=""2p6.6d""","=""2D""","=""5/2""","=""2p6.7f""","=""2F*""","=""7/2""",6,8,,"=""c31""","=""L6692""",
"=""2940.091""","=""2940.08""","=""4""","=""3.85e+06""",A,"=""13.501904""","=""13.923608""","=""2p6.6d""","=""2D""","=""3/2""","=""2p6.7f""","=""2F*""","=""5/2""",4,6,,"=""c31""","=""L6692""",
"=""3050.775""","=""3050.77""","=""18""","=""6.05e+06""",A,"=""13.095501""","=""13.501904""","=""2p6.6p""","=""2P*""","=""1/2""","=""2p6.6d""","=""2D""","=""3/2""",2,4,,"=""c31""","=""L6692""",
"=""3057.656""","=""3057.66""","=""3""","=""1.21e+06""",A,"=""13.096416""","=""13.501904""","=""2p6.6p""","=""2P*""","=""3/2""","=""2p6.6d""","=""2D""","=""3/2""",4,4,,"=""c31""","=""L6692""",
"=""3057.827""","=""3057.82""","=""30""","=""7.24e+06""",A,"=""13.096416""","=""13.501882""","=""2p6.6p""","=""2P*""","=""3/2""","=""2p6.6d""","=""2D""","=""5/2""",4,6,,"=""c31""","=""L6692""",
"=""3081.238""","=""3081.22""","=""10*""","=""""",,"=""13.522004""","=""13.924391""","=""2p6.6f""","=""2F*""","=""5/2""","=""2p6.7g""","=""2G""","=""7/2""",6,8,,"=""""","=""L6692""",
"=""3081.238""","=""3081.25""","=""10*""","=""""",,"=""13.522008""","=""13.924391""","=""2p6.6f""","=""2F*""","=""7/2""","=""2p6.7g""","=""2G""","=""9/2""",8,10,,"=""""","=""L6692""",
"=""3089.259""","=""3089.27""","=""20""","=""""",,"=""13.523211""","=""13.924549""","=""2p6.6g""","=""2G""","=""9/2""","=""2p6.7h""","=""2H*""","=""11/2""",10,12,,"=""""","=""L6692""",
"=""3090.730""","=""3090.73""","=""50""","=""""",,"=""13.523449""","=""13.924597""","=""2p6.6h""","=""2H*""","=""11/2""","=""2p6.7i""","=""2I""","=""9/2 or 11/2 or 13/2""",12,10,,"=""""","=""L6692""",
"=""3096.53""","=""3096.53""","=""1""","=""""",,"=""13.523211""","=""13.923608""","=""2p6.6g""","=""2G""","=""9/2""","=""2p6.7f""","=""2F*""","=""7/2""",10,8,,"=""""","=""L6692""",
"=""3162.570""","=""3162.57""","=""1""","=""3.38e+06""",A,"=""13.095501""","=""13.487538""","=""2p6.6p""","=""2P*""","=""1/2""","=""2p6.7s""","=""2S""","=""1/2""",2,2,,"=""c31""","=""L6692""",
"=""3169.967""","=""3169.96""","=""30""","=""6.75e+06""",A,"=""13.096416""","=""13.487538""","=""2p6.6p""","=""2P*""","=""3/2""","=""2p6.7s""","=""2S""","=""1/2""",4,2,,"=""c31""","=""L6692""",
"=""3189.939""","=""3189.95""","=""1""","=""5.05e+05""",A,"=""13.522004""","=""13.910676""","=""2p6.6f""","=""2F*""","=""5/2""","=""2p6.7d""","=""2D""","=""3/2""",6,4,,"=""c31""","=""L6692""",
"=""""","=""3190.07""","=""""","=""2.39e+04""",B+,"=""13.522004""","=""13.910661""","=""2p6.6f""","=""2F*""","=""5/2""","=""2p6.7d""","=""2D""","=""5/2""",6,6,,"=""c31""","=""""",
"=""3190.092""","=""3190.10""","=""2""","=""4.78e+05""",A,"=""13.522008""","=""13.910661""","=""2p6.6f""","=""2F*""","=""7/2""","=""2p6.7d""","=""2D""","=""5/2""",8,6,,"=""c31""","=""L6692""",
"=""""","=""3610.73""","=""""","=""3.68e+04""",B+,"=""13.902249""","=""14.245626""","=""2p6.8s""","=""2S""","=""1/2""","=""2p6.9p""","=""2P*""","=""3/2""",2,4,,"=""c31""","=""""",
"=""""","=""3613.25""","=""""","=""3.53e+04""",B+,"=""13.902249""","=""14.245386""","=""2p6.8s""","=""2S""","=""1/2""","=""2p6.9p""","=""2P*""","=""1/2""",2,2,,"=""c31""","=""""",
"=""""","=""3617.70""","=""""","=""5.68e+05""",A,"=""14.013965""","=""14.356681""","=""2p6.8p""","=""2P*""","=""1/2""","=""2p6.9d""","=""2D""","=""3/2""",2,4,,"=""c31""","=""""",
"=""""","=""3621.48""","=""""","=""6.78e+05""",A,"=""14.014317""","=""14.356675""","=""2p6.8p""","=""2P*""","=""3/2""","=""2p6.9d""","=""2D""","=""5/2""",4,6,,"=""c31""","=""""",
"=""""","=""3621.42""","=""""","=""1.13e+05""",B+,"=""14.014317""","=""14.356681""","=""2p6.8p""","=""2P*""","=""3/2""","=""2p6.9d""","=""2D""","=""3/2""",4,4,,"=""c31""","=""""",
"=""""","=""3656.65""","=""""","=""4.18e+05""",B+,"=""14.013965""","=""14.353029""","=""2p6.8p""","=""2P*""","=""1/2""","=""2p6.10s""","=""2S""","=""1/2""",2,2,,"=""c31""","=""""",
"=""3660.47""","=""3660.46""","=""20""","=""8.33e+05""",A,"=""14.014317""","=""14.353029""","=""2p6.8p""","=""2P*""","=""3/2""","=""2p6.10s""","=""2S""","=""1/2""",4,2,,"=""c31""","=""L6692""",
"=""""","=""3701.41""","=""""","=""1.13e+05""",B+,"=""13.910661""","=""14.245626""","=""2p6.7d""","=""2D""","=""5/2""","=""2p6.9p""","=""2P*""","=""3/2""",6,4,,"=""c31""","=""""",
"=""""","=""3701.58""","=""""","=""1.26e+04""",B+,"=""13.910676""","=""14.245626""","=""2p6.7d""","=""2D""","=""3/2""","=""2p6.9p""","=""2P*""","=""3/2""",4,4,,"=""c31""","=""""",
"=""""","=""3704.23""","=""""","=""1.23e+05""",B+,"=""13.910676""","=""14.245386""","=""2p6.7d""","=""2D""","=""3/2""","=""2p6.9p""","=""2P*""","=""1/2""",4,2,,"=""c31""","=""""",
"=""""","=""4106.89""","=""""","=""1.42e+05""",D+,"=""14.184232""","=""14.486125""","=""2p6.8f""","=""2F*""","=""5/2""","=""2p6.10d""","=""2D""","=""3/2""",6,4,,"=""c59,LS""","=""""",
"=""""","=""4106.94""","=""""","=""1.36e+05""",C,"=""14.184232""","=""14.486122""","=""2p6.8f""","=""2F*""","=""7/2""","=""2p6.10d""","=""2D""","=""5/2""",8,6,,"=""c59,LS""","=""""",
"=""""","=""4106.94""","=""""","=""6.76e+03""",E,"=""14.184232""","=""14.486122""","=""2p6.8f""","=""2F*""","=""5/2""","=""2p6.10d""","=""2D""","=""5/2""",6,6,,"=""c59,LS""","=""""",
"=""4110.181""","=""4110.20""","=""6300""","=""2.95e+06""",A,"=""12.794766""","=""13.096416""","=""2p6.6s""","=""2S""","=""1/2""","=""2p6.6p""","=""2P*""","=""3/2""",2,4,,"=""c31""","=""L6692""",
"=""4122.683""","=""4122.71""","=""3160""","=""2.93e+06""",A,"=""12.794766""","=""13.095501""","=""2p6.6s""","=""2S""","=""1/2""","=""2p6.6p""","=""2P*""","=""1/2""",2,2,,"=""c31""","=""L6692""",
"=""4524.795""","=""4524.85""","=""3160""","=""2.67e+06""",A,"=""12.822409""","=""13.096416""","=""2p6.5d""","=""2D""","=""5/2""","=""2p6.6p""","=""2P*""","=""3/2""",6,4,,"=""c31""","=""L6692""",
"=""4525.411""","=""4525.46""","=""500""","=""2.97e+05""",A,"=""12.822446""","=""13.096416""","=""2p6.5d""","=""2D""","=""3/2""","=""2p6.6p""","=""2P*""","=""3/2""",4,4,,"=""c31""","=""L6692""",
