tier,score,spectrum,element,Z,charge,prep_cost,prep_note,evidence,fast_rung_at,fast_rung_tau_s,rung_lifetimes,verified_ladders,closure,best_detuning_meV,hop_amplitude,relative_amplitude,order,hops,max_order,min_hops,ground_start,single_colour,hop_strength,worst_virtual_gap_eV,reach_eV_neutral_frame,n_ladders,accidental_matches_per_hop,truncated
3,8,Rb II,Rb,37,1,3,"vapour, 1 Pa at 161 C + discharge",measured,intermediate,9.091e-10,all measured,227,B,55.0,weak,0.00089,9,3,12,2,no,yes,virtual,1.426,30.86,2063,0.9,no
3,8,Si I,Si,14,0,3,"vapour, 1 Pa at 1635 C",autoionizing,,,all measured,1426,A,3.9,weak,2.4e-05,5,2,12,2,no,yes,virtual,0.76,11.71,1752,8.3,no
3,8,V II,V,23,1,5,"vapour, 1 Pa at 1828 C + discharge",measured,final,9.174e-10,all measured,3385,A,10.1,weak,1.8e-05,9,4,11,4,yes,yes,virtual,,17.45,3476,4.2,yes
3,9,Cs II,Cs,55,1,3,"vapour, 1 Pa at 145 C + discharge",autoionizing,,,3 rung(s) unpublished,0,A,15.0,not scored,,10,4,12,4,no,no,virtual,,28.37,10884,2.0,no
3,9,Si II,Si,14,1,5,"vapour, 1 Pa at 1635 C + discharge",measured,intermediate,8.826e-10,all measured,152,A,21.7,weak,1.6e-07,7,3,10,2,no,no,virtual,3.982,22.32,152,0.9,no
3,9,Sn II,Sn,50,1,5,"vapour, 1 Pa at 1224 C + discharge",measured,intermediate,4.527e-10,all measured,696,A,9.6,weak,1.3e-05,9,4,11,2,no,no,virtual,2.215,23.8,800,0.7,no
3,10,Ge II,Ge,32,1,5,"vapour, 1 Pa at 1371 C + discharge",measured,intermediate,4.545e-10,all measured,424,B,32.0,not scored,,10,4,12,2,no,yes,virtual,2.692,26.42,1668,0.8,no
3,10,Zn I,Zn,30,0,2,"vapour, 1 Pa at 337 C",autoionizing,,,1 rung(s) unpublished,0,B,54.8,not scored,,8,3,10,3,no,no,virtual,1.406,12.77,845,3.3,no
4,11,Cd I,Cd,48,0,2,"vapour, 1 Pa at 257 C",autoionizing,,,all measured,14,C,92.7,not scored,,7,3,10,2,no,yes,virtual,1.637,12.13,200,1.6,no
4,11,K II,K,19,1,3,"vapour, 1 Pa at 200 C + discharge",measured,intermediate,6.210e-10,all measured,135,C,128.5,not scored,,9,3,11,2,no,yes,virtual,1.719,35.44,1031,0.5,no
4,11,Tl I,Tl,81,0,2,"vapour, 1 Pa at 609 C",autoionizing,,,all measured,20,C,65.0,not scored,,7,3,10,2,no,yes,virtual,1.55,9.42,1280,1.5,no
4,12,Be I,Be,4,0,3,"vapour, 1 Pa at 1189 C",autoionizing,,,all measured,1362,C,120.7,not scored,,8,3,10,3,no,yes,virtual,2.528,12.95,2009,1.8,no
4,12,Co III,Co,27,2,9,"vapour, 1 Pa at 1517 C + 2x ionization",measured,final,9.748e-10,all measured,7619,A,23.6,weak,1.5e-12,9,4,9,2,no,yes,virtual,,43.34,7619,1.3,no
4,12,Fe III,Fe,26,2,9,"vapour, 1 Pa at 1455 C + 2x ionization",measured,final,8.254e-10,all measured,517,A,12.4,not scored,,9,4,9,4,no,yes,virtual,,38.84,517,2.9,no
4,12,Sn I,Sn,50,0,3,"vapour, 1 Pa at 1224 C",autoionizing,,,all measured,1684,C,110.3,not scored,,7,3,11,2,no,yes,virtual,,10.27,3499,3.1,no
4,13,Ge I,Ge,32,0,3,"vapour, 1 Pa at 1371 C",autoionizing,,,all measured,14,C,148.8,not scored,,7,3,7,3,no,no,virtual,2.556,8.12,48,7.4,no
4,15,Pb II,Pb,82,1,5,"vapour, 1 Pa at 705 C + discharge",measured,intermediate,7.092e-10,all measured,28,C,104.6,not scored,,4,2,10,2,no,yes,virtual,1.277,22.24,6688,0.9,no
4,15,Tl II,Tl,81,1,4,"vapour, 1 Pa at 609 C + discharge",measured,final,5.917e-10,1 rung(s) unpublished,0,C,128.1,not scored,,4,2,10,2,no,yes,virtual,6.116,22.77,30,0.6,no
4,16,Ca III,Ca,20,2,8,"vapour, 1 Pa at 591 C + 2x ionization",measured,intermediate,8.333e-10,all measured,34,C,94.7,not scored,,7,3,9,2,no,yes,virtual,4.579,54.06,141,0.5,no
