State,Lifetime /s,Energy /eV
CS v=0,,0.0
CS v=1,0.0623267022060919,0.15772
CS v=2,0.015980724280605,0.31384
CS v=3,0.021033129194958,0.46835
CS v=4,0.0164862650502199,0.62126
CS v=5,0.0134495351402999,0.77257
CS v=6,0.0059106757393165,0.92228
CS v=7,0.0092552738710939,1.0704
CS v=8,0.0088826952925998,1.21693
CS v=9,0.00807541915514,1.36186
CS v=10,0.0074132934549048,1.50521
CS v=11,0.0068742898036865,1.64698
CS v=12,0.006428251414676,1.78717
CS v=13,0.0060538055891141,1.92578
CS v=14,0.0057357268585015,2.06281
CS v=15,0.0054627892880595,2.19827
CS v=16,0.0236301370952248,2.33215
CS v=17,0.0064110719933617,2.46447
CS v=18,0.0049533092230699,2.59522
CS v=19,0.0046906459562937,2.7244
CS v=20,0.0045412734604073,2.85201
CS v=21,0.0044155953098708,2.97806
CS v=22,0.004304279772916,3.10255
CS v=23,0.0042050319359808,3.22547
CS v=24,0.0041164139346166,3.34682
CS v=25,0.0040372188070666,3.46661
CS v=26,0.0039664580242747,3.58484
CS v=27,0.0039032900893292,3.70149
CS v=28,0.0038470083352502,3.81657
CS v=29,0.0037970163854709,3.93008
CS v=30,0.0037528096070095,4.04201
CS v=31,0.0037139560196857,4.15236
CS v=32,0.0036801215355647,4.26113
CS v=33,0.0036510258750846,4.36829
CS v=34,0.0036264749791361,4.47386
CS v=35,0.0036062988387034,4.57781
CS v=36,0.0035903759786489,4.68013
CS v=37,0.0035786597663899,4.78081
CS v=38,0.0035711313175114,4.87983
CS v=39,0.0035678672573859,4.97718
CS v=40,0.0035689685135272,5.07283
CS v=41,0.0035746344044825,5.16675
CS v=42,0.0035851555314668,5.25892
CS v=43,0.0036009440498052,5.34928
CS v=44,0.0036225544396496,5.43781
CS v=45,0.0036507518245563,5.52445
CS v=46,0.0036865535304888,5.60912
CS v=47,0.0037314008484089,5.69177
CS v=48,0.0037873176163066,5.77229
CS v=49,0.003857296762588,5.85056
