obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""18.451""","=""0.002""","=""18.4511""","=""0.0013""","=""""","=""""",,"=""0.000000""","=""67.196""","=""2s2.2p4""","=""3P""","=""2""","=""2s.2p5""","=""3P*""","=""1""",5,3,,"=""""","=""L3457""",
"=""18.708""","=""0.002""","=""18.7080""","=""0.0020""","=""""","=""""",,"=""1.791993""","=""68.065""","=""2s2.2p4""","=""3P""","=""1""","=""2s.2p5""","=""3P*""","=""0""",3,1,,"=""""","=""L3457""",
"=""18.8821""","=""0.0003""","=""18.8820""","=""0.0003""","=""""","=""""",,"=""0.000000""","=""65.6625""","=""2s2.2p4""","=""3P""","=""2""","=""2s.2p5""","=""3P*""","=""2""",5,5,,"=""""","=""L14157""",
"=""18.957""","=""0.002""","=""18.9566""","=""0.0013""","=""""","=""""",,"=""1.791993""","=""67.196""","=""2s2.2p4""","=""3P""","=""1""","=""2s.2p5""","=""3P*""","=""1""",3,3,,"=""""","=""L3457""",
"=""19.096""","=""0.002""","=""19.097""","=""0.003""","=""""","=""""",,"=""2.272""","=""67.196""","=""2s2.2p4""","=""3P""","=""0""","=""2s.2p5""","=""3P*""","=""1""",1,3,,"=""""","=""L3457""",
"=""19.409""","=""0.002""","=""19.4118""","=""0.0003""","=""""","=""""",,"=""1.791993""","=""65.6625""","=""2s2.2p4""","=""3P""","=""1""","=""2s.2p5""","=""3P*""","=""2""",3,5,,"=""""","=""L3457""",
"=""19.795""","=""0.002""","=""19.795""","=""0.003""","=""""","=""""",,"=""90.558""","=""153.192""","=""2s.2p5""","=""1P*""","=""1""","=""2p6""","=""1S""","=""0""",3,1,,"=""""","=""L14260""",
"=""58.303""","=""0.004""","=""58.3""","=""0.3""","=""""","=""""",,"=""338.33""","=""359.59""","=""2s2.2p3.(2D*).3p""","=""3F""","=""2""","=""2s2.2p3.(2D*).3d""","=""3G*""","=""3""",5,7,,"=""""","=""L16114""",
"=""70.7""","=""0.2""","=""70.7""","=""0.3""","=""""","=""""",,"=""320.79""","=""338.33""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""","=""2s2.2p3.(2D*).3p""","=""3F""","=""2""",3,5,,"=""""","=""L3221""",
"=""71.7853""","=""0.0020""","=""71.79""","=""0.09""","=""""","=""""",,"=""307.890""","=""325.161""","=""2s2.2p3.(4S*).3s""","=""5S*""","=""2""","=""2s2.2p3.(4S*).3p""","=""5P""","=""3""",5,7,,"=""""","=""L11779""",
"=""73.0439""","=""0.0015""","=""73.05""","=""0.09""","=""""","=""""",,"=""307.890""","=""324.863""","=""2s2.2p3.(4S*).3s""","=""5S*""","=""2""","=""2s2.2p3.(4S*).3p""","=""5P""","=""2""",5,5,,"=""""","=""L11779""",
"=""73.6490""","=""0.0020""","=""73.65""","=""0.09""","=""""","=""""",,"=""307.890""","=""324.725""","=""2s2.2p3.(4S*).3s""","=""5S*""","=""2""","=""2s2.2p3.(4S*).3p""","=""5P""","=""1""",5,3,,"=""""","=""L11779""",
"=""74.5803""","=""0.0010""","=""74.5803""","=""0.0010""","=""""","=""""",,"=""1.791993""","=""18.41625""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p4""","=""1S""","=""0""",3,1,M1,"=""""","=""L11779""",
"=""139.212""","=""0.001""","=""139.2110""","=""0.0010""","=""""","=""""",,"=""0.000000""","=""8.90621""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p4""","=""1D""","=""2""",5,5,M1,"=""""","=""L4779""",
"=""691.8786""","=""0.0012""","=""691.8787""","=""0.0014""","=""""","=""6.65e+01""",B,"=""0.000000""","=""1.791993""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p4""","=""3P""","=""1""",5,3,M1,"=""T335""","=""L11956""",
"=""""","=""""","=""691.8787""","=""0.0014""","=""""","=""3.9e-04""",D,"=""0.000000""","=""1.791993""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p4""","=""3P""","=""1""",5,3,E2,"=""T335,T969""","=""""",
