label,energy_eV
Be II (2s 2S<1/2>),9.322699
Be II (2p 2P*<1/2>),13.281358
Be II (2p 2P*<3/2>),13.282174
Be II (3s 2S<1/2>),20.26207
Be II (1s.2s2 2S<1/2>),123.64
Be II (1s.(2S).2s.2p.(3P*) 2P*),128.071
Be II (1s.(2S).2s.2p.(1P*) 2P*),130.31
