Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""3p6.13d""","=""2D""","=""3/2""",4,"=""""","=""11.51602""","=""""","=""""","="""""
"=""3p6.13d""","=""2D""","=""5/2""",6,"=""""","=""11.51602""","=""""","=""""","="""""
"=""3p6.14d""","=""2D""","=""3/2""",4,"=""""","=""11.56743""","=""""","=""""","="""""
"=""3p6.14d""","=""2D""","=""5/2""",6,"=""""","=""11.56743""","=""""","=""""","="""""
"=""3p6.15d""","=""2D""","=""3/2""",4,"=""""","=""11.60826""","=""""","=""""","="""""
"=""3p6.15d""","=""2D""","=""5/2""",6,"=""""","=""11.60826""","=""""","=""""","="""""
"=""3p6.16d""","=""2D""","=""3/2""",4,"=""""","=""11.64143""","=""""","=""""","="""""
"=""3p6.16d""","=""2D""","=""5/2""",6,"=""""","=""11.64143""","=""""","=""""","="""""
"=""Ca III (3p6 1S<0>)""","=""Limit""","=""---""",,"=""""","=""11.871719""","=""""","=""0.000004""","=""L7185,L7323"""
"=""3p5.4s2""","=""2P*""","=""3/2""",4,"=""""","=""28.1995""","=""""","=""""","="""""
"=""3p5.4s2""","=""2P*""","=""1/2""",2,"=""""","=""28.5441""","=""""","=""""","="""""
