spectrum,element,charge,n_levels,ionization_eV,max_level_eV,n_levels_above_ionization,n_lines,n_lines_classified,n_lines_with_Aki,n_levels_with_tau,n_tau_from_asd,n_tau_from_lidb,n_metastable,n_sub_ns,tau_coverage
Mg V,Mg,4,97,141.33,155.099,5,518,515,513,82,82,0,0,78,0.845
Mg VI,Mg,5,113,186.76,171.63,0,890,890,883,112,112,0,0,105,0.991
Mg VII,Mg,6,97,225.02,222.531,0,379,379,344,79,79,0,0,68,0.814
Mg VIII,Mg,7,105,265.924,264.386,0,944,944,941,101,101,0,0,97,0.962
Mg IX,Mg,8,89,327.99,1373.86,16,461,461,444,69,69,0,0,66,0.775
Mg X,Mg,9,58,367.489,1557.4,24,223,223,184,29,29,0,0,27,0.5
Mg XI,Mg,10,109,1761.8049,2820.24,10,228,228,192,39,39,0,0,32,0.358
Mn I,Mn,0,550,7.434038,8.656602,191,631,499,499,133,133,0,14,0,0.242
Mn II,Mn,1,532,15.63999,14.96763,0,3975,3781,844,336,336,0,0,0,0.632
Mn III,Mn,2,392,33.668,28.858706,0,86,0,0,0,0,0,0,0,0.0
N I,N,0,366,14.53413,20.2589,55,1309,1287,1287,136,136,0,1,0,0.372
N II,N,1,178,29.60125,34.519713,23,809,786,786,93,93,0,3,35,0.522
N III,N,2,330,47.4453,66.56978,202,1378,1359,1359,98,98,0,0,51,0.297
N IV,N,3,287,77.4735,86.18444,120,536,531,531,128,128,0,0,90,0.446
N V,N,4,150,97.8901,486.3,23,442,433,402,44,44,0,0,36,0.293
N VI,N,5,147,552.06741,997.06,24,91,91,90,29,29,0,0,24,0.197
N VII,N,6,148,667.0461377,665.3795029018838,0,137,137,137,34,34,0,0,32,0.23
Na I,Na,0,423,5.13907696,78.93,284,869,858,523,101,101,0,1,0,0.239
Na II,Na,1,162,47.28636,79.028,12,1345,605,176,30,29,1,1,3,0.185
Na III,Na,2,114,71.62,68.4909,0,560,560,417,70,70,0,0,31,0.614
Na IV,Na,3,102,98.936,100.8795,3,687,687,671,98,98,0,0,58,0.961
Na V,Na,4,97,138.404,128.896,0,529,527,503,95,95,0,0,78,0.979
Na VI,Na,5,111,172.23,166.512,0,657,641,594,106,106,0,0,95,0.955
Na VII,Na,6,134,208.504,206.922,0,1374,1374,1369,133,133,0,0,129,0.993
Na VIII,Na,7,84,264.192,258.285,0,464,464,456,75,75,0,0,71,0.893
Na IX,Na,8,44,299.856,1137.972,16,172,172,138,25,25,0,0,23,0.568
Na X,Na,9,109,1465.0992,2360.01,10,594,594,586,68,68,0,0,63,0.624
Na XI,Na,10,127,1648.702285,1638.96107052664,0,156,156,156,41,41,0,0,35,0.323
Ne I,Ne,0,374,21.564541,48.365,26,1597,1597,533,78,78,0,1,0,0.209
Ne II,Ne,1,380,40.96297,43.314177,17,1914,1912,233,60,60,0,2,1,0.158
Ne III,Ne,2,282,63.4233,850.9531,28,910,910,637,214,214,0,0,44,0.759
Ne IV,Ne,3,214,97.19,94.855,0,643,643,72,33,33,0,0,13,0.154
Ne V,Ne,4,160,126.247,124.822,0,374,374,139,66,66,0,0,54,0.412
Ne VI,Ne,5,134,157.934,152.19,0,515,515,449,96,96,0,0,92,0.716
Ne VII,Ne,6,207,207.271,1061.04,25,661,661,442,71,71,0,0,65,0.343
Ne VIII,Ne,7,177,239.097,1887.0,92,745,745,540,65,65,0,0,62,0.367
Ne IX,Ne,8,109,1195.8082,1940.4,10,229,229,228,42,42,0,0,37,0.385
Ne X,Ne,9,148,1362.199256,1358.797914671343,0,137,137,137,34,34,0,0,30,0.23
Ni I,Ni,0,287,7.639878,7.7871866,2,576,522,522,128,128,0,0,0,0.446
Ni II,Ni,1,718,18.168838,17.358874,0,249,208,208,34,34,0,0,0,0.047
Ni III,Ni,2,344,35.187,30.618502,0,128,50,50,27,27,0,0,0,0.078
O I,O,0,580,13.618055,18.59773,346,910,907,854,124,124,0,3,0,0.214
O II,O,1,275,35.12112,37.053303,28,1630,1630,876,105,105,0,1,44,0.382
O III,O,2,175,54.93554,58.739,13,1005,974,974,142,142,0,0,68,0.811
O IV,O,3,200,77.4135,88.4048,44,1525,1523,1521,139,139,0,0,118,0.695
O V,O,4,169,113.899,118.90246,7,391,385,385,121,121,0,0,105,0.716
O VI,O,5,145,138.1189,1206.723,56,157,157,126,28,28,0,0,26,0.193
O VII,O,6,148,739.32697,1468.6,25,189,189,188,49,49,0,0,33,0.331
O VIII,O,7,148,871.4099138,869.233072919975,0,137,137,137,34,34,0,0,32,0.23
P I,P,0,284,10.486686,10.376474,0,258,133,132,49,49,0,1,0,0.173
P II,P,1,160,19.76949,19.165713,0,100,73,73,35,33,2,7,0,0.219
P III,P,2,124,30.20264,31.628271,11,70,23,23,12,12,0,0,0,0.097
P IV,P,3,208,51.44387,51.48116,1,129,78,78,36,36,0,0,24,0.173
P V,P,4,67,65.02511,62.65999,0,48,30,30,18,18,0,0,14,0.269
P VI,P,5,53,220.43,212.687,0,5,5,5,5,5,0,0,5,0.094
P VII,P,6,52,263.57,249.666,0,3,3,3,2,2,0,0,1,0.038
P VIII,P,7,57,309.6,277.815,0,20,20,20,8,8,0,0,4,0.14
P IX,P,8,42,372.31,292.89,0,47,47,47,14,14,0,0,10,0.333
P X,P,9,52,424.4,307.05,0,26,26,26,11,11,0,0,7,0.212
P XI,P,10,44,479.44,418.79,0,18,18,18,10,10,0,0,7,0.227
Pb I,Pb,0,134,7.4166799,8.64787,7,135,135,28,9,9,0,0,0,0.067
Pb II,Pb,1,90,15.032499,14.8221,0,97,12,3,3,3,0,0,2,0.033
Rb I,Rb,0,239,4.1771281,19.09902,8,213,213,40,33,33,0,0,0,0.138
Rb II,Rb,1,165,27.28954,26.6871784,0,699,602,49,15,15,0,0,3,0.091
S I,S,0,377,10.3600167,13.3463,198,1437,1429,1052,165,165,0,3,0,0.438
S II,S,1,232,23.33788,23.21055,0,1349,1349,753,133,133,0,1,23,0.573
S III,S,2,58,34.86,29.53245,0,329,329,273,56,56,0,0,14,0.966
S IV,S,3,137,47.222,48.53271,2,1199,1199,999,122,122,0,0,83,0.891
S V,S,4,147,72.5945,69.7626,0,866,866,699,118,118,0,0,69,0.803
S VI,S,5,82,88.0529,197.82,24,457,457,393,47,47,0,0,45,0.573
S VII,S,6,50,280.954,268.294,0,259,255,253,47,47,0,0,44,0.94
S VIII,S,7,42,328.794,273.74,0,254,254,253,41,41,0,0,35,0.976
S IX,S,8,41,379.84,318.872,0,175,175,175,40,40,0,0,30,0.976
S X,S,9,42,447.7,361.36,0,270,270,268,41,41,0,0,28,0.976
S XI,S,10,53,504.55,402.137,0,281,281,280,50,50,0,0,30,0.943
Si I,Si,0,540,8.15168,12.452,88,754,640,639,122,122,0,3,0,0.226
Si II,Si,1,148,16.34585,20.45316,53,590,474,474,83,83,0,3,13,0.561
Si III,Si,2,184,33.493,37.42987,9,1298,1288,1288,131,131,0,0,41,0.712
Si IV,Si,3,54,45.14179,41.739366,0,332,314,314,39,39,0,0,13,0.722
Si V,Si,4,93,166.767,157.719,0,151,143,143,33,33,0,0,27,0.355
Si VI,Si,5,65,205.279,185.682,0,346,346,346,62,62,0,0,50,0.954
Si VII,Si,6,61,246.57,234.042,0,233,233,233,60,60,0,0,56,0.984
Si VIII,Si,7,55,303.59,254.004,0,269,269,269,52,52,0,0,48,0.945
Si IX,Si,8,63,351.28,280.992,0,366,366,366,62,62,0,0,50,0.984
Si X,Si,9,51,401.38,362.991,0,315,315,315,50,50,0,0,38,0.98
Si XI,Si,10,65,476.273,1892.23,13,281,281,281,50,50,0,0,43,0.769
Sn I,Sn,0,226,7.343918,10.271,76,227,226,55,28,28,0,0,0,0.124
Sn II,Sn,1,76,14.63307,16.45366,10,215,215,141,56,56,0,0,6,0.737
Sr I,Sr,0,377,5.69486745,7.397108,139,361,361,86,48,48,0,0,0,0.127
Sr II,Sr,1,70,11.0302765,10.68429,0,135,135,33,20,20,0,0,0,0.286
Ti I,Ti,0,558,6.82812,6.3293918,0,4029,4029,496,168,164,4,8,0,0.301
Ti II,Ti,1,252,13.5755,10.50422385,0,1872,1872,470,82,82,0,0,0,0.325
Ti III,Ti,2,199,27.49171,25.04254,0,819,819,297,110,110,0,0,5,0.553
Tl I,Tl,0,67,6.1082873,11.994,6,65,11,9,6,6,0,0,0,0.09
Tl II,Tl,1,76,20.4283,19.6064,0,82,7,3,3,3,0,0,1,0.039
V I,V,0,549,6.746187,7.1367,1,3985,3985,1256,332,326,6,5,0,0.605
V II,V,1,407,14.634,11.6597086,0,3568,3568,1896,371,371,0,0,6,0.912
V III,V,2,299,29.3111,26.90017,0,94,30,30,21,21,0,0,0,0.07
Xe I,Xe,0,443,12.1298437,28.8128,101,1143,1143,187,63,63,0,1,0,0.142
Xe II,Xe,1,161,20.975,20.00545,0,1115,1115,22,14,14,0,0,0,0.087
