obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""3.3426065""","=""0.0000018""","=""""","=""1.065e+11""",AA,"=""0.00000""","=""(370.92071)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""3.4973""","=""3.4972504""","=""0.0000022""","=""110""","=""2.554e+11""",AA,"=""0.00000""","=""(354.51908)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""L1113""",
"=""""","=""3.4994945""","=""0.0000021""","=""""","=""1.946e+07""",AA,"=""0.00000""","=""(354.29174)""","=""1s2""","=""1S""","=""0""","=""1s.3d""","=""1D""","=""2""",1,5,E2,"=""T3908""","=""""",
"=""4.0268""","=""4.0267362""","=""0.0000005""","=""450""","=""8.873e+11""",AA,"=""0.00000""","=""(307.9024628)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""L1113""",
"=""""","=""4.0727974""","=""0.0000005""","=""""","=""2.62e+04""",A,"=""0.00000""","=""(304.4202464)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""2""",1,5,M2,"=""T1494""","=""""",
"=""""","=""4.0730227""","=""0.0000005""","=""""","=""""",,"=""0.00000""","=""(304.4034097)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""1""",1,3,,"=""""","=""""",
"=""""","=""4.1471529""","=""0.0000005""","=""""","=""4.857e+01""",AA,"=""0.00000""","=""(298.962205)""","=""1s2""","=""1S""","=""0""","=""1s.2s""","=""3S""","=""1""",1,3,M1,"=""T1896,T6117""","=""""",
"=""""","=""15.05215""","=""0.00014""","=""""","=""1.09e+09""",A,"=""(304.4034097)""","=""(386.7732)""","=""1s.2p""","=""3P*""","=""1""","=""1s.8d""","=""3D""","=""2""",3,5,,"=""T5231LS""","=""""",
"=""""","=""15.05215""","=""0.00014""","=""""","=""6.04e+08""",A,"=""(304.4034097)""","=""(386.7732)""","=""1s.2p""","=""3P*""","=""1""","=""1s.8d""","=""3D""","=""1""",3,3,,"=""T5231LS""","=""""",
"=""""","=""15.05243""","=""0.00014""","=""""","=""8.05e+08""",A,"=""(304.4049606)""","=""(386.7732)""","=""1s.2p""","=""3P*""","=""0""","=""1s.8d""","=""3D""","=""1""",1,3,,"=""T5231LS""","=""""",
"=""""","=""15.05522""","=""0.00014""","=""""","=""1.45e+09""",A,"=""(304.4202464)""","=""(386.7732)""","=""1s.2p""","=""3P*""","=""2""","=""1s.8d""","=""3D""","=""3""",5,7,,"=""T5231LS""","=""""",
"=""""","=""15.05522""","=""0.00014""","=""""","=""3.62e+08""",A,"=""(304.4202464)""","=""(386.7732)""","=""1s.2p""","=""3P*""","=""2""","=""1s.8d""","=""3D""","=""2""",5,5,,"=""T5231LS""","=""""",
