obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""38.87""","=""0.03""","=""38.85856""","=""0.00005""","=""120""","=""""",,"=""0.00000""","=""31.906537""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""",4,4,,"=""""","=""L10580""",
"=""39.68748""","=""0.00020""","=""39.68768""","=""0.00006""","=""160""","=""""",,"=""0.00000""","=""31.239970""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""",4,6,,"=""""","=""L11588""",
"=""39.85590""","=""0.00020""","=""39.85617""","=""0.00006""","=""160""","=""""",,"=""0.00000""","=""31.107903""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""",4,4,,"=""""","=""L11588""",
"=""39.96544""","=""0.00020""","=""39.96560""","=""0.00006""","=""120""","=""""",,"=""0.00000""","=""31.022731""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""",4,2,,"=""""","=""L11588""",
"=""40.541""","=""0.001""","=""40.53976""","=""0.00007""","=""9*""","=""""",,"=""2.61490""","=""33.19826""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""",4,4,,"=""""","=""L11418""",
"=""40.541""","=""0.001""","=""40.54316""","=""0.00008""","=""9*""","=""""",,"=""2.61490""","=""33.19569""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""",4,6,,"=""""","=""L11418""",
"=""40.564""","=""0.001""","=""40.56441""","=""0.00008""","=""10""","=""""",,"=""2.63092""","=""33.19569""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""",6,6,,"=""""","=""L11418""",
"=""41.84""","=""0.03""","=""41.8323""","=""0.0005""","=""180""","=""""",,"=""0.00000""","=""29.6384""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(1D).3d""","=""2D""","=""3/2""",4,4,,"=""""","=""L10580""",
"=""42.3275""","=""0.0002""","=""42.32751""","=""0.00006""","=""20""","=""""",,"=""2.61490""","=""31.906537""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""",4,4,,"=""""","=""L11588""",
"=""42.3508""","=""0.0002""","=""42.35067""","=""0.00006""","=""100""","=""""",,"=""2.63092""","=""31.906537""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""",6,4,,"=""""","=""L11588""",
"=""42.5537""","=""0.0002""","=""42.55370""","=""0.00008""","=""100""","=""""",,"=""2.61490""","=""31.75084""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""",4,2,,"=""""","=""L11588""",
"=""42.936""","=""0.001""","=""42.93552""","=""0.00007""","=""6""","=""""",,"=""4.321420""","=""33.19826""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""",2,4,,"=""""","=""L11418""",
"=""42.969""","=""0.001""","=""42.96832""","=""0.00007""","=""8q*""","=""""",,"=""4.343464""","=""33.19826""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""",4,4,,"=""""","=""L11418""",
"=""42.969""","=""0.001""","=""42.97214""","=""0.00008""","=""8q*""","=""""",,"=""4.343464""","=""33.19569""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""",4,6,,"=""""","=""L11418""",
"=""43.539""","=""0.001""","=""43.53839""","=""0.00007""","=""1""","=""""",,"=""2.63092""","=""31.107903""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""",6,4,,"=""""","=""L11418""",
"=""44.220""","=""0.001""","=""44.21985""","=""0.00010""","=""6""","=""""",,"=""0.00000""","=""28.03813""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""2D""","=""5/2""",4,6,,"=""""","=""L11418""",
"=""44.340""","=""""","=""44.33854""","=""0.00008""","=""12bl:*""","=""""",,"=""2.61490""","=""30.57797""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""2F""","=""5/2""",4,6,,"=""""","=""L11418""",
"=""44.340""","=""""","=""44.34240""","=""0.00010""","=""12bl:*""","=""""",,"=""2.63092""","=""30.59156""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).3d""","=""2F""","=""7/2""",6,8,,"=""""","=""L11418""",
"=""44.364""","=""0.001""","=""44.36396""","=""0.00008""","=""5""","=""""",,"=""2.63092""","=""30.57797""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).3d""","=""2F""","=""5/2""",6,6,,"=""""","=""L11418""",
"=""44.6387""","=""0.0002""","=""44.63901""","=""0.00010""","=""40""","=""""",,"=""0.00000""","=""27.77485""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s.3p4""","=""2P""","=""1/2""",4,2,,"=""""","=""L11588""",
"=""44.8518""","=""0.0002""","=""44.85188""","=""0.00009""","=""120""","=""""",,"=""0.00000""","=""27.64303""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s.3p4""","=""2P""","=""3/2""",4,4,,"=""""","=""L11588""",
"=""44.9463""","=""0.0002""","=""44.94605""","=""0.00005""","=""40""","=""""",,"=""4.321420""","=""31.906537""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""",2,4,,"=""""","=""L11588""",
"=""44.9820""","=""0.0002""","=""44.98199""","=""0.00005""","=""80""","=""""",,"=""4.343464""","=""31.906537""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""",4,4,,"=""""","=""L11588""",
"=""45.1211""","=""0.0002""","=""45.12077""","=""0.00009""","=""15""","=""""",,"=""0.00000""","=""27.47830""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""4P""","=""1/2""",4,2,,"=""""","=""L11588""",
"=""45.1877""","=""0.0002""","=""45.18734""","=""0.00009""","=""45""","=""""",,"=""0.00000""","=""27.43781""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""4P""","=""3/2""",4,4,,"=""""","=""L11588""",
"=""45.2015""","=""0.0002""","=""45.20117""","=""0.00007""","=""160""","=""""",,"=""4.321420""","=""31.75084""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""",2,2,,"=""""","=""L11588""",
"=""45.2374""","=""0.0002""","=""45.23753""","=""0.00007""","=""20""","=""""",,"=""4.343464""","=""31.75084""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""",4,2,,"=""""","=""L11588""",
"=""45.2930""","=""0.0002""","=""45.29256""","=""0.00007""","=""80""","=""""",,"=""0.00000""","=""27.374074""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""4P""","=""5/2""",4,6,,"=""""","=""L11588""",
"=""45.880""","=""0.001""","=""45.8801""","=""0.0006""","=""6""","=""""",,"=""2.61490""","=""29.6384""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(1D).3d""","=""2D""","=""3/2""",4,4,,"=""""","=""L11418""",
"=""45.907""","=""0.001""","=""45.9073""","=""0.0006""","=""6""","=""""",,"=""2.63092""","=""29.6384""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(1D).3d""","=""2D""","=""3/2""",6,4,,"=""""","=""L11418""",
"=""45.960""","=""0.001""","=""45.9594""","=""0.0008""","=""8""","=""""",,"=""2.61490""","=""29.5918""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(1D).3d""","=""2D""","=""5/2""",4,6,,"=""""","=""L11418""",
"=""45.986""","=""0.001""","=""45.9867""","=""0.0008""","=""9""","=""""",,"=""2.63092""","=""29.5918""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(1D).3d""","=""2D""","=""5/2""",6,6,,"=""""","=""L11418""",
"=""47.264""","=""0.002""","=""47.25996""","=""0.00008""","=""53""","=""""",,"=""4.343464""","=""30.57797""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""2F""","=""5/2""",4,6,,"=""""","=""L11579""",
"=""48.768""","=""0.001""","=""48.76807""","=""0.00012""","=""7""","=""""",,"=""2.61490""","=""28.03813""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""2D""","=""5/2""",4,6,,"=""""","=""L11418""",
"=""48.799""","=""0.001""","=""48.79882""","=""0.00012""","=""6q""","=""""",,"=""2.63092""","=""28.03813""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).3d""","=""2D""","=""5/2""",6,6,,"=""""","=""L11418""",
"=""48.973""","=""0.001""","=""48.9727""","=""0.0007""","=""5""","=""""",,"=""4.321420""","=""29.6384""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p2.(1D).3d""","=""2D""","=""3/2""",2,4,,"=""""","=""L11418""",
"=""49.102""","=""0.001""","=""49.10053""","=""0.00010""","=""9q*""","=""""",,"=""2.61490""","=""27.86599""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""2D""","=""3/2""",4,4,,"=""""","=""L11418""",
"=""49.102""","=""0.001""","=""49.1059""","=""0.0010""","=""9q*""","=""""",,"=""4.343464""","=""29.5918""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(1D).3d""","=""2D""","=""5/2""",4,6,,"=""""","=""L11418""",
"=""49.132""","=""0.001""","=""49.13170""","=""0.00010""","=""8""","=""""",,"=""2.63092""","=""27.86599""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).3d""","=""2D""","=""3/2""",6,4,,"=""""","=""L11418""",
"=""49.2782""","=""0.0002""","=""49.27839""","=""0.00012""","=""240""","=""""",,"=""2.61490""","=""27.77485""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s.3p4""","=""2P""","=""1/2""",4,2,,"=""""","=""L11588""",
"=""49.5377""","=""0.0002""","=""49.53793""","=""0.00010""","=""200""","=""""",,"=""2.61490""","=""27.64303""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s.3p4""","=""2P""","=""3/2""",4,4,,"=""""","=""L11588""",
"=""49.5698""","=""0.0002""","=""49.56966""","=""0.00010""","=""270""","=""""",,"=""2.63092""","=""27.64303""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s.3p4""","=""2P""","=""3/2""",6,4,,"=""""","=""L11588""",
"=""49.867""","=""0.001""","=""49.86616""","=""0.00011""","=""3""","=""""",,"=""2.61490""","=""27.47830""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""4P""","=""1/2""",4,2,,"=""""","=""L11418""",
"=""49.980""","=""0.001""","=""49.97973""","=""0.00011""","=""6""","=""""",,"=""2.63092""","=""27.43781""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).3d""","=""4P""","=""3/2""",6,4,,"=""""","=""L11418""",
"=""52.326""","=""0.001""","=""52.32578""","=""0.00012""","=""6""","=""""",,"=""4.343464""","=""28.03813""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""2D""","=""5/2""",4,6,,"=""""","=""L11418""",
"=""52.660""","=""0.001""","=""52.65935""","=""0.00010""","=""5""","=""""",,"=""4.321420""","=""27.86599""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p2.(3P).3d""","=""2D""","=""3/2""",2,4,,"=""""","=""L11418""",
"=""52.709""","=""0.001""","=""52.70870""","=""0.00010""","=""6""","=""""",,"=""4.343464""","=""27.86599""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""2D""","=""3/2""",4,4,,"=""""","=""L11418""",
"=""52.8637""","=""0.0002""","=""52.86399""","=""0.00012""","=""120""","=""""",,"=""4.321420""","=""27.77485""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s.3p4""","=""2P""","=""1/2""",2,2,,"=""""","=""L11588""",
"=""52.9132""","=""0.0002""","=""52.91372""","=""0.00013""","=""160""","=""""",,"=""4.343464""","=""27.77485""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s.3p4""","=""2P""","=""1/2""",4,2,,"=""""","=""L11588""",
"=""53.1627""","=""0.0002""","=""53.16279""","=""0.00010""","=""120""","=""""",,"=""4.321420""","=""27.64303""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s.3p4""","=""2P""","=""3/2""",2,4,,"=""""","=""L11588""",
"=""53.2128""","=""0.0002""","=""53.21309""","=""0.00010""","=""400""","=""""",,"=""4.343464""","=""27.64303""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s.3p4""","=""2P""","=""3/2""",4,4,,"=""""","=""L11588""",
"=""56.2324""","=""0.0002""","=""56.23269""","=""0.00016""","=""2""","=""""",,"=""0.00000""","=""22.04842""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s.3p4""","=""2S""","=""1/2""",4,2,,"=""""","=""L11588""",
"=""57.412""","=""0.001""","=""57.41168""","=""0.00018""","=""5""","=""""",,"=""14.57600""","=""36.171646""","=""3s.3p4""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4S*""","=""3/2""",6,4,,"=""""","=""L11418""",
"=""57.728""","=""0.001""","=""57.72729""","=""0.00018""","=""8""","=""""",,"=""14.69407""","=""36.171646""","=""3s.3p4""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4S*""","=""3/2""",4,4,,"=""""","=""L11418""",
"=""57.754""","=""0.001""","=""57.75426""","=""0.00019""","=""4""","=""""",,"=""14.69407""","=""36.16162""","=""3s.3p4""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""5/2""",4,6,,"=""""","=""L11418""",
"=""57.904""","=""0.001""","=""57.90358""","=""0.00012""","=""6""","=""""",,"=""14.75946""","=""36.171646""","=""3s.3p4""","=""4P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4S*""","=""3/2""",2,4,,"=""""","=""L11418""",
"=""58.050""","=""0.001""","=""58.04939""","=""0.00018""","=""6bl""","=""""",,"=""14.57600""","=""35.934402""","=""3s.3p4""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""",6,6,,"=""""","=""L11418""",
"=""58.230""","=""0.001""","=""58.22898""","=""0.00020""","=""1""","=""""",,"=""14.69407""","=""35.98660""","=""3s.3p4""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""",4,4,,"=""""","=""L11418""",
