obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""33.165""","=""33.1671""","=""0.0008""","=""1""","=""""",,"=""17.5651""","=""54.9468""","=""4s.4p2""","=""2D""","=""3/2""","=""4s.4p.(1P*).5s""","=""2P*""","=""3/2""",4,4,,"=""""","=""L7277""",
"=""33.283""","=""33.2852""","=""0.0008""","=""6*""","=""""",,"=""17.5651""","=""54.8142""","=""4s.4p2""","=""2D""","=""3/2""","=""4s.4p.(1P*).5s""","=""2P*""","=""1/2""",4,2,,"=""""","=""L7277""",
"=""33.283""","=""33.2835""","=""0.0008""","=""6*""","=""""",,"=""17.6959""","=""54.9468""","=""4s.4p2""","=""2D""","=""5/2""","=""4s.4p.(1P*).5s""","=""2P*""","=""3/2""",6,4,,"=""""","=""L7277""",
"=""34.669""","=""34.6696""","=""0.0008""","=""4""","=""""",,"=""13.7862""","=""49.5478""","=""4s.4p2""","=""4P""","=""3/2""","=""4s.4p.(3P*).5s""","=""4P*""","=""5/2""",4,6,,"=""""","=""L7277""",
"=""34.845""","=""34.8455""","=""0.0009""","=""1""","=""""",,"=""13.3700""","=""48.9511""","=""4s.4p2""","=""4P""","=""1/2""","=""4s.4p.(3P*).5s""","=""4P*""","=""3/2""",2,4,,"=""""","=""L7277""",
"=""35.193""","=""35.1926""","=""0.0009""","=""6bl""","=""""",,"=""14.3176""","=""49.5478""","=""4s.4p2""","=""4P""","=""5/2""","=""4s.4p.(3P*).5s""","=""4P*""","=""5/2""",6,6,,"=""""","=""L7277""",
"=""35.799""","=""35.7989""","=""0.0009""","=""2""","=""""",,"=""14.3176""","=""48.9511""","=""4s.4p2""","=""4P""","=""5/2""","=""4s.4p.(3P*).5s""","=""4P*""","=""3/2""",6,4,,"=""""","=""L7277""",
"=""36.312""","=""36.3135""","=""0.0007""","=""8""","=""""",,"=""0.0000""","=""34.1428""","=""4s2.4p""","=""2P*""","=""1/2""","=""4s2.5s""","=""2S""","=""1/2""",2,2,,"=""""","=""L7277""",
"=""36.617""","=""36.6177""","=""0.0009""","=""4""","=""""",,"=""21.0877""","=""54.9468""","=""4s.4p2""","=""2S""","=""1/2""","=""4s.4p.(1P*).5s""","=""2P*""","=""3/2""",2,4,,"=""""","=""L7277""",
"=""37.42""","=""37.4153""","=""0.0010""","=""BF""","=""""",,"=""1.0055""","=""34.1428""","=""4s2.4p""","=""2P*""","=""3/2""","=""4s2.5s""","=""2S""","=""1/2""",4,2,,"=""""","=""L10595""",
