obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""68.028""","=""0.003""","=""68.020""","=""0.005""","=""170""","=""""",,"=""0.0000000000000""","=""[18.2277]""","=""5s2""","=""1S""","=""0""","=""5s.12p""","=""1P*""","=""1""",1,3,,"=""""","=""L1143""",
"=""68.654""","=""0.003""","=""68.64185""","=""0.00007""","=""170""","=""""",,"=""0.0000000000000""","=""18.062479""","=""5s2""","=""1S""","=""0""","=""5s.11p""","=""1P*""","=""1""",1,3,,"=""""","=""L1143""",
"=""69.583""","=""0.027""","=""69.55888""","=""0.00004""","=""180""","=""6.e+05""",E,"=""0.0000000000000""","=""17.824353""","=""5s2""","=""1S""","=""0""","=""5s.10p""","=""1P*""","=""1""",1,3,,"=""T9131""","=""L17265""",
"=""69.586""","=""0.003""","=""69.58626""","=""0.00004""","=""70""","=""1.0e+05""",E,"=""0.0000000000000""","=""17.817340""","=""5s2""","=""1S""","=""0""","=""5s.10p""","=""3P*""","=""1""",1,3,,"=""T9131""","=""L1143""",
"=""71.009""","=""0.026""","=""71.000036""","=""0.000020""","=""95""","=""1.5e+06""",E,"=""0.0000000000000""","=""17.462554""","=""5s2""","=""1S""","=""0""","=""5s.9p""","=""1P*""","=""1""",1,3,,"=""T9131""","=""L17265""",
"=""71.055""","=""0.003""","=""71.055737""","=""0.000020""","=""47""","=""3.1e+05""",E,"=""0.0000000000000""","=""17.448865""","=""5s2""","=""1S""","=""0""","=""5s.9p""","=""3P*""","=""1""",1,3,,"=""T9131""","=""L1143""",
"=""73.478""","=""0.003""","=""73.47704""","=""0.00005""","=""230""","=""3.6e+07""",E,"=""0.0000000000000""","=""16.873869""","=""5s2""","=""1S""","=""0""","=""5s.8p""","=""1P*""","=""1""",1,3,,"=""T7081""","=""L1143""",
"=""73.604""","=""0.003""","=""73.60430""","=""0.00003""","=""210""","=""8.e+05""",E,"=""0.0000000000000""","=""16.844694""","=""5s2""","=""1S""","=""0""","=""5s.8p""","=""3P*""","=""1""",1,3,,"=""T9131""","=""L1143""",
"=""78.398""","=""0.003""","=""78.386296""","=""0.000006""","=""440""","=""""",,"=""0.0000000000000""","=""15.8170757""","=""5s2""","=""1S""","=""0""","=""5s.7p""","=""1P*""","=""1""",1,3,,"=""""","=""L1143""",
"=""78.745""","=""0.003""","=""78.743326""","=""0.000007""","=""1100""","=""1.7e+06""",E,"=""0.0000000000000""","=""15.7453596""","=""5s2""","=""1S""","=""0""","=""5s.7p""","=""3P*""","=""1""",1,3,,"=""T9131""","=""L1143""",
"=""91.090""","=""0.003""","=""91.091090""","=""0.000007""","=""2700""","=""7.e+06""",E,"=""0.0000000000000""","=""13.6110127""","=""5s2""","=""1S""","=""0""","=""5s.6p""","=""1P*""","=""1""",1,3,,"=""T7081""","=""L1143""",
"=""92.727""","=""0.003""","=""92.728257""","=""0.000005""","=""2500""","=""4.9e+06""",D+,"=""0.0000000000000""","=""13.3707029""","=""5s2""","=""1S""","=""0""","=""5s.6p""","=""3P*""","=""1""",1,3,,"=""T9131""","=""L1143""",
"=""""","=""""","=""93.37684""","=""0.00019""","=""""","=""1.5e+06""",D+,"=""5.37478712""","=""[18.65262]""","=""5s.5p""","=""3P*""","=""1""","=""5s.19s""","=""3S""","=""1""",3,3,,"=""T9131""","=""""",
"=""""","=""""","=""93.59123""","=""0.00019""","=""""","=""1.9e+06""",D+,"=""5.37478712""","=""[18.62220]""","=""5s.5p""","=""3P*""","=""1""","=""5s.18s""","=""3S""","=""1""",3,3,,"=""T9131""","=""""",
"=""""","=""""","=""93.65492""","=""0.00006""","=""""","=""1.5e+06""",D+,"=""5.2415553834603""","=""18.479963""","=""5s.5p""","=""3P*""","=""0""","=""5s.15s""","=""3S""","=""1""",1,3,,"=""T9131""","=""""",
"=""93.787""","=""0.003""","=""93.7902""","=""0.0003""","=""610*""","=""""",,"=""5.37478712""","=""18.59410""","=""5s.5p""","=""3P*""","=""1""","=""5s.16d""","=""3D""","=""2""",3,5,,"=""""","=""L1143""",
