obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""78.2494""","=""0.0005""","=""78.250028""","=""300""","=""1.0e+07""",,"=""0.0000000""","=""15.8446203""","=""5d10.6s""","=""2S""","=""1/2""","=""5d10.8p""","=""2P*""","=""3/2""",2,4,,"=""T7226""","=""L11760""",
"=""78.7757""","=""0.0005""","=""78.776231""","=""150""","=""3.1e+07""",,"=""0.0000000""","=""15.7387828""","=""5d10.6s""","=""2S""","=""1/2""","=""5d10.8p""","=""2P*""","=""1/2""",2,2,,"=""T7226""","=""L11760""",
"=""80.2469""","=""0.0005""","=""80.247294""","=""250""","=""1.9e+07""",,"=""0.0000000""","=""15.4502653""","=""5d10.6s""","=""2S""","=""1/2""","=""5d9.6s.6p""","=""(2D<3/2>,1P<1>)*""","=""3/2""",2,4,,"=""T7226""","=""L11760""",
"=""82.1329""","=""0.0005""","=""82.133001""","=""15000""","=""1.4e+08""",,"=""0.0000000""","=""15.095540""","=""5d10.6s""","=""2S""","=""1/2""","=""5d9.6s.6p""","=""(2D<3/2>,1P<1>)*""","=""1/2""",2,2,,"=""T7226""","=""L11760""",
"=""89.3085""","=""0.0005""","=""89.308469""","=""200000""","=""5.8e+07""",,"=""0.0000000""","=""13.8826922""","=""5d10.6s""","=""2S""","=""1/2""","=""5d10.7p""","=""2P*""","=""3/2""",2,4,,"=""T7226""","=""L11760""",
"=""89.3287""","=""0.0005""","=""""","=""2000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L11760""",
"=""91.5819""","=""0.0005""","=""91.582096""","=""120000""","=""1.3e+09""",,"=""0.0000000""","=""13.5380390""","=""5d10.6s""","=""2S""","=""1/2""","=""5d9.6s.6p""","=""(2D<3/2>,3P<2>)*""","=""3/2""",2,4,,"=""T7226""","=""L11760""",
"=""92.3377""","=""0.0005""","=""92.337653""","=""350""","=""6.5e+08""",,"=""0.0000000""","=""13.4272634""","=""5d10.6s""","=""2S""","=""1/2""","=""5d10.7p""","=""2P*""","=""1/2""",2,2,,"=""T7226""","=""L11760""",
"=""94.0736""","=""0.0005""","=""94.07391""","=""25000""","=""7.0e+08""",,"=""0.0000000""","=""13.179446""","=""5d10.6s""","=""2S""","=""1/2""","=""5d9.6s.6p""","=""(2D<3/2>,3P<2>)*""","=""1/2""",2,2,,"=""T7226""","=""L11760""",
"=""94.2630""","=""0.0005""","=""94.263133""","=""200000""","=""1.6e+09""",,"=""0.0000000""","=""13.1529893""","=""5d10.6s""","=""2S""","=""1/2""","=""5d9.6s.6p""","=""(2D<5/2>,1P<1>)*""","=""3/2""",2,4,,"=""T7226""","=""L11760""",
"=""96.2711""","=""0.0005""","=""96.271128""","=""250000""","=""2.0e+09""",,"=""0.0000000""","=""12.8786481""","=""5d10.6s""","=""2S""","=""1/2""","=""5d9.6s.6p""","=""(2D<3/2>,3P<1>)*""","=""1/2""",2,2,,"=""T7226""","=""L11760""",
"=""96.9142""","=""0.0005""","=""96.914369""","=""250000""","=""6.8e+08""",,"=""0.0000000""","=""12.7931699""","=""5d10.6s""","=""2S""","=""1/2""","=""5d9.6s.6p""","=""(2D<3/2>,3P<1>)*""","=""3/2""",2,4,,"=""T7226""","=""L11760""",
