obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""111.892""","=""0.001""","=""111.8920+""","=""6""","=""""",,"=""18.07776""","=""29.15847""","=""5s.5p3""","=""1D*""","=""2""","=""5s2.5p.(2P*).6p""","=""3D""","=""2""",5,5,,"=""""","=""L7287""",
"=""111.977""","=""0.001""","=""111.9781+""","=""4""","=""""",,"=""19.28179""","=""30.35397""","=""5s.5p3""","=""3S*""","=""1""","=""5s2.5p.(2P*).6p""","=""3P""","=""2""",3,5,,"=""""","=""L7287""",
"=""112.806""","=""0.001""","=""112.8049+""","=""3""","=""""",,"=""18.07776""","=""29.06879""","=""5s.5p3""","=""1D*""","=""2""","=""5s2.5p.(2P*).6p""","=""3P""","=""1""",5,3,,"=""""","=""L7287""",
"=""113.232""","=""0.001""","=""113.2317+""","=""5""","=""""",,"=""19.40437""","=""30.35397""","=""5s2.5p.(2P*).5d""","=""3F*""","=""2""","=""5s2.5p.(2P*).6p""","=""3P""","=""2""",5,5,,"=""""","=""L7287""",
"=""114.028""","=""0.001""","=""114.0272+""","=""6""","=""""",,"=""19.28179""","=""30.15500""","=""5s.5p3""","=""3S*""","=""1""","=""5s2.5p.(2P*).6p""","=""1P""","=""1""",3,3,,"=""""","=""L7287""",
"=""114.0443""","=""0.0005""","=""114.0436+""","=""10""","=""""",,"=""3.52254""","=""14.39419""","=""5s2.5p2""","=""1D""","=""2""","=""5s.5p3""","=""3D*""","=""2""",5,5,,"=""""","=""L11121""",
"=""114.353""","=""0.001""","=""114.3541+""","=""8""","=""""",,"=""14.86806""","=""25.71019""","=""5s.5p3""","=""3D*""","=""3""","=""5s2.5p.(2P*).4f""","=""3D""","=""2""",7,5,,"=""""","=""L7287""",
"=""115.1083""","=""0.0005""","=""115.1078+""","=""30""","=""""",,"=""3.52254""","=""14.29368""","=""5s2.5p2""","=""1D""","=""2""","=""5s.5p3""","=""3D*""","=""1""",5,3,,"=""""","=""L11121""",
"=""115.327""","=""0.001""","=""115.3274+""","=""6""","=""""",,"=""19.40437""","=""30.15500""","=""5s2.5p.(2P*).5d""","=""3F*""","=""2""","=""5s2.5p.(2P*).6p""","=""1P""","=""1""",5,3,,"=""""","=""L7287""",
"=""115.513""","=""0.001""","=""115.5127+""","=""4""","=""""",,"=""21.45816""","=""32.19154""","=""5s2.5p.(2P*).5d""","=""3D*""","=""1""","=""5s2.5p.(2P*).6p""","=""1S""","=""0""",3,1,,"=""""","=""L7287""",
"=""116.496""","=""0.001""","=""116.4961+""","=""11""","=""""",,"=""14.86806""","=""25.51084""","=""5s.5p3""","=""3D*""","=""3""","=""5s2.5p.(2P*).4f""","=""3D""","=""3""",7,7,,"=""""","=""L7287""",
"=""116.852""","=""0.001""","=""116.8530+""","=""9""","=""""",,"=""19.91563""","=""30.52590""","=""5s2.5p.(2P*).5d""","=""3F*""","=""3""","=""5s2.5p.(2P*).6p""","=""3D""","=""3""",7,7,,"=""""","=""L7287""",
"=""119.169""","=""0.001""","=""119.1708+""","=""10""","=""""",,"=""14.39419""","=""24.79810""","=""5s.5p3""","=""3D*""","=""2""","=""5s2.5p.(2P*).4f""","=""1F""","=""3""",5,7,,"=""""","=""L7287""",
"=""120.6406""","=""0.0005""","=""120.6404+""","=""70bl""","=""""",,"=""1.15204""","=""11.42921""","=""5s2.5p2""","=""3P""","=""1""","=""5s.5p3""","=""5S*""","=""2""",3,5,,"=""""","=""L11121""",
"=""121.888""","=""0.001""","=""121.8875+""","=""7""","=""""",,"=""16.70101""","=""26.87303""","=""5s.5p3""","=""3P*""","=""2""","=""5s2.5p.(2P*).4f""","=""1D""","=""2""",5,5,,"=""""","=""L7287""",
"=""122.510""","=""0.001""","=""122.5097+""","=""12""","=""""",,"=""14.86806""","=""24.98842""","=""5s.5p3""","=""3D*""","=""3""","=""5s2.5p.(2P*).4f""","=""3G""","=""4""",7,9,,"=""""","=""L7287""",
"=""123.634""","=""0.001""","=""123.6329+""","=""4""","=""""",,"=""21.03672""","=""31.06513""","=""5s.5p3""","=""1P*""","=""1""","=""5s2.5p.(2P*).6p""","=""1D""","=""2""",3,5,,"=""""","=""L7287""",
"=""124.858""","=""0.001""","=""124.8577+""","=""7""","=""""",,"=""14.86806""","=""24.79810""","=""5s.5p3""","=""3D*""","=""3""","=""5s2.5p.(2P*).4f""","=""1F""","=""3""",7,7,,"=""""","=""L7287""",
"=""125.532""","=""0.001""","=""125.5323+""","=""5""","=""""",,"=""19.28179""","=""29.15847""","=""5s.5p3""","=""3S*""","=""1""","=""5s2.5p.(2P*).6p""","=""3D""","=""2""",3,5,,"=""""","=""L7287""",
"=""125.675""","=""0.001""","=""125.6761+""","=""6""","=""""",,"=""21.19976""","=""31.06513""","=""5s2.5p.(2P*).5d""","=""3P*""","=""2""","=""5s2.5p.(2P*).6p""","=""1D""","=""2""",5,5,,"=""""","=""L7287""",
"=""127.110""","=""0.001""","=""127.1099+""","=""6""","=""""",,"=""19.40437""","=""29.15847""","=""5s2.5p.(2P*).5d""","=""3F*""","=""2""","=""5s2.5p.(2P*).6p""","=""3D""","=""2""",5,5,,"=""""","=""L7287""",
"=""128.1127""","=""0.0005""","=""128.1130+""","=""75""","=""""",,"=""1.75149""","=""11.42921""","=""5s2.5p2""","=""3P""","=""2""","=""5s.5p3""","=""5S*""","=""2""",5,5,,"=""""","=""L11121""",
"=""128.289""","=""0.001""","=""128.2893+""","=""12""","=""""",,"=""19.40437""","=""29.06879""","=""5s2.5p.(2P*).5d""","=""3F*""","=""2""","=""5s2.5p.(2P*).6p""","=""3P""","=""1""",5,3,,"=""""","=""L7287""",
"=""129.057""","=""0.001""","=""129.0564+""","=""3""","=""""",,"=""21.45816""","=""31.06513""","=""5s2.5p.(2P*).5d""","=""3D*""","=""1""","=""5s2.5p.(2P*).6p""","=""1D""","=""2""",3,5,,"=""""","=""L7287""",
"=""130.169""","=""0.001""","=""130.1697+""","=""4""","=""""",,"=""21.19976""","=""30.72457""","=""5s2.5p.(2P*).5d""","=""3P*""","=""2""","=""5s2.5p.(2P*).6p""","=""3S""","=""1""",5,3,,"=""""","=""L7287""",
"=""131.746""","=""0.001""","=""131.7478+""","=""12""","=""""",,"=""16.54050""","=""25.95122""","=""5s.5p3""","=""3P*""","=""0""","=""5s2.5p.(2P*).4f""","=""3D""","=""1""",1,3,,"=""""","=""L7287""",
"=""132.438""","=""0.001""","=""132.4389+""","=""9""","=""""",,"=""14.39419""","=""23.75581""","=""5s.5p3""","=""3D*""","=""2""","=""5s2.5p.(2P*).4f""","=""3F""","=""2""",5,5,,"=""""","=""L7287""",
"=""132.458""","=""0.001""","=""132.4596+""","=""4""","=""""",,"=""22.83139""","=""32.19154""","=""5s2.5p.(2P*).5d""","=""3P*""","=""1""","=""5s2.5p.(2P*).6p""","=""1S""","=""0""",3,1,,"=""""","=""L7287""",
"=""132.944""","=""0.001""","=""132.9427+""","=""4""","=""""",,"=""21.19976""","=""30.52590""","=""5s2.5p.(2P*).5d""","=""3P*""","=""2""","=""5s2.5p.(2P*).6p""","=""3D""","=""3""",5,7,,"=""""","=""L7287""",
