obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""34.443""","=""0.0015""","=""34.444+""","=""a""","=""""",,"=""0.0000000""","=""35.996""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.11p""","=""(5/2,3/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""34.455""","=""0.0015""","=""34.455+""","=""a""","=""""",,"=""0.0000000""","=""35.984""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.7f""","=""(3/2,5/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""34.473""","=""0.0015""","=""34.473+""","=""a""","=""""",,"=""0.0000000""","=""35.965""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.9f""","=""(5/2,7/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""34.610""","=""0.0015""","=""34.610+""","=""a""","=""""",,"=""0.0000000""","=""35.823""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.10p""","=""(5/2,3/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""34.633""","=""0.0015""","=""34.633+""","=""a""","=""""",,"=""0.0000000""","=""35.799""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.8f""","=""(5/2,7/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""34.816""","=""0.0015""","=""34.817+""","=""a""","=""""",,"=""0.0000000""","=""35.611""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.8p""","=""(3/2,1/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""34.858""","=""0.0015""","=""34.858+""","=""a""","=""""",,"=""0.0000000""","=""35.569""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.9p""","=""(5/2,3/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""34.866""","=""0.0015""","=""34.866+""","=""a""","=""""",,"=""0.0000000""","=""35.560""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.6f""","=""(3/2,5/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""34.885""","=""0.0015""","=""34.885+""","=""a""","=""""",,"=""0.0000000""","=""35.541""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.7f""","=""(5/2,7/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""35.200""","=""0.0015""","=""35.200+""","=""a""","=""""",,"=""0.0000000""","=""35.223""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.6f""","=""(5/2,7/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""35.243""","=""0.0015""","=""35.244+""","=""a""","=""""",,"=""0.0000000""","=""35.179""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.8p""","=""(5/2,3/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""35.447""","=""0.0015""","=""35.447+""","=""a""","=""""",,"=""0.0000000""","=""34.977""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.7p""","=""(3/2,1/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""35.472""","=""0.0015""","=""35.472+""","=""a""","=""""",,"=""0.0000000""","=""34.952""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.7p""","=""(3/2,3/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""35.556""","=""0.0015""","=""35.556+""","=""a""","=""""",,"=""0.0000000""","=""34.871""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.5f""","=""(3/2,5/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""35.899""","=""0.0015""","=""35.899+""","=""a""","=""""",,"=""0.0000000""","=""34.537""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.7p""","=""(5/2,3/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""36.000""","=""0.0015""","=""36.000+""","=""a""","=""""",,"=""0.0000000""","=""34.440""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.5f""","=""(5/2,7/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""36.709""","=""0.0015""","=""36.709+""","=""a""","=""""",,"=""0.0000000""","=""33.775""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.6p""","=""(3/2,1/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""36.745""","=""0.0015""","=""36.746+""","=""a""","=""""",,"=""0.0000000""","=""33.741""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.6p""","=""(3/2,3/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""36.894""","=""0.0015""","=""36.894+""","=""a""","=""""",,"=""0.0000000""","=""33.606""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.4f""","=""(3/2,5/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""37.193""","=""0.0015""","=""37.193+""","=""a""","=""""",,"=""0.0000000""","=""33.336""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.6p""","=""(5/2,3/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""37.376""","=""0.0015""","=""37.376+""","=""a""","=""""",,"=""0.0000000""","=""33.172""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.4f""","=""(5/2,7/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""39.847""","=""0.0015""","=""39.847+""","=""a""","=""""",,"=""0.0000000""","=""31.115""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.5p""","=""(3/2,1/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""39.920""","=""0.0015""","=""39.9200+""","=""a""","=""""",,"=""0.0000000""","=""31.0582""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.5p""","=""(3/2,3/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""40.436""","=""0.0015""","=""40.4361+""","=""a""","=""""",,"=""0.0000000""","=""30.6618""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.4s2.5p""","=""(5/2,3/2)*""","=""1""",1,3,,"=""""","=""L12180""",
"=""82.9529""","=""0.0004""","=""82.952835+""","=""3""","=""2.2e+07""",,"=""0.0000000""","=""14.9463486""","=""3d10.4s2""","=""1S""","=""0""","=""4s.5p""","=""1P*""","=""1""",1,3,,"=""T8042""","=""L12180""",
