obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""38.7631""","=""0.0008""","=""""","=""2.631e+08""",AA,"=""(665.1906)""","=""(697.1757)""","=""1s.3d""","=""3D""","=""1""","=""1s.4p""","=""3P*""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""38.7528""","=""0.0008""","=""""","=""1.053e+07""",AA,"=""(665.1906)""","=""(697.1842)""","=""1s.3d""","=""3D""","=""1""","=""1s.4p""","=""3P*""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""38.7643""","=""0.0008""","=""""","=""7.889e+08""",AA,"=""(665.1916)""","=""(697.1757)""","=""1s.3d""","=""3D""","=""2""","=""1s.4p""","=""3P*""","=""1""",5,3,,"=""T5997LS""","=""""",
"=""""","=""38.7540""","=""0.0008""","=""""","=""1.578e+08""",AA,"=""(665.1916)""","=""(697.1842)""","=""1s.3d""","=""3D""","=""2""","=""1s.4p""","=""3P*""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""38.7616""","=""0.0008""","=""""","=""8.835e+08""",AA,"=""(665.1979)""","=""(697.1842)""","=""1s.3d""","=""3D""","=""3""","=""1s.4p""","=""3P*""","=""2""",7,5,,"=""T5997LS""","=""""",
"=""""","=""38.6462""","=""0.0016""","=""""","=""1.689e+10""",AA,"=""(665.5744)""","=""(697.6562)""","=""1s.3p""","=""1P*""","=""1""","=""1s.4d""","=""1D""","=""2""",3,5,,"=""T5997""","=""""",
"=""""","=""39.2395""","=""0.0012""","=""""","=""5.555e+09""",AA,"=""(665.5744)""","=""(697.1711)""","=""1s.3p""","=""1P*""","=""1""","=""1s.4s""","=""1S""","=""0""",3,1,,"=""T5997""","=""""",
"=""""","=""39.7093""","=""0.0020""","=""""","=""3.74e+07""",A,"=""(697.6272)""","=""(728.8502)""","=""1s.4d""","=""3D""","=""1""","=""1s.8p""","=""3P*""","=""0""",3,1,,"=""T5231LS""","=""""",
"=""""","=""39.7091""","=""0.0020""","=""""","=""9.35e+06""",A,"=""(697.6272)""","=""(728.8503)""","=""1s.4d""","=""3D""","=""1""","=""1s.8p""","=""3P*""","=""1""",3,3,,"=""T5231LS""","=""""",
"=""""","=""39.7078""","=""0.0020""","=""""","=""3.74e+05""",A,"=""(697.6272)""","=""(728.8514)""","=""1s.4d""","=""3D""","=""1""","=""1s.8p""","=""3P*""","=""2""",3,5,,"=""T5231LS""","=""""",
"=""""","=""39.7097""","=""0.0020""","=""""","=""2.80e+07""",A,"=""(697.6277)""","=""(728.8503)""","=""1s.4d""","=""3D""","=""2""","=""1s.8p""","=""3P*""","=""1""",5,3,,"=""T5231LS""","=""""",
"=""""","=""39.7084""","=""0.0020""","=""""","=""5.61e+06""",A,"=""(697.6277)""","=""(728.8514)""","=""1s.4d""","=""3D""","=""2""","=""1s.8p""","=""3P*""","=""2""",5,5,,"=""T5231LS""","=""""",
"=""""","=""39.7115""","=""0.0020""","=""""","=""3.12e+07""",A,"=""(697.6302)""","=""(728.8514)""","=""1s.4d""","=""3D""","=""3""","=""1s.8p""","=""3P*""","=""2""",7,5,,"=""T5231LS""","=""""",
"=""""","=""43.3935""","=""0.0014""","=""""","=""6.281e+08""",A,"=""(697.1711)""","=""(725.7432)""","=""1s.4s""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",1,3,,"=""T5231""","=""""",
"=""""","=""44.1429""","=""0.0020""","=""""","=""1.21e+08""",A,"=""(697.6562)""","=""(725.7432)""","=""1s.4d""","=""1D""","=""2""","=""1s.7p""","=""1P*""","=""1""",5,3,,"=""T5231""","=""""",
"=""""","=""44.2733""","=""0.0024""","=""""","=""1.57e+08""",A,"=""(697.6272)""","=""(725.6315)""","=""1s.4d""","=""3D""","=""1""","=""1s.7p""","=""3P*""","=""0""",3,1,,"=""T5231LS""","=""""",
"=""""","=""44.2729""","=""0.0024""","=""""","=""3.92e+07""",A,"=""(697.6272)""","=""(725.6318)""","=""1s.4d""","=""3D""","=""1""","=""1s.7p""","=""3P*""","=""1""",3,3,,"=""T5231LS""","=""""",
"=""""","=""44.2704""","=""0.0024""","=""""","=""1.57e+06""",A,"=""(697.6272)""","=""(725.6334)""","=""1s.4d""","=""3D""","=""1""","=""1s.7p""","=""3P*""","=""2""",3,5,,"=""T5231LS""","=""""",
"=""""","=""44.2736""","=""0.0024""","=""""","=""1.18e+08""",A,"=""(697.6277)""","=""(725.6318)""","=""1s.4d""","=""3D""","=""2""","=""1s.7p""","=""3P*""","=""1""",5,3,,"=""T5231LS""","=""""",
"=""""","=""44.2712""","=""0.0024""","=""""","=""2.35e+07""",A,"=""(697.6277)""","=""(725.6334)""","=""1s.4d""","=""3D""","=""2""","=""1s.7p""","=""3P*""","=""2""",5,5,,"=""T5231LS""","=""""",
"=""""","=""44.2751""","=""0.0024""","=""""","=""1.31e+08""",A,"=""(697.6302)""","=""(725.6334)""","=""1s.4d""","=""3D""","=""3""","=""1s.7p""","=""3P*""","=""2""",7,5,,"=""T5231LS""","=""""",
"=""""","=""52.3753""","=""0.0021""","=""""","=""9.837e+08""",AA,"=""(697.1711)""","=""(720.8434)""","=""1s.4s""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""53.471""","=""0.003""","=""""","=""2.130e+08""",AA,"=""(697.6562)""","=""(720.8434)""","=""1s.4d""","=""1D""","=""2""","=""1s.6p""","=""1P*""","=""1""",5,3,,"=""T5997""","=""""",
"=""""","=""53.817""","=""0.004""","=""""","=""2.744e+08""",AA,"=""(697.6272)""","=""(720.6654)""","=""1s.4d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""0""",3,1,,"=""T5997LS""","=""""",
"=""""","=""53.816""","=""0.004""","=""""","=""6.859e+07""",AA,"=""(697.6272)""","=""(720.6658)""","=""1s.4d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""53.810""","=""0.004""","=""""","=""2.744e+06""",AA,"=""(697.6272)""","=""(720.6683)""","=""1s.4d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""53.817""","=""0.004""","=""""","=""2.056e+08""",AA,"=""(697.6277)""","=""(720.6658)""","=""1s.4d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""1""",5,3,,"=""T5997LS""","=""""",
"=""""","=""53.811""","=""0.004""","=""""","=""4.113e+07""",AA,"=""(697.6277)""","=""(720.6683)""","=""1s.4d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""53.8610""","=""0.0023""","=""""","=""2.075e+09""",AA,"=""(697.7859)""","=""(720.8052)""","=""1s.4p""","=""1P*""","=""1""","=""1s.6d""","=""1D""","=""2""",3,5,,"=""T5997""","=""""",
"=""""","=""53.817""","=""0.004""","=""""","=""2.285e+08""",AA,"=""(697.6302)""","=""(720.6683)""","=""1s.4d""","=""3D""","=""3""","=""1s.6p""","=""3P*""","=""2""",7,5,,"=""T5997LS""","=""""",
"=""""","=""76.498""","=""0.008""","=""""","=""2.79e+07""",A,"=""(712.6427)""","=""(728.8502)""","=""1s.5d""","=""3D""","=""1""","=""1s.8p""","=""3P*""","=""0""",3,1,,"=""T5231LS""","=""""",
"=""""","=""76.497""","=""0.008""","=""""","=""6.96e+06""",A,"=""(712.6427)""","=""(728.8503)""","=""1s.5d""","=""3D""","=""1""","=""1s.8p""","=""3P*""","=""1""",3,3,,"=""T5231LS""","=""""",
"=""""","=""76.492""","=""0.008""","=""""","=""2.79e+05""",A,"=""(712.6427)""","=""(728.8514)""","=""1s.5d""","=""3D""","=""1""","=""1s.8p""","=""3P*""","=""2""",3,5,,"=""T5231LS""","=""""",
"=""""","=""76.499""","=""0.008""","=""""","=""2.09e+07""",A,"=""(712.6429)""","=""(728.8503)""","=""1s.5d""","=""3D""","=""2""","=""1s.8p""","=""3P*""","=""1""",5,3,,"=""T5231LS""","=""""",
"=""""","=""76.494""","=""0.008""","=""""","=""4.18e+06""",A,"=""(712.6429)""","=""(728.8514)""","=""1s.5d""","=""3D""","=""2""","=""1s.8p""","=""3P*""","=""2""",5,5,,"=""T5231LS""","=""""",
"=""""","=""76.500""","=""0.008""","=""""","=""2.33e+07""",A,"=""(712.6443)""","=""(728.8514)""","=""1s.5d""","=""3D""","=""3""","=""1s.8p""","=""3P*""","=""2""",7,5,,"=""T5231LS""","=""""",
"=""""","=""79.728""","=""0.005""","=""""","=""1.573e+09""",AA,"=""(697.1711)""","=""(712.7221)""","=""1s.4s""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""80.196""","=""0.009""","=""""","=""3.454e+09""",AA,"=""(697.1842)""","=""(712.6443)""","=""1s.4p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
"=""""","=""80.159""","=""0.009""","=""""","=""2.578e+09""",AA,"=""(697.1757)""","=""(712.6429)""","=""1s.4p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""80.203""","=""0.009""","=""""","=""8.594e+08""",AA,"=""(697.1842)""","=""(712.6429)""","=""1s.4p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""80.154""","=""0.009""","=""""","=""1.909e+09""",AA,"=""(697.1744)""","=""(712.6427)""","=""1s.4p""","=""3P*""","=""0""","=""1s.5d""","=""3D""","=""1""",1,3,,"=""T5997LS""","=""""",
"=""""","=""80.161""","=""0.009""","=""""","=""1.432e+09""",AA,"=""(697.1757)""","=""(712.6427)""","=""1s.4p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""80.205""","=""0.009""","=""""","=""9.545e+07""",AA,"=""(697.1842)""","=""(712.6427)""","=""1s.4p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""1""",5,3,,"=""T5997LS""","=""""",
"=""""","=""82.295""","=""0.007""","=""""","=""4.252e+08""",AA,"=""(697.6562)""","=""(712.7221)""","=""1s.4d""","=""1D""","=""2""","=""1s.5p""","=""1P*""","=""1""",5,3,,"=""T5997""","=""""",
"=""""","=""83.362""","=""0.008""","=""""","=""3.625e+09""",AA,"=""(697.7859)""","=""(712.6589)""","=""1s.4p""","=""1P*""","=""1""","=""1s.5d""","=""1D""","=""2""",3,5,,"=""T5997""","=""""",
"=""""","=""83.856""","=""0.009""","=""""","=""5.563e+08""",AA,"=""(697.6272)""","=""(712.4125)""","=""1s.4d""","=""3D""","=""1""","=""1s.5p""","=""3P*""","=""0""",3,1,,"=""T5997LS""","=""""",
"=""""","=""83.852""","=""0.009""","=""""","=""1.391e+08""",AA,"=""(697.6272)""","=""(712.4132)""","=""1s.4d""","=""3D""","=""1""","=""1s.5p""","=""3P*""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""83.828""","=""0.009""","=""""","=""5.563e+06""",AA,"=""(697.6272)""","=""(712.4176)""","=""1s.4d""","=""3D""","=""1""","=""1s.5p""","=""3P*""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""83.855""","=""0.009""","=""""","=""4.168e+08""",AA,"=""(697.6277)""","=""(712.4132)""","=""1s.4d""","=""3D""","=""2""","=""1s.5p""","=""3P*""","=""1""",5,3,,"=""T5997LS""","=""""",
"=""""","=""83.831""","=""0.009""","=""""","=""8.336e+07""",AA,"=""(697.6277)""","=""(712.4176)""","=""1s.4d""","=""3D""","=""2""","=""1s.5p""","=""3P*""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""83.845""","=""0.009""","=""""","=""4.610e+08""",AA,"=""(697.6302)""","=""(712.4176)""","=""1s.4d""","=""3D""","=""3""","=""1s.5p""","=""3P*""","=""2""",7,5,,"=""T5997LS""","=""""",
"=""""","=""94.758""","=""0.010""","=""""","=""1.17e+08""",A,"=""(712.6589)""","=""(725.7432)""","=""1s.5d""","=""1D""","=""2""","=""1s.7p""","=""1P*""","=""1""",5,3,,"=""T5231""","=""""",
"=""""","=""95.454""","=""0.012""","=""""","=""1.50e+08""",A,"=""(712.6427)""","=""(725.6315)""","=""1s.5d""","=""3D""","=""1""","=""1s.7p""","=""3P*""","=""0""",3,1,,"=""T5231LS""","=""""",
"=""""","=""95.453""","=""0.012""","=""""","=""3.76e+07""",A,"=""(712.6427)""","=""(725.6318)""","=""1s.5d""","=""3D""","=""1""","=""1s.7p""","=""3P*""","=""1""",3,3,,"=""T5231LS""","=""""",
