Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""6s2.6p.(2P*<1/2>).8d""","=""2[3/2]*""","=""1""",3,"=""""","=""6.83874218""","=""""","=""0.00000012""","=""         or  :        6s2.6p.8d  3D*  ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).6f""","=""2[5/2]""","=""3""",7,"=""""","=""6.8627969""","=""""","=""0.0000007""","=""         or  :        6s2.6p.6f  1F   ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).6f""","=""2[5/2]""","=""1""",3,"=""""","=""6.8637748""","=""""","=""0.0000006""","=""                                      ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).6f""","=""2[7/2]""","=""2""",5,"=""""","=""6.8642763""","=""""","=""0.0000005""","=""                                      ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).6f""","=""2[7/2]""","=""4""",9,"=""""","=""6.8648093""","=""""","=""0.0000007""","=""                                      ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).5g""","=""2[7/2]*""","=""3""",7,"=""""","=""6.8707641""","=""""","=""0.0000025""","=""                                      ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).5g""","=""2[9/2]*""","=""4,5""",20,"=""""","=""6.870870""","=""""","=""0.000005""","=""                                      ""","=""L50"""
"=""6s2.6p.10s""","=""(1/2,1/2)*""","=""0""",1,"=""""","=""6.9066850""","=""""","=""0.0000004""","=""         or  :                   3P*  ""","=""L50"""
"=""6s2.6p.10s""","=""(1/2,1/2)*""","=""1""",3,"=""""","=""6.90845330""","=""""","=""0.00000021""","=""         or  :                   3P*  ""","=""L50"""
"=""6s2.6p.10p""","=""(1/2,1/2)""","=""1""",3,"=""""","=""6.9851373""","=""""","=""0.0000010""","=""                                      ""","=""L50"""
"=""6s2.6p.10p""","=""(1/2,1/2)""","=""0""",1,"=""""","=""6.9990357""","=""""","=""0.0000005""","=""                                      ""","=""L50"""
"=""6s2.6p.10p""","=""(1/2,3/2)""","=""2""",5,"=""""","=""7.0011043""","=""""","=""0.0000004""","=""                                      ""","=""L50"""
"=""6s2.6p.10p""","=""(1/2,3/2)""","=""2""",5,"=""""","=""7.00202509""","=""""","=""0.00000025""","=""                                      ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).9d""","=""2[5/2]*""","=""2""",5,"=""""","=""7.00839186""","=""""","=""0.00000016""","=""         or  :        6s2.6p.9d  3F*  ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).9d""","=""2[5/2]*""","=""3""",7,"=""""","=""7.0175891""","=""""","=""0.0000004""","=""         or  :        6s2.6p.9d  3F*  ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).9d""","=""2[3/2]*""","=""2""",5,"=""""","=""7.0129424""","=""""","=""0.0000004""","=""         or  :        6s2.6p.9d  3D*  ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).9d""","=""2[3/2]*""","=""1""",3,"=""""","=""7.01809270""","=""""","=""0.00000025""","=""         or  :        6s2.6p.9d  3D*  ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).7f""","=""2[5/2]""","=""3""",7,"=""""","=""7.0316339""","=""""","=""0.0000005""","=""                                      ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).7f""","=""2[5/2]""","=""2""",5,"=""""","=""7.0323582""","=""""","=""0.0000010""","=""                                      ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).7f""","=""2[7/2]""","=""3""",7,"=""""","=""7.0336238""","=""""","=""0.0000009""","=""         or  :        6s2.6p.7f  1F   ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).7f""","=""2[7/2]""","=""4""",9,"=""""","=""7.0339978""","=""""","=""0.0000010""","=""         or  :        6s2.6p.7f  3F   ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).6g""","=""2[7/2]*""","=""3""",7,"=""""","=""7.037596""","=""""","=""0.000010""","=""                                      ""","=""L50"""
"=""6s2.6p.11s""","=""(1/2,1/2)*""","=""0""",1,"=""""","=""7.0590794""","=""""","=""0.0000020""","=""         or  :                   3P*  ""","=""L50"""
"=""6s2.6p.11s""","=""(1/2,1/2)*""","=""1""",3,"=""""","=""7.0599241""","=""""","=""0.0000007""","=""         or  :                   3P*  ""","=""L50"""
"=""6s2.6p.7p""","=""(3/2,1/2)""","=""1""",3,"=""""","=""7.06833183""","=""""","=""0.00000014""","=""                                      ""","=""L50"""
"=""6s2.6p.7p""","=""(3/2,1/2)""","=""2""",5,"=""""","=""7.1413129""","=""""","=""0.0000011""","=""                                      ""","=""L50"""
"=""6s2.6p.11p""","=""(1/2,3/2)""","=""2""",5,"=""""","=""7.0994180""","=""""","=""0.0000006""","=""                                      ""","=""L50"""
"=""6s2.6p.11p""","=""(1/2,3/2)""","=""1""",3,"=""""","=""7.1203753""","=""""","=""0.0000009""","=""                                      ""","=""L50"""
"=""6s2.6p.11p""","=""(1/2,1/2)""","=""1""",3,"=""""","=""7.1065066""","=""""","=""0.0000011""","=""                                      ""","=""L50"""
"=""6s2.6p.11p""","=""(1/2,1/2)""","=""0""",1,"=""""","=""7.1143219""","=""""","=""0.0000012""","=""                                      ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).10d""","=""2[5/2]*""","=""2""",5,"=""""","=""7.1196651""","=""""","=""0.0000009""","=""         or  :        6s2.6p.10d 3F*  ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).10d""","=""2[5/2]*""","=""3""",7,"=""""","=""7.12528993""","=""""","=""0.00000025""","=""         or  :        6s2.6p.10d 3F*  ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).10d""","=""2[3/2]*""","=""2""",5,"=""""","=""7.1222066""","=""""","=""0.0000012""","=""         or  :        6s2.6p.10d 3D*  ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).10d""","=""2[3/2]*""","=""1""",3,"=""""","=""7.1255119""","=""""","=""0.0000007""","=""         or  :        6s2.6p.10d 3D*  ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).8f""","=""2[5/2]""","=""2""",5,"=""""","=""7.1288180""","=""""","=""0.0000007""","=""                                      ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).8f""","=""2[5/2]""","=""3""",7,"=""""","=""7.13180456""","=""""","=""0.00000025""","=""                                      ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).8f""","=""2[7/2]""","=""3""",7,"=""""","=""7.1356403""","=""""","=""0.0000006""","=""         or  :        6s2.6p.8f  1F   ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).8f""","=""2[7/2]""","=""4""",9,"=""""","=""7.1359024""","=""""","=""0.0000009""","=""         or  :        6s2.6p.8f  3F   ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).7g""","=""2[7/2]*""","=""3""",7,"=""""","=""7.138199""","=""""","=""0.000006""","=""                                      ""","=""L50"""
"=""6s2.6p.12s""","=""(1/2,1/2)*""","=""0""",1,"=""""","=""7.1520333""","=""""","=""0.0000011""","=""         or  :                   3P*  ""","=""L50"""
"=""6s2.6p.12s""","=""(1/2,1/2)*""","=""1""",3,"=""""","=""7.1524745""","=""""","=""0.0000007""","=""         or  :                   3P*  ""","=""L50"""
"=""6s2.6p.12p""","=""(1/2,1/2)""","=""1""",3,"=""""","=""7.1806795""","=""""","=""0.0000007""","=""                                      ""","=""L50"""
"=""6s2.6p.12p""","=""(1/2,1/2)""","=""0""",1,"=""""","=""7.187640""","=""""","=""0.000004""","=""                                      ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).11d""","=""2[5/2]*""","=""2""",5,"=""""","=""7.1905747""","=""""","=""0.0000007""","=""         or  :        6s2.6p.11d 3F*  ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).11d""","=""2[5/2]*""","=""3""",7,"=""""","=""7.1946164""","=""""","=""0.0000007""","=""         or  :        6s2.6p.11d 3F*  ""","=""L50"""
"=""6s2.6p.12p""","=""(1/2,3/2)""","=""1""",3,"=""""","=""7.1908137""","=""""","=""0.0000012""","=""                                      ""","=""L50"""
"=""6s2.6p.12p""","=""(1/2,3/2)""","=""2""",5,"=""""","=""7.1926973""","=""""","=""0.0000010""","=""                                      ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).11d""","=""2[3/2]*""","=""2""",5,"=""""","=""7.1925770""","=""""","=""0.0000010""","=""         or  :        6s2.6p.11d 3D*  ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).11d""","=""2[3/2]*""","=""1""",3,"=""""","=""7.1947905""","=""""","=""0.0000017""","=""         or  :        6s2.6p.11d 3D*  ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).9f""","=""2[7/2]""","=""3""",7,"=""""","=""7.201749""","=""""","=""0.000005""","=""         or  :        6s2.6p.9f  1F   ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).9f""","=""2[7/2]""","=""4""",9,"=""""","=""7.2019479""","=""""","=""0.0000007""","=""         or  :        6s2.6p.9f  3F   ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).8g""","=""2[7/2]*""","=""3""",7,"=""""","=""7.20349""","=""""","=""0.00004""","=""                                      ""","=""L50"""
"=""6s2.6p.7p""","=""(3/2,3/2)""","=""3""",7,"=""""","=""7.2074570""","=""""","=""0.0000010""","=""                                      ""","=""L50"""
"=""6s2.6p.7p""","=""(3/2,3/2)""","=""1""",3,"=""""","=""7.2316337""","=""""","=""0.0000009""","=""                                      ""","=""L50"""
"=""6s2.6p.7p""","=""(3/2,3/2)""","=""2""",5,"=""""","=""7.3119443""","=""""","=""0.0000009""","=""                                      ""","=""L50"""
"=""6s2.6p.13s""","=""(1/2,1/2)*""","=""0""",1,"=""""","=""7.212912""","=""""","=""0.000005""","=""                                      ""","=""L50"""
"=""6s2.6p.13s""","=""(1/2,1/2)*""","=""1""",3,"=""""","=""7.2131552""","=""""","=""0.0000009""","=""         or  :                   3P*  ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).13p""","=""(1/2,3/2)""","=""2""",5,"=""""","=""7.2368228""","=""""","=""0.0000009""","=""                                      ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).13p""","=""(1/2,3/2)""","=""1""",3,"=""""","=""7.2416404""","=""""","=""0.0000017""","=""                                      ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).12d""","=""2[5/2]*""","=""2""",5,"=""""","=""7.2380131""","=""""","=""0.0000012""","=""         or  :        6s2.6p.12d 3F*  ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).12d""","=""2[5/2]*""","=""3""",7,"=""""","=""7.241833""","=""""","=""0.000004""","=""         or  :        6s2.6p.12d 3F*  ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).12d""","=""2[3/2]*""","=""2""",5,"=""""","=""7.2405210""","=""""","=""0.0000025""","=""         or  :        6s2.6p.12d 3D*  ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).12d""","=""2[3/2]*""","=""1""",3,"=""""","=""7.242057""","=""""","=""0.000007""","=""         or  :        6s2.6p.12d 3D*  ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).10f""","=""2[7/2]""","=""3""",7,"=""""","=""7.2470413""","=""""","=""0.0000011""","=""         or  :        6s2.6p.10f 1F   ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).10f""","=""2[7/2]""","=""4""",9,"=""""","=""7.2471681""","=""""","=""0.0000015""","=""         or  :        6s2.6p.10f 3F   ""","=""L50"""
"=""6s2.6p.(2P*<1/2>).9g""","=""2[7/2]*""","=""3""",7,"=""""","=""7.24828""","=""""","=""0.00004""","=""                                      ""","=""L50"""
"=""6s2.6p.14s""","=""(1/2,1/2)*""","=""1""",3,"=""""","=""7.255092""","=""""","=""0.000006""","=""         or  :                   3P*  ""","=""L50"""
"=""6s2.6p.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""",5,"=""""","=""7.25525860""","=""""","=""0.00000025""","=""                                      ""","=""L50"""
