obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""5.1386""","=""20g""","=""2.03e+10""",D+,"=""0.0000""","=""241.281""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.6d""","=""2D""","=""3/2""",2,4,,"=""T7192c4,LS""","=""L927""",
"=""5.1470""","=""5.1473""","=""40g""","=""2.43e+10""",D+,"=""0.4094""","=""241.281""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.6d""","=""2D""","=""5/2""",4,6,,"=""T7192c4,LS""","=""L927""",
"=""""","=""5.1473""","=""""","=""4.05e+09""",E,"=""0.4094""","=""241.281""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.6d""","=""2D""","=""3/2""",4,4,,"=""T7192c4,LS""","=""""",
"=""5.2395""","=""5.2395""","=""10""","=""3.13e+10""",C,"=""16.454+x""","=""253.088+x?""","=""2s.2p2""","=""4P""","=""5/2""","=""2p2.(3P).4p""","=""4D*""","=""7/2""",6,8,,"=""T7192c4,LS""","=""L7429""",
"=""""","=""5.2628""","=""""","=""7.05e+08""",E,"=""28.8024""","=""264.386?""","=""2s.2p2""","=""2D""","=""3/2""","=""2s.2p.(1P*).5d""","=""2D*""","=""5/2""",4,6,,"=""T7192c4,LS""","=""""",
"=""""","=""5.2628""","=""""","=""1.06e+09""",E,"=""28.7983""","=""264.386?""","=""2s.2p2""","=""2D""","=""5/2""","=""2s.2p.(1P*).5d""","=""2D*""","=""3/2""",6,4,,"=""T7192c4,LS""","=""""",
"=""5.2628""","=""5.2628""","=""40*""","=""9.51e+09""",D,"=""28.8024""","=""264.386?""","=""2s.2p2""","=""2D""","=""3/2""","=""2s.2p.(1P*).5d""","=""2D*""","=""3/2""",4,4,,"=""T7192c4,LS""","=""L927""",
"=""5.2628""","=""5.2628""","=""40*""","=""9.87e+09""",D,"=""28.7983""","=""264.386?""","=""2s.2p2""","=""2D""","=""5/2""","=""2s.2p.(1P*).5d""","=""2D*""","=""5/2""",6,6,,"=""T7192c4,LS""","=""L927""",
"=""5.2692""","=""5.2692""","=""80*""","=""""",,"=""28.7983""","=""264.10?""","=""2s.2p2""","=""2D""","=""5/2""","=""2s.2p.(1P*).5d""","=""2F*""","=""7/2""",6,8,,"=""""","=""L927""",
"=""5.2692""","=""5.2693""","=""80*""","=""""",,"=""28.8024""","=""264.10?""","=""2s.2p2""","=""2D""","=""3/2""","=""2s.2p.(1P*).5d""","=""2F*""","=""5/2""",4,6,,"=""""","=""L927""",
"=""5.3438""","=""5.3437""","=""20""","=""1.81e+10""",D+,"=""16.246+x""","=""248.263+x""","=""2s.2p2""","=""4P""","=""3/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""5/2""",4,6,,"=""T7192c4,LS""","=""L927""",
"=""5.3484""","=""5.3484""","=""10*""","=""7.93e+10""",C,"=""16.246+x""","=""248.061+x?""","=""2s.2p2""","=""4P""","=""3/2""","=""2s.2p.(3P*).5d""","=""4D*""","=""5/2""",4,6,,"=""T7192c4,LS""","=""L7429""",
"=""5.3484""","=""5.3485""","=""10*""","=""4.20e+10""",C,"=""16.454+x""","=""248.263+x""","=""2s.2p2""","=""4P""","=""5/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""5/2""",6,6,,"=""T7192c4,LS""","=""L7429""",
"=""5.3512""","=""5.3512""","=""100""","=""1.13e+11""",C,"=""16.454+x""","=""248.148+x""","=""2s.2p2""","=""4P""","=""5/2""","=""2s.2p.(3P*).5d""","=""4D*""","=""7/2""",6,8,,"=""T7192c4,LS""","=""L7429""",
"=""""","=""5.3532""","=""""","=""3.38e+10""",D+,"=""16.454+x""","=""248.061+x?""","=""2s.2p2""","=""4P""","=""5/2""","=""2s.2p.(3P*).5d""","=""4D*""","=""5/2""",6,6,,"=""T7192c4,LS""","=""""",
"=""5.3744""","=""5.3744""","=""10""","=""""",,"=""28.7983""","=""259.491?""","=""2s.2p2""","=""2D""","=""5/2""","=""2s.2p.(3P*).6d""","=""2F*""","=""7/2""",6,8,,"=""""","=""L927""",
"=""5.3812""","=""5.3812""","=""10g""","=""5.39e+10""",D+,"=""0.0000""","=""230.402""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.5d""","=""2D""","=""3/2""",2,4,,"=""T7192c4,LS""","=""L7429""",
