Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
N+ 1D;v=2s2.2p.3p,N+ 3Po;v=2s2.2p.3s,8.259e-08,-3.1370998037375983
N+ 1D;v=2s2.2p.3p,N+ 1Do;v=2s.2p3,4.9751e-07,-3.7224157019885986
N+ 1D;v=2s2.2p.3p,N+ 1Po;v=2s.2p3,1.5773e-06,-0.9231650451974005
N+ 1D;v=2s2.2p.3p,N+ 3So;v=2s.2p3,0.00031645,-2.3661838420080983
N+ 1S;v=2s2.2p.3p,N+ 1Po;v=2s2.2p.3s,5.2356e-09,-3.6059972252975996
N+ 1S;v=2s2.2p.3p,N+ 3Po;v=2s2.2p.3s,5.2356e-08,-3.6405880186913997
N+ 1S;v=2s2.2p.3p,N+ 1Po;v=2s.2p3,8.6207e-07,-1.4266532601512019
N+ 1S;v=2s2.2p.3p,N+ 3Do;v=2s.2p3,0.00011877,-10.6650235006626
N+ 1S;v=2s2.2p.3p,N+ 3So;v=2s.2p3,0.00017889,-2.8696720569618996
N+ 3Fo;v=2s2.2p.3d,N+ 3D;v=2s2.2p.3p,8.8646e-09,-2.4783869531957983
N+ 3Fo;v=2s2.2p.3d,N+ 1D;v=2s2.2p2,4.2537e-08,-21.22508440029606
N+ 3Fo;v=2s2.2p.3d,N+ 3P;v=2s2.2p2,1.1424e-07,-23.12400737441
N+ 3Fo;v=2s2.2p.3d,N+ 1P;v=2s2.2p.3p,6.0583e-07,-2.7153152907423994
N+ 3Fo;v=2s2.2p.3d,N+ 3P;v=2s2.2p.3p,1.6097e-05,-1.9761385516251977
N+ 1Do;v=2s2.2p.3d,N+ 1D;v=2s2.2p2,3.6493e-10,-21.29686959518856
N+ 1Do;v=2s2.2p.3d,N+ 1P;v=2s2.2p.3p,8.9276e-09,-2.7871004856349018
N+ 1Do;v=2s2.2p.3d,N+ 1D;v=2s2.2p.3p,1.1777e-07,-1.5967556563386012
N+ 1Do;v=2s2.2p.3d,N+ 3P;v=2s2.2p2,1.9873e-07,-23.1957925693025
N+ 1Do;v=2s2.2p.3d,N+ 3D;v=2s2.2p.3p,5.3392e-07,-2.5501721480883006
N+ 3Do;v=2s2.2p.3d,N+ 3P;v=2s2.2p2,2.3498e-10,-23.2388140937026
N+ 3Do;v=2s2.2p.3d,N+ 3P;v=2s2.2p.3p,1.8052e-08,-2.0909452709178
N+ 3Do;v=2s2.2p.3d,N+ 3D;v=2s2.2p.3p,3.0644e-08,-2.5931936724884004
N+ 3Do;v=2s2.2p.3d,N+ 1D;v=2s2.2p2,7.2457e-08,-21.33989111958866
N+ 3Do;v=2s2.2p.3d,N+ 1S;v=2s2.2p2,6.9924e-07,-19.18601292133506
N+ 3Po;v=2s2.2p.3d,N+ 3P;v=2s2.2p2,4.0983e-10,-23.4246621198577
N+ 3Po;v=2s2.2p.3d,N+ 3S;v=2s2.2p.3p,1.4326e-08,-2.4852059268039
N+ 3Po;v=2s2.2p.3d,N+ 3P;v=2s2.2p.3p,2.7026e-08,-2.2767932970728992
N+ 3Po;v=2s2.2p.3d,N+ 3D;v=2s2.2p.3p,1.2515e-07,-2.7790416986435
N+ 3Po;v=2s2.2p.3d,N+ 1S;v=2s2.2p2,4.3477e-07,-19.37186094749016
N+ 1Fo;v=2s2.2p.3d,N+ 1D;v=2s2.2p2,2.611e-10,-21.57508371839866
