obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""435.9363""","=""435.9350""","=""2""","=""""",,"=""69.65416""","=""72.49826""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""2""",7,5,,"=""""","=""L1434""",
"=""436.0204""","=""436.0205""","=""3""","=""""",,"=""69.65416""","=""72.49770""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""3""",7,7,,"=""""","=""L1434""",
"=""442.4424""","=""442.4426""","=""2""","=""""",,"=""69.69599""","=""72.49826""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""2""",5,5,,"=""""","=""L1434""",
"=""442.5313""","=""442.5307""","=""2""","=""""",,"=""69.69599""","=""72.49770""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""3""",5,7,,"=""""","=""L1434""",
"=""444.5195""","=""444.5195""","=""3d""","=""""",,"=""72.44963""","=""75.23881""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[5/2]*""","=""2""",3,5,,"=""""","=""L1434""",
"=""444.6825""","=""444.6856""","=""5d*""","=""""",,"=""72.45067""","=""75.23881""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[5/2]*""","=""2""",5,5,,"=""""","=""L1434""",
"=""444.6825""","=""444.6856""","=""5d*""","=""""",,"=""72.45067""","=""75.23881""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[5/2]*""","=""3""",5,7,,"=""""","=""L1434""",
"=""445.3593""","=""445.3510""","=""2d*""","=""""",,"=""72.46410""","=""75.24807""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[9/2]""","=""5""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""4""",11,9,,"=""""","=""L1434""",
"=""445.3593""","=""445.3510""","=""2d*""","=""""",,"=""72.46410""","=""75.24807""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[9/2]""","=""5""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""5""",11,11,,"=""""","=""L1434""",
"=""445.3593""","=""445.3728""","=""2d*""","=""""",,"=""72.46424""","=""75.24807""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[9/2]""","=""4""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""4""",9,9,,"=""""","=""L1434""",
"=""445.3593""","=""445.3728""","=""2d*""","=""""",,"=""72.46424""","=""75.24807""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[9/2]""","=""4""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""5""",9,11,,"=""""","=""L1434""",
"=""446.4657""","=""446.4565""","=""9d*""","=""""",,"=""72.46410""","=""75.24117""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[9/2]""","=""5""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[11/2]*""","=""5""",11,11,,"=""""","=""L1434""",
"=""446.4657""","=""446.4565""","=""9d*""","=""""",,"=""72.46410""","=""75.24117""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[9/2]""","=""5""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[11/2]*""","=""6""",11,13,,"=""""","=""L1434""",
"=""446.4657""","=""446.4784""","=""9d*""","=""""",,"=""72.46424""","=""75.24117""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[9/2]""","=""4""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[11/2]*""","=""5""",9,11,,"=""""","=""L1434""",
"=""447.7746""","=""447.7899""","=""6d*""","=""""",,"=""72.75139""","=""75.52019""","=""2s2.2p5.(2P*<1/2>).4f""","=""2[7/2]""","=""4""","=""2s2.2p5.(2P*<1/2>).5g""","=""2[9/2]*""","=""5""",9,11,,"=""""","=""L1434""",
"=""447.7746""","=""447.7699""","=""6d*""","=""""",,"=""72.47669""","=""75.24561""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""4""",7,9,,"=""""","=""L1434""",
"=""447.7746""","=""447.7579""","=""6d*""","=""""",,"=""72.75119""","=""75.52019""","=""2s2.2p5.(2P*<1/2>).4f""","=""2[7/2]""","=""3""","=""2s2.2p5.(2P*<1/2>).5g""","=""2[9/2]*""","=""4""",7,9,,"=""""","=""L1434""",
"=""447.9109""","=""447.8982""","=""4d*""","=""""",,"=""72.75208""","=""75.52021""","=""2s2.2p5.(2P*<1/2>).4f""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<1/2>).5g""","=""2[7/2]*""","=""4""",7,9,,"=""""","=""L1434""",
"=""447.9109""","=""447.9143""","=""4d*""","=""""",,"=""72.47758""","=""75.24561""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""3""",5,7,,"=""""","=""L1434""",
"=""448.0287""","=""448.0287""","=""3d""","=""""",,"=""72.75289""","=""75.52021""","=""2s2.2p5.(2P*<1/2>).4f""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).5g""","=""2[7/2]*""","=""3""",5,7,,"=""""","=""L1434""",
"=""449.8828""","=""449.8689""","=""7d*""","=""""",,"=""72.49206""","=""75.24807""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[7/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""4""",7,9,,"=""""","=""L1434""",
"=""449.8828""","=""449.8952""","=""7d*""","=""""",,"=""72.49222""","=""75.24807""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[7/2]""","=""4""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""4""",9,9,,"=""""","=""L1434""",
"=""449.8828""","=""449.8952""","=""7d*""","=""""",,"=""72.49222""","=""75.24807""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[7/2]""","=""4""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""5""",9,11,,"=""""","=""L1434""",
"=""450.3056""","=""450.2699""","=""1d*""","=""""",,"=""72.49206""","=""75.24561""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[7/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""3""",7,7,,"=""""","=""L1434""",
"=""450.3056""","=""450.2699""","=""1d*""","=""""",,"=""72.49206""","=""75.24561""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[7/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""4""",7,9,,"=""""","=""L1434""",
"=""450.3056""","=""450.2963""","=""1d*""","=""""",,"=""72.49222""","=""75.24561""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[7/2]""","=""4""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""3""",9,7,,"=""""","=""L1434""",
"=""450.3056""","=""450.2963""","=""1d*""","=""""",,"=""72.49222""","=""75.24561""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[7/2]""","=""4""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""4""",9,9,,"=""""","=""L1434""",
