obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""30.366""","=""0.013""","=""""","=""2.55e+09""",A,"=""228.174""","=""269.005""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.6p""","=""2P*""","=""3/2""",2,4,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""30.366""","=""0.013""","=""""","=""2.55e+09""",A,"=""228.174""","=""269.005""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.6p""","=""2P*""","=""1/2""",2,2,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""31.751""","=""0.014""","=""""","=""4.70e+09""",A,"=""[230.169]""","=""269.218""","=""1s2.4p""","=""2P*""","=""1/2""","=""1s2.6d""","=""2D""","=""3/2""",2,4,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""31.768""","=""0.014""","=""""","=""5.60e+09""",A,"=""[230.210]""","=""269.238""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""5/2""",4,6,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""31.784""","=""0.014""","=""""","=""9.31e+08""",A,"=""[230.210]""","=""269.218""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""3/2""",4,4,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""32.529""","=""0.015""","=""""","=""7.49e+08""",B+,"=""230.890""","=""269.005""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.6p""","=""2P*""","=""1/2""",4,2,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""32.529""","=""0.015""","=""""","=""7.50e+07""",B+,"=""230.890""","=""269.005""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.6p""","=""2P*""","=""3/2""",4,4,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""32.563""","=""0.015""","=""""","=""6.72e+08""",A,"=""230.929""","=""269.005""","=""1s2.4d""","=""2D""","=""5/2""","=""1s2.6p""","=""2P*""","=""3/2""",6,4,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""45.61""","=""0.03""","=""""","=""3.94e+09""",A,"=""228.174""","=""255.358""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.5p""","=""2P*""","=""3/2""",2,4,,"=""T5118c64,LS""","=""""",
"=""""","=""""","=""45.61""","=""0.03""","=""""","=""3.94e+09""",A,"=""228.174""","=""255.358""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.5p""","=""2P*""","=""1/2""",2,2,,"=""T5118c64,LS""","=""""",
