obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""52.5305""","=""0.0005""","=""52.5295+""","=""5""","=""""",,"=""0.00000""","=""23.60279""","=""5s2.5p3""","=""4S*""","=""3/2""","=""5s2.5p2.(1S).5d""","=""2D""","=""3/2""",4,4,,"=""""","=""L11173""",
"=""55.865""","=""0.001""","=""55.8658+""","=""0.5""","=""""",,"=""0.00000""","=""22.19323""","=""5s2.5p3""","=""4S*""","=""3/2""","=""5s2.5p2.(1D).5d""","=""2D""","=""5/2""",4,6,,"=""""","=""L10936""",
"=""57.1421""","=""0.0005""","=""57.1410+""","=""6""","=""""",,"=""1.64490""","=""23.34283""","=""5s2.5p3""","=""2D*""","=""3/2""","=""5s2.5p2.(1D).5d""","=""2S""","=""1/2""",4,2,,"=""""","=""L11173""",
"=""57.4656""","=""0.0005""","=""57.4653+""","=""30""","=""""",,"=""3.47607""","=""25.05158""","=""5s2.5p3""","=""2P*""","=""1/2""","=""5s2.5p2.(1S).6s""","=""2S""","=""1/2""",2,2,,"=""""","=""L11173""",
"=""57.7295""","=""0.001""","=""57.7295+""","=""""","=""""",,"=""0.00000""","=""21.47677""","=""5s2.5p3""","=""4S*""","=""3/2""","=""5s2.5p2.(3P).6s""","=""2P""","=""3/2""",4,4,,"=""""","=""u16""",
"=""57.8399""","=""0.0005""","=""57.8395+""","=""5""","=""""",,"=""0.00000""","=""21.43590""","=""5s2.5p3""","=""4S*""","=""3/2""","=""5s2.5p2.(1D).5d""","=""2P""","=""1/2""",4,2,,"=""""","=""L11173""",
"=""57.8780""","=""0.0005""","=""57.8765+""","=""20""","=""""",,"=""1.64490""","=""23.06709""","=""5s2.5p3""","=""2D*""","=""3/2""","=""5s2.5p2.(1D).6s""","=""2D""","=""5/2""",4,6,,"=""""","=""L11173""",
"=""57.9653""","=""0.0005""","=""57.9644+""","=""6""","=""""",,"=""2.17105""","=""23.56078""","=""5s2.5p3""","=""2D*""","=""5/2""","=""5s2.5p2.(1S).5d""","=""2D""","=""5/2""",6,6,,"=""""","=""L11173""",
"=""58.6555""","=""0.0005""","=""58.6544+""","=""45""","=""""",,"=""0.00000""","=""21.13810""","=""5s2.5p3""","=""4S*""","=""3/2""","=""5s2.5p2.(3P).6s""","=""4P""","=""5/2""",4,6,,"=""""","=""L11173""",
"=""59.1709""","=""0.0005""","=""59.1711+""","=""2""","=""""",,"=""0.00000""","=""20.95352""","=""5s2.5p3""","=""4S*""","=""3/2""","=""5s2.5p2.(3P).5d""","=""2D""","=""5/2""",4,6,,"=""""","=""L11173""",
