obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""247.677""","=""0.0015""","=""247.67658""","=""0.00018""","=""15""","=""""",,"=""5.3979231""","=""10.403814""","=""3d5.(4F).4s""","=""a 5F""","=""4""","=""3d5.(4F).4p""","=""x 3G*""","=""5""",9,11,,"=""""","=""L562""",
"=""247.758""","=""0.0015""","=""247.75750""","=""0.00025""","=""5""","=""""",,"=""3.703336""","=""8.7075923""","=""3d6""","=""a 3P""","=""2""","=""3d5.(4D).4p""","=""y 5F*""","=""2""",5,5,,"=""""","=""L562""",
"=""247.779""","=""0.0015""","=""247.77785""","=""0.00025""","=""1""","=""""",,"=""8.4076273""","=""13.411472""","=""3d5.(4G).4p""","=""z 3F*""","=""3""","=""3d5.(4D).5s""","=""e 3D""","=""2""",7,5,,"=""""","=""L562""",
"=""247.7933""","=""0.0006""","=""""","=""""","=""15""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L562""",
"=""247.870""","=""0.0015""","=""247.87023""","=""0.00025""","=""1""","=""""",,"=""8.2502234""","=""13.252204""","=""3d5.(4G).4p""","=""z 5F*""","=""5""","=""3d5.(4D).5s""","=""g 5D""","=""4""",11,9,,"=""""","=""L562""",
"=""247.9033""","=""0.0006""","=""247.90346""","=""0.00018""","=""15""","=""""",,"=""5.3979231""","=""10.399233""","=""3d5.(4F).4s""","=""a 5F""","=""4""","=""3d5.(4F).4p""","=""x 3G*""","=""4""",9,9,,"=""""","=""L562""",
"=""247.916""","=""0.0015""","=""247.9156""","=""0.0003""","=""20""","=""""",,"=""6.005305""","=""11.006369""","=""3d5.(2H).4s""","=""b 3H""","=""6""","=""3d5.(a 2G).4p""","=""3G*""","=""5""",13,11,,"=""""","=""L562""",
"=""247.923""","=""0.0015""","=""247.92241""","=""0.00018""","=""18""","=""""",,"=""6.1328970""","=""11.133824""","=""3d5.(2G).4s""","=""c 3G""","=""3""","=""3d5.(b 2F).4p""","=""t 3F*""","=""4""",7,9,,"=""""","=""L562""",
"=""247.9734""","=""0.0006""","=""247.97301""","=""0.00018""","=""20""","=""7.5e+05""",D+,"=""3.419929""","=""8.4198363""","=""3d5.(4G).4s""","=""a 5G""","=""4""","=""3d5.(4G).4p""","=""z 3H*""","=""4""",9,9,,"=""T7259""","=""L562""",
"=""247.980""","=""0.0015""","=""""","=""""","=""18""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L562""",
"=""247.9953""","=""0.0006""","=""247.9961""","=""0.0004""","=""2""","=""""",,"=""8.163991""","=""13.163433""","=""3d5.(4G).4p""","=""z 5H*""","=""7""","=""3d5.(4G).4d""","=""e 5H""","=""6""",15,13,,"=""""","=""L562""",
"=""248.0033""","=""0.0006""","=""248.00339""","=""0.00018""","=""20""","=""5.2e+05""",D+,"=""3.420542""","=""8.4198363""","=""3d5.(4G).4s""","=""a 5G""","=""3""","=""3d5.(4G).4p""","=""z 3H*""","=""4""",7,9,,"=""T7259""","=""L562""",
"=""248.0103""","=""0.0006""","=""248.0100""","=""0.0004""","=""20""","=""2.3e+08""",C,"=""8.163991""","=""13.163152""","=""3d5.(4G).4p""","=""z 5H*""","=""7""","=""3d5.(4G).4d""","=""e 5H""","=""7""",15,15,,"=""c88""","=""L562""",
"=""248.145""","=""0.0015""","=""248.1452""","=""0.0003""","=""10""","=""""",,"=""3.415425""","=""8.4118617""","=""3d5.(4G).4s""","=""a 5G""","=""6""","=""3d5.(4G).4p""","=""z 3H*""","=""5""",13,11,,"=""""","=""L562""",
"=""248.1712""","=""0.0006""","=""248.17163""","=""0.00018""","=""50""","=""1.4e+06""",D+,"=""3.418399""","=""8.4143048""","=""3d5.(4G).4s""","=""a 5G""","=""5""","=""3d5.(4G).4p""","=""z 3F*""","=""4""",11,9,,"=""T7259""","=""L562""",
