Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""3s2.3p4.(3P).7d""","=""4F""","=""9/2""",10,"=""""","=""26.3124708""","=""""","=""0.0000012""","=""L15349"""
"=""3s2.3p4.(3P).7d""","=""4F""","=""7/2""",8,"=""""","=""26.3270998""","=""""","=""0.0000004""","=""L15349"""
"=""3s2.3p4.(1D).6s""","=""2D""","=""3/2""",4,"=""""","=""26.40024800""","=""""","=""0.00000006""","=""L15349"""
"=""3s2.3p4.(1D).6s""","=""2D""","=""5/2""",6,"=""""","=""26.40040716""","=""""","=""0.00000005""","=""L15349"""
"=""3s2.3p4.(3P).7d""","=""2F""","=""7/2""",8,"=""""","=""26.44578799""","=""""","=""0.00000025""","=""L15349"""
"=""3s2.3p4.(3P<2>).7f""","=""2[4]*""","=""9/2""",10,"=""""","=""26.501521""","=""""","=""0.000006""","=""L15349"""
"=""3s2.3p4.(3P<2>).7f""","=""2[4]*""","=""7/2""",8,"=""""","=""26.502211""","=""""","=""0.000012""","=""L15349"""
"=""3s2.3p4.(3P<2>).7f""","=""2[5]*""","=""11/2""",12,"=""""","=""26.508766""","=""""","=""0.000006""","=""L15349"""
"=""3s2.3p4.(3P<2>).7f""","=""2[5]*""","=""9/2""",10,"=""""","=""26.508998""","=""""","=""0.000005""","=""L15349"""
"=""3s2.3p4.(3P<2>).7g""","=""2[5]""","=""11/2""",12,"=""""","=""26.5151818""","=""""","=""0.0000007""","=""L15349"""
"=""3s2.3p4.(3P<2>).7g""","=""2[5]""","=""9/2""",10,"=""""","=""26.5151883""","=""""","=""0.0000005""","=""L15349"""
"=""3s2.3p4.(3P<2>).7g""","=""2[4]""","=""9/2""",10,"=""""","=""26.5153217""","=""""","=""0.0000004""","=""L15349"""
"=""3s2.3p4.(3P<2>).7g""","=""2[4]""","=""7/2""",8,"=""""","=""26.5153368""","=""""","=""0.0000004""","=""L15349"""
"=""3s2.3p4.(3P<2>).7g""","=""2[3]""","=""7/2""",8,"=""""","=""26.5169564""","=""""","=""0.0000015""","=""L15349"""
"=""3s2.3p4.(3P<2>).7g""","=""2[3]""","=""5/2""",6,"=""""","=""26.5169717""","=""""","=""0.0000025""","=""L15349"""
"=""3s2.3p4.(3P<2>).7h""","=""2[5]*""","=""11/2""",12,"=""""","=""26.5175109""","=""""","=""0.0000005""","=""L15349"""
"=""3s2.3p4.(3P<2>).7h""","=""2[5]*""","=""9/2""",10,"=""""","=""26.51751682""","=""""","=""0.00000025""","=""L15349"""
"=""3s2.3p4.(3P<2>).7h""","=""2[6]*""","=""11/2""",12,"=""""","=""26.5175467""","=""""","=""0.0000007""","=""L15349"""
"=""3s2.3p4.(3P<2>).7h""","=""2[6]*""","=""13/2""",14,"=""""","=""26.5175481""","=""""","=""0.0000005""","=""L15349"""
"=""3s2.3p4.(3P<2>).7g""","=""2[6]""","=""13/2""",14,"=""""","=""26.5178909""","=""""","=""0.0000005""","=""L15349"""
"=""3s2.3p4.(3P<2>).7g""","=""2[6]""","=""11/2""",12,"=""""","=""26.5178912""","=""""","=""0.0000007""","=""L15349"""
"=""3s2.3p4.(3P<2>).7i""","=""2[6]""","=""11/2""",12,"=""""","=""26.5182801""","=""""","=""0.0000009""","=""L15349"""
"=""3s2.3p4.(3P<2>).7i""","=""2[6]""","=""13/2""",14,"=""""","=""26.5182804""","=""""","=""0.0000007""","=""L15349"""
"=""3s2.3p4.(3P<2>).7h""","=""2[4]*""","=""7/2""",8,"=""""","=""26.5183117""","=""""","=""0.0000011""","=""L15349"""
"=""3s2.3p4.(3P<2>).7h""","=""2[4]*""","=""9/2""",10,"=""""","=""26.5183133""","=""""","=""0.0000011""","=""L15349"""
"=""3s2.3p4.(3P<2>).7i""","=""2[7]""","=""13/2""",14,"=""""","=""26.5183401""","=""""","=""0.0000010""","=""L15349"""
"=""3s2.3p4.(3P<2>).7i""","=""2[7]""","=""15/2""",16,"=""""","=""26.51834082""","=""""","=""0.00000012""","=""L15349"""
"=""3s2.3p4.(3P<2>).7i""","=""2[5]""","=""9/2""",10,"=""""","=""26.51872797""","=""""","=""0.00000017""","=""L15349"""
"=""3s2.3p4.(3P<2>).7i""","=""2[5]""","=""11/2""",12,"=""""","=""26.51872896""","=""""","=""0.00000019""","=""L15349"""
"=""3s2.3p4.(3P<2>).7h""","=""2[7]*""","=""13/2""",14,"=""""","=""26.5189885""","=""""","=""0.0000004""","=""L15349"""
"=""3s2.3p4.(3P<2>).7h""","=""2[7]*""","=""15/2""",16,"=""""","=""26.5189885""","=""""","=""0.0000012""","=""L15349"""
"=""3s2.3p4.(3P<2>).7g""","=""2[2]""","=""3/2""",4,"=""""","=""26.519141""","=""""","=""0.000004""","=""L15349"""
"=""3s2.3p4.(3P<2>).7g""","=""2[2]""","=""5/2""",6,"=""""","=""26.5191667""","=""""","=""0.0000004""","=""L15349"""
"=""3s2.3p4.(3P<2>).7i""","=""2[8]""","=""15/2""",16,"=""""","=""26.51920453""","=""""","=""0.00000010""","=""L15349"""
"=""3s2.3p4.(3P<2>).7i""","=""2[8]""","=""17/2""",18,"=""""","=""26.51920626""","=""""","=""0.00000009""","=""L15349"""
"=""3s2.3p4.(3P<2>).7i""","=""2[4]""","=""7/2""",8,"=""""","=""26.5194637""","=""""","=""0.0000005""","=""L15349"""
"=""3s2.3p4.(3P<2>).7i""","=""2[4]""","=""9/2""",10,"=""""","=""26.5194655""","=""""","=""0.0000005""","=""L15349"""
"=""3s2.3p4.(3P<2>).7h""","=""2[3]*""","=""5/2""",6,"=""""","=""26.5195298""","=""""","=""0.0000019""","=""L15349"""
"=""3s2.3p4.(3P<2>).7h""","=""2[3]*""","=""7/2""",8,"=""""","=""26.5195298""","=""""","=""0.0000015""","=""L15349"""
"=""3s2.3p4.(1D).5d""","=""2G""","=""7/2""",8,"=""""","=""26.55553718""","=""""","=""0.00000007""","=""L15349"""
"=""3s2.3p4.(1D).5d""","=""2G""","=""9/2""",10,"=""""","=""26.55611128""","=""""","=""0.00000004""","=""L15349"""
"=""3s2.3p4.(1D).5d""","=""2D""","=""5/2""",6,"=""""","=""26.6153804""","=""""","=""0.0000025""","=""L15349"""
"=""3s2.3p4.(3P).8d""","=""4D""","=""7/2""",8,"=""""","=""26.633348""","=""""","=""0.000004""","=""L15349"""
"=""3s2.3p4.(1D).5d""","=""2F""","=""7/2""",8,"=""""","=""26.63580586""","=""""","=""0.00000019""","=""L15349"""
"=""3s2.3p4.(1D).5d""","=""2F""","=""5/2""",6,"=""""","=""26.64561340""","=""""","=""0.00000014""","=""L15349"""
"=""3s2.3p4.(3P<1>).7f""","=""2[4]*""","=""9/2""",10,"=""""","=""26.642424""","=""""","=""0.000006""","=""L15349"""
"=""3s2.3p4.(3P<1>).7f""","=""2[4]*""","=""7/2""",8,"=""""","=""26.643649""","=""""","=""0.000011""","=""L15349"""
"=""3s2.3p4.(3P).8d""","=""4F""","=""9/2""",10,"=""""","=""26.643572""","=""""","=""0.000005""","=""L15349"""
"=""3s2.3p4.(3P<1>).7g""","=""2[3]""","=""5/2""",6,"=""""","=""26.6534543""","=""""","=""0.0000006""","=""L15349"""
"=""3s2.3p4.(3P<1>).7g""","=""2[3]""","=""7/2""",8,"=""""","=""26.6534598""","=""""","=""0.0000007""","=""L15349"""
"=""3s2.3p4.(3P<1>).7g""","=""2[5]""","=""11/2""",12,"=""""","=""26.6539917""","=""""","=""0.0000006""","=""L15349"""
"=""3s2.3p4.(3P<1>).7g""","=""2[5]""","=""9/2""",10,"=""""","=""26.6540015""","=""""","=""0.0000004""","=""L15349"""
"=""3s2.3p4.(3P<1>).7h""","=""2[4]*""","=""7/2""",8,"=""""","=""26.6556191""","=""""","=""0.0000009""","=""L15349"""
"=""3s2.3p4.(3P<1>).7h""","=""2[4]*""","=""9/2""",10,"=""""","=""26.6556191""","=""""","=""0.0000006""","=""L15349"""
"=""3s2.3p4.(3P<1>).7h""","=""2[6]*""","=""11/2""",12,"=""""","=""26.6558589""","=""""","=""0.0000005""","=""L15349"""
"=""3s2.3p4.(3P<1>).7h""","=""2[6]*""","=""13/2""",14,"=""""","=""26.6558601""","=""""","=""0.0000004""","=""L15349"""
"=""3s2.3p4.(3P<1>).7g""","=""2[4]""","=""7/2""",8,"=""""","=""26.656228""","=""""","=""0.000005""","=""L15349"""
"=""3s2.3p4.(3P<1>).7g""","=""2[4]""","=""9/2""",10,"=""""","=""26.6563036""","=""""","=""0.0000005""","=""L15349"""
"=""3s2.3p4.(3P<1>).7i""","=""2[5]""","=""9/2""",10,"=""""","=""26.65633161""","=""""","=""0.00000016""","=""L15349"""
