Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
Ar+ 4P;v=3s2.3p4(3P)5s,Ar+ 4So;v=3s2.3p4(3P)4p,3.4483e-08,-2.7154392720808005
Ar+ 4P;v=3s2.3p4(3P)5s,Ar+ 2Po;v=3s2.3p4(3P)4p,1.2987e-07,-2.8818222281181995
Ar+ 4P;v=3s2.3p4(3P)5s,Ar+ 2Do;v=3s2.3p4(3P)4p,4.7619e-07,-2.920752368353501
Ar+ 2P;v=3s2.3p4(3P)5s,Ar+ 2Do;v=3s2.3p4(3P)4p,1.0101e-08,-3.0402703785026013
Ar+ 2P;v=3s2.3p4(3P)5s,Ar+ 2Po;v=3s2.3p4(3P)4p,1.4493e-08,-3.0013402382673
Ar+ 2P;v=3s2.3p4(3P)5s,Ar+ 4Po;v=3s2.3p4(3P)4p,8.3333e-08,-3.4971416102447996
Ar+ 2P;v=3s2.3p4(3P)5s,Ar+ 4So;v=3s2.3p4(3P)4p,1.3513e-07,-2.834957282229901
Ar+ 2P;v=3s2.3p4(3P)5s,Ar+ 4Do;v=3s2.3p4(3P)4p,3.2258e-07,-3.1599123699900993
Ar+ 4D;v=3s2.3p4(3P)4d,Ar+ 4Po;v=3s2.3p4(3P)4p,3.9216e-09,-3.5314844409619006
Ar+ 4D;v=3s2.3p4(3P)4d,Ar+ 4Do;v=3s2.3p4(3P)4p,1.996e-08,-3.1942552007072003
Ar+ 4D;v=3s2.3p4(3P)4d,Ar+ 2Do;v=3s2.3p4(3P)4p,1.3333e-07,-3.0746132092197023
Ar+ 4D;v=3s2.3p4(3P)4d,Ar+ 4So;v=3s2.3p4(3P)4p,5.5556e-06,-2.869300112947002
Ar+ 4D;v=3s2.3p4(3P)4d,Ar+ 2Po;v=3s2.3p4(3P)4p,5.5556e-06,-3.035683068984401
Ar+ 4P;v=3s2.3p4(3P)4d,Ar+ 4Po;v=3s2.3p4(3P)4p,6.7751e-09,-3.776843509514901
Ar+ 4P;v=3s2.3p4(3P)4d,Ar+ 4So;v=3s2.3p4(3P)4p,1.0204e-08,-3.114659181500002
Ar+ 4P;v=3s2.3p4(3P)4d,Ar+ 4Do;v=3s2.3p4(3P)4p,1.5385e-07,-3.4396142692602005
Ar+ 4P;v=3s2.3p4(3P)4d,Ar+ 2Po;v=3s2.3p4(3P)4p,3.8461e-07,-3.2810421375374013
Ar+ 4P;v=3s2.3p4(3P)4d,Ar+ 2Do;v=3s2.3p4(3P)4p,3.8461e-07,-3.3199722777727025
Ar+ 4F;v=3s2.3p4(3P)4d,Ar+ 4Do;v=3s2.3p4(3P)4p,3.7636e-09,-3.4606910967761983
Ar+ 4F;v=3s2.3p4(3P)4d,Ar+ 4Po;v=3s2.3p4(3P)4p,2.4039e-08,-3.7979203370308987
Ar+ 4F;v=3s2.3p4(3P)4d,Ar+ 4So;v=3s2.3p4(3P)4p,4.8077e-08,-3.135736009016
Ar+ 4F;v=3s2.3p4(3P)4d,Ar+ 2Do;v=3s2.3p4(3P)4p,2.1277e-07,-3.3410491052887004
Ar+ 4F;v=3s2.3p4(3P)4d,Ar+ 2Po;v=3s2.3p4(3P)4p,1.6667e-06,-3.302118965053399
Ar+ 2F;v=3s2.3p4(3P)4d,Ar+ 2Do;v=3s2.3p4(3P)4p,2.6525e-09,-3.4957778155232013
Ar+ 2F;v=3s2.3p4(3P)4d,Ar+ 2Po;v=3s2.3p4(3P)4p,4.3478e-08,-3.4568476752879
Ar+ 2F;v=3s2.3p4(3P)4d,Ar+ 4Do;v=3s2.3p4(3P)4p,3.7037e-07,-3.6154198070106993
Ar+ 2F;v=3s2.3p4(3P)4d,Ar+ 4Po;v=3s2.3p4(3P)4p,3.3333e-06,-3.9526490472653997
Ar+ 2P;v=3s2.3p4(3P)4d,Ar+ 2Po;v=3s2.3p4(3P)4p,2.6247e-09,-3.7477078950076006
Ar+ 2P;v=3s2.3p4(3P)4d,Ar+ 2So;v=3s2.3p4(3P)4p,5.2632e-09,-3.5763656854370005
Ar+ 2P;v=3s2.3p4(3P)4d,Ar+ 2Do;v=3s2.3p4(3P)4p,2.7027e-08,-3.786638035242902
Ar+ 2Po;v=3s2.3p4(1S)4p,Ar+ 2S;v=3s2.3p4(1S)4s,6.25e-09,-3.1026351985229006
Ar+ 2Po;v=3s2.3p4(1S)4p,Ar+ 2D;v=3s2.3p4(1D)4s,7.1429e-08,-5.419578711422901
Ar+ 2D;v=3s2.3p4(3P)4d,Ar+ 2Po;v=3s2.3p4(3P)4p,4.3478e-09,-4.092004071547102
Ar+ 2D;v=3s2.3p4(3P)4d,Ar+ 2So;v=3s2.3p4(3P)4p,5.5555e-09,-3.9206618619765017
Ar+ 2D;v=3s2.3p4(3P)4d,Ar+ 2Do;v=3s2.3p4(3P)4p,6.6666e-09,-4.130934211782403
Ar+ 2D;v=3s2.3p4(1D)5s,Ar+ 2Fo;v=3s2.3p4(1D)4p,7.1429e-09,-3.1573087618852007
Ar+ 2D;v=3s2.3p4(1D)5s,Ar+ 2Do;v=3s2.3p4(1D)4p,1.5385e-08,-2.791935757829801
Ar+ 2D;v=3s2.3p4(1D)5s,Ar+ 2Po;v=3s2.3p4(1D)4p,2.9412e-08,-2.8578938298207994
Ar+ 2G;v=3s2.3p4(1D)4d,Ar+ 2Fo;v=3s2.3p4(1D)4p,2.4691e-09,-3.4955298528466017
Ar+ 2P;v=3s2.3p4(1D)4d,Ar+ 2Do;v=3s2.3p4(1D)4p,1.3096e-08,-3.2357889490474
Ar+ 2P;v=3s2.3p4(1D)4d,Ar+ 2Po;v=3s2.3p4(1D)4p,1.4084e-08,-3.3017470210383983
Ar+ 2D;v=3s2.3p4(1D)4d,Ar+ 2Do;v=3s2.3p4(1D)4p,5.7143e-09,-3.302118965053399
Ar+ 2D;v=3s2.3p4(1D)4d,Ar+ 2Po;v=3s2.3p4(1D)4p,8.3333e-09,-3.3680770370443973
Ar+ 2D;v=3s2.3p4(1D)4d,Ar+ 2Fo;v=3s2.3p4(1D)4p,3.125e-08,-3.6674919691087986
Ar+ 2F;v=3s2.3p4(1D)4d,Ar+ 2Do;v=3s2.3p4(1D)4p,4.2735e-09,-3.3334862436507002
Ar+ 2F;v=3s2.3p4(1D)4d,Ar+ 2Fo;v=3s2.3p4(1D)4p,6.135e-09,-3.6988592477060998
