obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""28.2206""","=""""","=""1.16e+10""",A,"=""78.9653""","=""122.8992""","=""2s.2p4""","=""2P""","=""3/2""","=""2p5""","=""2P*""","=""3/2""",4,4,,"=""T7370c84""","=""""",
"=""""","=""28.936+""","=""""","=""1.73e+09""",B+,"=""80.052""","=""122.8992""","=""2s.2p4""","=""2P""","=""1/2""","=""2p5""","=""2P*""","=""3/2""",2,4,,"=""T7370c84""","=""""",
"=""""","=""29.469+""","=""""","=""1.01e+09""",C,"=""291.432""","=""333.505?""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""","=""2s.2p3.(3D*).3d""","=""4D*""","=""7/2""",6,8,,"=""u21,LS""","=""""",
"=""""","=""32.6327+""","=""""","=""8.28e+05""",C,"=""10.22154""","=""48.2153""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s.2p4""","=""4P""","=""1/2""",4,2,,"=""T7370c84""","=""""",
"=""""","=""33.0120+""","=""""","=""2.00e+05""",C,"=""10.22154""","=""47.7788""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s.2p4""","=""4P""","=""3/2""",4,4,,"=""T7370c84""","=""""",
"=""""","=""33.1381+""","=""""","=""3.05e+05""",C,"=""10.36445""","=""47.7788""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s.2p4""","=""4P""","=""3/2""",6,4,,"=""T7370c84""","=""""",
"=""""","=""33.7820""","=""""","=""1.62e+06""",C+,"=""10.22154""","=""46.9228""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s.2p4""","=""4P""","=""5/2""",4,6,,"=""T7370c84""","=""""",
"=""""","=""33.9140+""","=""""","=""4.41e+06""",C+,"=""10.36445""","=""46.9228""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s.2p4""","=""4P""","=""5/2""",6,6,,"=""T7370c84""","=""""",
"=""""","=""36.774+""","=""""","=""4.55e+07""",D,"=""299.790?""","=""333.505?""","=""2s.2p3.(5S*).3p""","=""4P""","=""5/2""","=""2s.2p3.(3D*).3d""","=""4D*""","=""7/2""",6,8,,"=""u21,LS""","=""""",
"=""""","=""38.1813+""","=""""","=""1.48e+06""",C,"=""15.7429""","=""48.2153""","=""2s2.2p3""","=""2P*""","=""1/2""","=""2s.2p4""","=""4P""","=""1/2""",2,2,,"=""T7370c84""","=""""",
"=""""","=""38.418+""","=""""","=""2.16e+01""",B,"=""47.7788""","=""80.052""","=""2s.2p4""","=""4P""","=""3/2""","=""2s.2p4""","=""2P""","=""1/2""",4,2,M1,"=""T7370c84""","=""""",
"=""""","=""38.418+""","=""""","=""2.24e-01""",C,"=""47.7788""","=""80.052""","=""2s.2p4""","=""4P""","=""3/2""","=""2s.2p4""","=""2P""","=""1/2""",4,2,E2,"=""T7370c84""","=""""",
"=""""","=""38.4499+""","=""""","=""3.28e+04""",D,"=""15.9697""","=""48.2153""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s.2p4""","=""4P""","=""1/2""",4,2,,"=""T7370c84""","=""""",
"=""""","=""38.6937+""","=""""","=""6.43e+01""",B,"=""46.9228""","=""78.9653""","=""2s.2p4""","=""4P""","=""5/2""","=""2s.2p4""","=""2P""","=""3/2""",6,4,M1,"=""T7370c84""","=""""",
"=""""","=""38.7016+""","=""""","=""2.41e+04""",D,"=""15.7429""","=""47.7788""","=""2s2.2p3""","=""2P*""","=""1/2""","=""2s.2p4""","=""4P""","=""3/2""",2,4,,"=""T7370c84""","=""""",
"=""""","=""38.944+""","=""""","=""9.00e+01""",B,"=""48.2153""","=""80.052""","=""2s.2p4""","=""4P""","=""1/2""","=""2s.2p4""","=""2P""","=""1/2""",2,2,M1,"=""T7370c84""","=""""",
"=""""","=""38.9775+""","=""""","=""3.64e+06""",B+,"=""15.9697""","=""47.7788""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s.2p4""","=""4P""","=""3/2""",4,4,,"=""T7370c84""","=""""",
"=""""","=""39.7557+""","=""""","=""2.67e+01""",B,"=""47.7788""","=""78.9653""","=""2s.2p4""","=""4P""","=""3/2""","=""2s.2p4""","=""2P""","=""3/2""",4,4,M1,"=""T7370c84""","=""""",
"=""""","=""39.7557+""","=""""","=""4.24e-01""",C+,"=""47.7788""","=""78.9653""","=""2s.2p4""","=""4P""","=""3/2""","=""2s.2p4""","=""2P""","=""3/2""",4,4,E2,"=""T7370c84""","=""""",
"=""""","=""40.0554+""","=""""","=""1.77e+06""",B+,"=""15.9697""","=""46.9228""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s.2p4""","=""4P""","=""5/2""",4,6,,"=""T7370c84""","=""""",
"=""""","=""40.3201+""","=""""","=""1.86e+01""",B,"=""48.2153""","=""78.9653""","=""2s.2p4""","=""4P""","=""1/2""","=""2s.2p4""","=""2P""","=""3/2""",2,4,M1,"=""T7370c84""","=""""",
"=""""","=""43.417+""","=""""","=""6.01e-01""",C,"=""46.9228""","=""75.4796""","=""2s.2p4""","=""4P""","=""5/2""","=""2s.2p4""","=""2S""","=""1/2""",6,2,E2,"=""T7370c84""","=""""",
"=""""","=""44.758+""","=""""","=""7.86e+02""",B+,"=""47.7788""","=""75.4796""","=""2s.2p4""","=""4P""","=""3/2""","=""2s.2p4""","=""2S""","=""1/2""",4,2,M1,"=""T7370c84""","=""""",
"=""""","=""45.475+""","=""""","=""1.26e+02""",B,"=""48.2153""","=""75.4796""","=""2s.2p4""","=""4P""","=""1/2""","=""2s.2p4""","=""2S""","=""1/2""",2,2,M1,"=""T7370c84""","=""""",
"=""""","=""49.52+""","=""""","=""4.69e+06""",D,"=""291.432""","=""316.471""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""","=""2s.2p3.(5S*).3d""","=""4D*""","=""7/2""",6,8,,"=""u21,LS""","=""""",
"=""""","=""51.36+""","=""""","=""1.26e+06""",E,"=""291.432""","=""315.575""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""","=""2s.2p3.(5S*).3d""","=""4D*""","=""5/2""",6,6,,"=""u21,LS""","=""""",
"=""""","=""52.06+""","=""""","=""2.02e+05""",E',"=""291.432""","=""315.250""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""","=""2s.2p3.(5S*).3d""","=""4D*""","=""3/2""",6,4,,"=""u21,LS""","=""""",
"=""""","=""52.07+""","=""""","=""2.82e+06""",D,"=""291.762""","=""315.575""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""","=""2s.2p3.(5S*).3d""","=""4D*""","=""5/2""",4,6,,"=""u21,LS""","=""""",
"=""""","=""52.79+""","=""""","=""2.06e+06""",E,"=""291.762""","=""315.250""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""","=""2s.2p3.(5S*).3d""","=""4D*""","=""3/2""",4,4,,"=""u21,LS""","=""""",
"=""""","=""52.94+""","=""""","=""1.59e+06""",E,"=""291.830""","=""315.250""","=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""","=""2s.2p3.(5S*).3d""","=""4D*""","=""3/2""",2,4,,"=""u21,LS""","=""""",
"=""""","=""64.3+""","=""""","=""3.63e+07""",D+,"=""342.089?""","=""361.36?""","=""2s.2p3.(3P*).3d""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).4d""","=""4P""","=""5/2""",8,6,,"=""u21,LS""","=""""",
"=""""","=""70.222+""","=""""","=""1.51e+02""",A,"=""46.9228""","=""64.5789""","=""2s.2p4""","=""4P""","=""5/2""","=""2s.2p4""","=""2D""","=""5/2""",6,6,M1,"=""T7370c84""","=""""",
"=""""","=""70.291+""","=""""","=""1.17e+01""",B,"=""46.9228""","=""64.5614""","=""2s.2p4""","=""4P""","=""5/2""","=""2s.2p4""","=""2D""","=""3/2""",6,4,M1,"=""T7370c84""","=""""",
"=""""","=""70.291+""","=""""","=""1.26e-01""",C+,"=""46.9228""","=""64.5614""","=""2s.2p4""","=""4P""","=""5/2""","=""2s.2p4""","=""2D""","=""3/2""",6,4,E2,"=""T7370c84""","=""""",
"=""""","=""73.800+""","=""""","=""2.21e+01""",B+,"=""47.7788""","=""64.5789""","=""2s.2p4""","=""4P""","=""3/2""","=""2s.2p4""","=""2D""","=""5/2""",4,6,M1,"=""T7370c84""","=""""",
"=""""","=""73.877+""","=""""","=""6.46e+01""",B+,"=""47.7788""","=""64.5614""","=""2s.2p4""","=""4P""","=""3/2""","=""2s.2p4""","=""2D""","=""3/2""",4,4,M1,"=""T7370c84""","=""""",
"=""""","=""74.33+""","=""""","=""1.95e+09""",C+,"=""299.790?""","=""316.471""","=""2s.2p3.(5S*).3p""","=""4P""","=""5/2""","=""2s.2p3.(5S*).3d""","=""4D*""","=""7/2""",6,8,,"=""u21,LS""","=""""",
"=""""","=""75.768+""","=""""","=""1.33e-02""",C+,"=""48.2153""","=""64.5789""","=""2s.2p4""","=""4P""","=""1/2""","=""2s.2p4""","=""2D""","=""5/2""",2,6,E2,"=""T7370c84""","=""""",
"=""""","=""75.850+""","=""""","=""1.54e+01""",B,"=""48.2153""","=""64.5614""","=""2s.2p4""","=""4P""","=""1/2""","=""2s.2p4""","=""2D""","=""3/2""",2,4,M1,"=""T7370c84""","=""""",
