obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""70.884""","=""0.002""","=""""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3496""",
"=""76.531""","=""0.002""","=""""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3496""",
"=""76.564""","=""0.002""","=""76.5638""","=""0.0025""","=""30""","=""3.23e+08""",,"=""0.0000""","=""16.1936""","=""3s2.3p5""","=""2P*""","=""3/2""","=""3s.3p6""","=""2S""","=""1/2""",4,2,,"=""T7399""","=""L3496""",
"=""77.853""","=""0.002""","=""77.8546""","=""0.0018""","=""35""","=""1.61e+08""",,"=""0.268475""","=""16.1936""","=""3s2.3p5""","=""2P*""","=""1/2""","=""3s.3p6""","=""2S""","=""1/2""",2,2,,"=""T7399""","=""L3496""",
"=""87.231""","=""0.002""","=""""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3496""",
"=""87.386""","=""0.002""","=""""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3496""",
"=""87.404""","=""0.002""","=""""","=""""","=""15""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3496""",
"=""255.079""","=""0.003""","=""255.078""","=""0.004""","=""6""","=""1.58e+08""",,"=""25.717038""","=""30.57768""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""",6,4,,"=""T7942""","=""L3491""",
"=""263.590""","=""0.003""","=""263.589""","=""0.004""","=""5""","=""1.29e+08""",,"=""25.873990""","=""30.57768""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""",4,4,,"=""T7942""","=""L3491""",
"=""269.070""","=""0.003""","=""269.075""","=""0.004""","=""5""","=""7.48e+07""",,"=""25.969891""","=""30.57768""","=""3s2.3p4.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""",2,4,,"=""T7942""","=""L3491""",
"=""273.777""","=""0.003""","=""273.781""","=""0.003""","=""1""","=""""",,"=""25.717038""","=""30.24562""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""",6,4,,"=""""","=""L3398""",
"=""280.123""","=""0.003""","=""280.122""","=""0.004""","=""3""","=""4.97e+06""",,"=""25.717038""","=""30.14311""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""",6,6,,"=""T7942""","=""L3491""",
"=""287.819""","=""0.003""","=""287.824""","=""0.003""","=""1""","=""4.05e+06""",,"=""25.717038""","=""30.02467""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""",6,4,,"=""T7942""","=""L3491""",
"=""289.975""","=""0.003""","=""289.972""","=""0.004""","=""1""","=""""",,"=""25.969891""","=""30.24562""","=""3s2.3p4.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L3398""",
"=""290.421""","=""0.003""","=""290.421""","=""0.004""","=""4""","=""1.33e+07""",,"=""25.873990""","=""30.14311""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""",4,6,,"=""T7942""","=""L3491""",
