obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""43.031""","=""0.005""","=""43.0309+""","=""a""","=""""",,"=""0.0000000""","=""28.8128""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).7s.(4P<1/2>).18p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""43.045""","=""0.005""","=""43.0450+""","=""a""","=""""",,"=""0.0000000""","=""28.8034""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).7s.(4P<1/2>).17p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""43.063""","=""0.005""","=""43.0630+""","=""a""","=""""",,"=""0.0000000""","=""28.7914""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).7s.(4P<1/2>).16p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""43.090""","=""0.005""","=""43.0901+""","=""a""","=""""",,"=""0.0000000""","=""28.7733""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).7s.(4P<1/2>).15p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""43.126""","=""0.005""","=""43.1259+""","=""a""","=""""",,"=""0.0000000""","=""28.7493""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).7s.(4P<1/2>).14p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""43.155""","=""0.005""","=""43.1550+""","=""a""","=""""",,"=""0.0000000""","=""28.7300""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).7s.(4P<1/2>).13p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""43.231""","=""0.005""","=""43.2311+""","=""a""","=""""",,"=""0.0000000""","=""28.6794""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).7s.(4P<1/2>).12p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""43.330""","=""0.005""","=""43.3300+""","=""a""","=""""",,"=""0.0000000""","=""28.6139""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).7s.(4P<1/2>).11p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""43.434""","=""0.005""","=""43.4341+""","=""a""","=""""",,"=""0.0000000""","=""28.5454""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).7s.(4P<1/2>).10p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""44.033""","=""0.007""","=""44.0331+""","=""a""","=""""",,"=""0.0000000""","=""28.1571""","=""5p6""","=""1S""","=""0""","=""5p4.(1D).6p.(2F*<7/2>).14d""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""44.059""","=""0.007""","=""44.0591+""","=""a""","=""""",,"=""0.0000000""","=""28.1404""","=""5p6""","=""1S""","=""0""","=""5p4.(1D).6p.(2F*<7/2>).13d""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""44.101""","=""0.007""","=""44.1010+""","=""a""","=""""",,"=""0.0000000""","=""28.1137""","=""5p6""","=""1S""","=""0""","=""5p4.(1D).6p.(2F*<7/2>).12d""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""44.146""","=""0.01""","=""44.1460+""","=""a""","=""""",,"=""0.0000000""","=""28.0850""","=""5p6""","=""1S""","=""0""","=""5p4.(1D).6p.(2F*<7/2>).11d""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""44.241""","=""0.007""","=""44.2409+""","=""a""","=""""",,"=""0.0000000""","=""28.0248""","=""5p6""","=""1S""","=""0""","=""5p4.(1D).6p.(2F*<7/2>).10d""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""44.373""","=""0.007""","=""44.3731+""","=""a""","=""""",,"=""0.0000000""","=""27.9413""","=""5p6""","=""1S""","=""0""","=""5p4.(1D).6p.(2F*<7/2>).9d""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""44.561""","=""0.005""","=""44.5611+""","=""a""","=""""",,"=""0.0000000""","=""27.8234""","=""5p6""","=""1S""","=""0""","=""5p4.(1D).6p.(2F*<7/2>).8d""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""45.235""","=""0.01""","=""45.2350+""","=""a""","=""""",,"=""0.0000000""","=""27.4089""","=""5p6""","=""1S""","=""0""","=""5p4.(1S).5d.(2D<3/2>).13p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""45.342""","=""0.005""","=""45.3420+""","=""a""","=""""",,"=""0.0000000""","=""27.3442""","=""5p6""","=""1S""","=""0""","=""5p4.(1S).5d.(2D<3/2>).12p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""45.434""","=""0.005""","=""45.4341+""","=""a""","=""""",,"=""0.0000000""","=""27.2888""","=""5p6""","=""1S""","=""0""","=""5p4.(1S).5d.(2D<3/2>).11p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""45.804""","=""0.005""","=""45.8039+""","=""a""","=""""",,"=""0.0000000""","=""27.0685""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6p.(4S*<3/2>).12d""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""45.863""","=""0.005""","=""45.8629+""","=""a""","=""""",,"=""0.0000000""","=""27.0336""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6p.(4S*<3/2>).11d""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""45.968""","=""0.005""","=""45.9679+""","=""a""","=""""",,"=""0.0000000""","=""26.9719""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6p.(4S*<3/2>).10d""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""46.100""","=""0.005""","=""46.0999+""","=""a""","=""""",,"=""0.0000000""","=""26.8947""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6p.(4S*<3/2>).9d""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""46.815""","=""0.005""","=""46.8149+""","=""a""","=""""",,"=""0.0000000""","=""26.4839""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6p.(4D*<3/2>).13d""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""46.867""","=""0.005""","=""46.8669+""","=""a""","=""""",,"=""0.0000000""","=""26.4545""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6p.(4D*<3/2>).12d""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""46.940""","=""0.005""","=""46.9400+""","=""a""","=""""",,"=""0.0000000""","=""26.4133""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6p.(4D*<3/2>).11d""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""47.046""","=""0.005""","=""47.0460+""","=""a""","=""""",,"=""0.0000000""","=""26.3538""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6p.(4D*<3/2>).10d""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""52.577""","=""0.002""","=""52.577+""","=""a""","=""""",,"=""0.0000000""","=""23.5814""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6s.(4P<3/2>).10p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""52.805""","=""0.005""","=""52.805+""","=""a""","=""""",,"=""0.0000000""","=""23.4796""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6s.(4P<5/2>).12p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""52.842""","=""0.003""","=""52.842+""","=""a""","=""""",,"=""0.0000000""","=""23.4631""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6s.(4P<3/2>).9p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""52.934""","=""0.002""","=""52.934+""","=""a""","=""""",,"=""0.0000000""","=""23.4224""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6s.(4P<5/2>).11p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""53.074""","=""0.003""","=""53.074+""","=""a""","=""""",,"=""0.0000000""","=""23.3606""","=""5p6""","=""1S""","=""0""","=""5s.5p6.(2S*<1/2>).23p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""53.083""","=""0.003""","=""53.083+""","=""a""","=""""",,"=""0.0000000""","=""23.3566""","=""5p6""","=""1S""","=""0""","=""5s.5p6.(2S*<1/2>).22p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""53.093""","=""0.002""","=""53.093+""","=""a""","=""""",,"=""0.0000000""","=""23.3523""","=""5p6""","=""1S""","=""0""","=""5s.5p6.(2S*<1/2>).21p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""53.121""","=""0.002""","=""53.121+""","=""a""","=""""",,"=""0.0000000""","=""23.3399""","=""5p6""","=""1S""","=""0""","=""5s.5p6.(2S*<1/2>).19p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""53.137""","=""0.002""","=""53.137+""","=""a""","=""""",,"=""0.0000000""","=""23.3330""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6s.(4P<5/2>).10p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""53.276""","=""0.002""","=""53.276+""","=""a""","=""""",,"=""0.0000000""","=""23.2721""","=""5p6""","=""1S""","=""0""","=""5s.5p6.(2S*<1/2>).14p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""53.334""","=""0.005""","=""53.334+""","=""a*""","=""""",,"=""0.0000000""","=""23.2468""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6s.(4P<3/2>).8p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""53.334""","=""0.005""","=""53.334+""","=""a*""","=""""",,"=""0.0000000""","=""23.2468""","=""5p6""","=""1S""","=""0""","=""5s.5p6.(2S*<1/2>).13p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""53.427""","=""0.002""","=""53.427+""","=""a""","=""""",,"=""0.0000000""","=""23.2062""","=""5p6""","=""1S""","=""0""","=""5s.5p6.(2S*<1/2>).12p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""53.458""","=""0.002""","=""53.458+""","=""a""","=""""",,"=""0.0000000""","=""23.1929""","=""5p6""","=""1S""","=""0""","=""5p4.(3P).6s.(4P<5/2>).9p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""53.555""","=""0.002""","=""53.555+""","=""a""","=""""",,"=""0.0000000""","=""23.1508""","=""5p6""","=""1S""","=""0""","=""5s.5p6.(2S*<1/2>).11p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
"=""53.746""","=""0.002""","=""53.746+""","=""a""","=""""",,"=""0.0000000""","=""23.0685""","=""5p6""","=""1S""","=""0""","=""5s.5p6.(2S*<1/2>).10p""","=""*""","=""1""",1,3,,"=""""","=""L1526""",
