State,Lifetime /s,Energy /eV
Xe 1S;v=5p6,,0.0
Xe 2[3/2]o_1;v=5p5(2Po_3/2)6s,3.663e-09,8.43633496286139
Xe 2[1/2]o_1;v=5p5(2Po_1/2)6s,3.95257e-09,9.56949959892037
Xe 2[1/2]_1;v=5p5(2Po_3/2)6p,3.03951e-08,9.57992642947384
Xe 2[5/2]_2;v=5p5(2Po_3/2)6p,3.93701e-08,9.68539735399028
Xe 2[5/2]_3;v=5p5(2Po_3/2)6p,3.33333e-08,9.72052126713887
Xe 2[3/2]_1;v=5p5(2Po_3/2)6p,3.69549e-08,9.78907054910095
Xe 2[3/2]_2;v=5p5(2Po_3/2)6p,2.7248e-08,9.82087176238233
Xe 2[1/2]o_1;v=5p5(2Po_3/2)5d,6.55738e-08,9.91684571638277
Xe 2[1/2]_0;v=5p5(2Po_3/2)6p,2.71003e-08,9.93326084557753
Xe 2[7/2]o_4;v=5p5(2Po_3/2)5d,5.55556e-06,9.94288179743185
Xe 2[3/2]o_2;v=5p5(2Po_3/2)5d,2.55754e-06,9.95851584419513
Xe 2[7/2]o_3;v=5p5(2Po_3/2)5d,1.63934e-06,10.0388185570308
Xe 2[5/2]o_2;v=5p5(2Po_3/2)5d,8.26446e-07,10.1572331332688
Xe 2[5/2]o_3;v=5p5(2Po_3/2)5d,7.57576e-07,10.2198065147234
Xe 2[3/2]o_1;v=5p5(2Po_3/2)5d,1.67774e-09,10.400794472416
Xe 2[3/2]o_2;v=5p5(2Po_3/2)7s,5.48246e-08,10.5618214346377
Xe 2[3/2]o_1;v=5p5(2Po_3/2)7s,6.42467e-09,10.5929655468259
Xe 2[1/2]_1;v=5p5(2Po_3/2)7p,1.09099e-07,10.9013195333838
Xe 2[5/2]_2;v=5p5(2Po_3/2)7p,1.29182e-07,10.9539620096383
Xe 2[3/2]_1;v=5p5(2Po_1/2)6p,2.27894e-08,10.9573590983085
Xe 2[5/2]_3;v=5p5(2Po_3/2)7p,1.23671e-07,10.968529816892
Xe 2[1/2]o_1;v=5p5(2Po_3/2)6d,2.27273e-07,10.9785227127613
Xe 2[3/2]_2;v=5p5(2Po_3/2)7p,1.06428e-07,10.9954709617108
Xe 2[3/2]_1;v=5p5(2Po_3/2)7p,1.00806e-07,11.0026742774678
Xe 2[1/2]_0;v=5p5(2Po_3/2)7p,6.90131e-08,11.0147872542225
Xe 2[3/2]_2;v=5p5(2Po_1/2)6p,2.28102e-08,11.0544736806216
Xe 2[1/2]_1;v=5p5(2Po_1/2)6p,2.58665e-08,11.0688927102693
Xe 2[1/2]_0;v=5p5(2Po_1/2)6p,2.75482e-08,11.1409630622399
Xe 2[3/2]o_1;v=5p5(2Po_3/2)6d,6.66667e-09,11.1623126487001
Xe 2[3/2]_2;v=5p5(2Po_3/2)4f,9.09091e-06,11.2636301983825
Xe 2[5/2]_3;v=5p5(2Po_3/2)4f,4.54545e-06,11.2707839216041
Xe 2[5/2]o_2;v=5p5(2Po_1/2)5d,1.66667e-06,11.3012337382977
Xe 2[3/2]o_2;v=5p5(2Po_1/2)5d,3.7037e-06,11.3377834368371
Xe 2[5/2]o_3;v=5p5(2Po_1/2)5d,1.85185e-06,11.3748662551313
Xe 2[1/2]o_1;v=5p5(2Po_3/2)7d,2.33645e-08,11.4221899319714
Xe 2[7/2]o_4;v=5p5(2Po_3/2)7d,1.1919e-07,11.4614424236864
Xe 2[7/2]o_3;v=5p5(2Po_3/2)7d,1.50376e-07,11.4863874689582
Xe 2[5/2]o_2;v=5p5(2Po_3/2)7d,1.46843e-07,11.49040446432
Xe 2[3/2]o_1;v=5p5(2Po_3/2)7d,1.31579e-07,11.4948058018307
Xe 2[5/2]o_3;v=5p5(2Po_3/2)7d,1.47059e-07,11.497235836062
Xe 2[5/2]_3;v=5p5(2Po_3/2)5f,6.25e-06,11.5800429719319
Xe 2[3/2]o_1;v=5p5(2Po_1/2)5d,2.68147e-09,11.6069097279477
Xe 2[1/2]o_1;v=5p5(2Po_1/2)7s,1.69492e-08,11.8774866007169
Xe 2[1/2]o_0;v=5p5(2Po_1/2)6s,,9.446977149
Xe 2[1/2]o_0;v=5p5(2Po_3/2)5d,,9.8901484429
Xe 2[3/2]o_2;v=5p5(2Po_3/2)6s,,8.3151242355
