obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""40.10""","=""40.132695""","=""*""","=""2.01e+07""",E,"=""3.324085""","=""34.217649""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1S).3d""","=""2D""","=""3/2""",6,4,,"=""T5723LS""","=""L7084""",
"=""40.10""","=""40.135919""","=""*""","=""1.81e+08""",D,"=""3.326567""","=""34.217649""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(1S).3d""","=""2D""","=""3/2""",4,4,,"=""T5723LS""","=""L7084""",
"=""""","=""40.19284""","=""""","=""""",,"=""3.324085""","=""34.17142?""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).4d""","=""2P""","=""3/2""",6,4,,"=""""","=""L11267""",
"=""""","=""40.19607""","=""""","=""""",,"=""3.326567""","=""34.17142?""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).4d""","=""2P""","=""3/2""",4,4,,"=""""","=""L11267""",
"=""40.3035""","=""40.30349""","=""1""","=""1.12e+09""",D,"=""3.324085""","=""34.08673""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).4d""","=""2D""","=""5/2""",6,6,,"=""T5723LS""","=""L3492""",
"=""""","=""40.30544""","=""""","=""1.20e+08""",D,"=""3.324085""","=""34.08524""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).4d""","=""2D""","=""3/2""",6,4,,"=""T5723LS""","=""L11267""",
"=""""","=""40.30675""","=""""","=""8.03e+07""",D,"=""3.326567""","=""34.08673""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).4d""","=""2D""","=""5/2""",4,6,,"=""T5723LS""","=""L11267""",
"=""40.3087""","=""40.30870""","=""1""","=""1.08e+09""",D,"=""3.326567""","=""34.08524""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).4d""","=""2D""","=""3/2""",4,4,,"=""T5723LS""","=""L3492""",
"=""40.3273""","=""40.32730""","=""1""","=""1.24e+09""",D,"=""3.324085""","=""34.06856""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).4d""","=""2F""","=""7/2""",6,8,,"=""T5723LS""","=""L3492""",
"=""""","=""40.33394""","=""""","=""8.24e+07""",D,"=""3.324085""","=""34.06351""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).4d""","=""2F""","=""5/2""",6,6,,"=""T5723LS""","=""L11267""",
"=""40.3372""","=""40.33720""","=""1""","=""1.15e+09""",D,"=""3.326567""","=""34.06351""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).4d""","=""2F""","=""5/2""",4,6,,"=""T5723LS""","=""L3492""",
"=""""","=""40.55494""","=""""","=""""",,"=""5.017394""","=""35.58930""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).6s""","=""2D""","=""5/2""",4,6,,"=""""","=""L11267""",
"=""""","=""40.55519""","=""""","=""""",,"=""5.017394""","=""35.58912""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).6s""","=""2D""","=""3/2""",4,4,,"=""""","=""L11267""",
"=""""","=""40.55551""","=""""","=""""",,"=""5.017641""","=""35.58912""","=""2s2.2p3""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).6s""","=""2D""","=""3/2""",2,4,,"=""""","=""L11267""",
"=""""","=""41.364723""","=""""","=""""",,"=""5.017394""","=""34.990808""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s2.2p2.(1S).4s""","=""2S""","=""1/2""",4,2,,"=""""","=""L11267""",
"=""""","=""41.365064""","=""""","=""""",,"=""5.017641""","=""34.990808""","=""2s2.2p3""","=""2P*""","=""1/2""","=""2s2.2p2.(1S).4s""","=""2S""","=""1/2""",2,2,,"=""""","=""L11267""",
"=""""","=""41.582172""","=""""","=""""",,"=""3.324085""","=""33.140757""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).6s""","=""2P""","=""3/2""",6,4,,"=""""","=""L11267""",
"=""""","=""41.585634""","=""""","=""""",,"=""3.326567""","=""33.140757""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).6s""","=""2P""","=""3/2""",4,4,,"=""""","=""L11267""",
"=""""","=""41.61975""","=""""","=""""",,"=""3.326567""","=""33.11632?""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).6s""","=""2P""","=""1/2""",4,2,,"=""""","=""L11267""",
"=""""","=""41.83319""","=""""","=""""",,"=""3.324085""","=""32.96184""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""2D""","=""5/2""",6,6,,"=""""","=""L11267""",
