Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""",2,"=""""","=""28.8525664""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""",4,"=""""","=""28.8568239""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""",6,"=""""","=""28.8570199""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""",8,"=""""","=""28.8577953""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""",6,"=""""","=""28.8630624""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""",8,"=""""","=""28.8832609""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",4,"=""""","=""28.941697""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""2P""","=""1/2""",2,"=""""","=""28.955839""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""",4,"=""""","=""29.0622429""","=""""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""",6,"=""""","=""29.0686699""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4s""","=""4P""","=""1/2""",2,"=""""","=""29.586034""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4s""","=""4P""","=""3/2""",4,"=""""","=""29.599076""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4s""","=""4P""","=""5/2""",6,"=""""","=""29.619076""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4s""","=""2P""","=""1/2""",2,"=""""","=""29.797124""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4s""","=""2P""","=""3/2""",4,"=""""","=""29.820351""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4p""","=""2S*""","=""1/2""",2,"=""""","=""30.380752""","=""""","=""""","="""""
"=""2s.2p3.(5S*).3s""","=""6S*""","=""5/2""",6,"=""""","=""30.425722""","=""+x""","=""""","="""""
"=""2s2.2p2.(3P).4p""","=""4D*""","=""1/2""",2,"=""""","=""30.471394""","=""""","=""""","="""""
