obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""223.5665""","=""0.0009""","=""223.56547""","=""0.00005""","=""""","=""""",,"=""0.0000000""","=""5.5457669""","=""5s2""","=""1S""","=""0""","=""4d2""","=""3P""","=""2""",1,5,2P,"=""""","=""L14021""",
"=""223.8350""","=""0.0004""","=""223.83514""","=""0.00015""","=""""","=""2.4e+06""",B',"=""0.0000000""","=""5.539085""","=""5s2""","=""1S""","=""0""","=""5s.12p""","=""1P*""","=""1""",1,3,,"=""T4337""","=""L7603""",
"=""224.5869""","=""0.0009""","=""224.58870""","=""0.00005""","=""""","=""""",,"=""0.0000000""","=""5.5205003""","=""5s2""","=""1S""","=""0""","=""4d2""","=""3P""","=""0""",1,1,2P,"=""""","=""L14021""",
"=""224.7560""","=""0.0009""","=""224.755290""","=""0.000005""","=""""","=""""",,"=""0.0000000""","=""5.51640846""","=""5s2""","=""1S""","=""0""","=""5s.12s""","=""1S""","=""0""",1,1,2P,"=""""","=""L14021""",
"=""225.3954""","=""0.0004""","=""225.39569""","=""0.00015""","=""""","=""3.7e+06""",B,"=""0.0000000""","=""5.500735""","=""5s2""","=""1S""","=""0""","=""5s.11p""","=""1P*""","=""1""",1,3,,"=""T4337""","=""L7603""",
"=""227.6007""","=""0.0004""","=""227.59239""","=""0.00013""","=""""","=""6.6e+06""",B',"=""0.0000000""","=""5.447643""","=""5s2""","=""1S""","=""0""","=""5s.10p""","=""1P*""","=""1""",1,3,,"=""T3039""","=""L7603""",
"=""230.7974""","=""0.0004""","=""230.7974""","=""0.0004""","=""""","=""1.15e+07""",B',"=""0.0000000""","=""5.371992""","=""5s2""","=""1S""","=""0""","=""5s.9p""","=""1P*""","=""1""",1,3,,"=""T3039""","=""L7603""",
"=""235.5039""","=""0.0004""","=""235.50393""","=""0.00008""","=""80""","=""1.8e+07""",C+,"=""0.0000000""","=""5.2646339""","=""5s2""","=""1S""","=""0""","=""5s.8p""","=""1P*""","=""1""",1,3,,"=""T3039""","=""L7362""",
"=""242.8832""","=""0.0003""","=""242.88319""","=""0.00008""","=""160""","=""1.7e+07""",C+,"=""0.0000000""","=""5.1046841""","=""5s2""","=""1S""","=""0""","=""4d.5p""","=""1P*""","=""1""",1,3,,"=""T3039""","=""L7362""",
"=""257.0239""","=""0.00022""","=""257.02410""","=""0.00007""","=""40""","=""5.3e+06""",B,"=""0.0000000""","=""4.8238356""","=""5s2""","=""1S""","=""0""","=""5s.7p""","=""1P*""","=""1""",1,3,,"=""T3039""","=""L7362""",
"=""293.2688""","=""0.0003""","=""293.26886""","=""0.00005""","=""130""","=""1.9e+06""",C+,"=""0.0000000""","=""4.2276633""","=""5s2""","=""1S""","=""0""","=""5s.6p""","=""1P*""","=""1""",1,3,,"=""T3039""","=""L7362""",
"=""317.320""","=""0.002""","=""317.327""","=""0.005""","=""w""","=""""",,"=""2.2588413""","=""6.16598""","=""5s.4d""","=""3D""","=""2""","=""4d.6p""","=""3P*""","=""2""",5,5,,"=""""","=""L7603""",
"=""317.995""","=""0.002""","=""317.9955""","=""0.0014""","=""""","=""""",,"=""2.2588413""","=""6.157771""","=""5s.4d""","=""3D""","=""2""","=""4d.6p""","=""3D*""","=""3""",5,7,,"=""""","=""L7603""",
"=""318.350""","=""0.002""","=""318.342""","=""0.005""","=""w""","=""""",,"=""2.2712989""","=""6.16598""","=""5s.4d""","=""3D""","=""3""","=""4d.6p""","=""3P*""","=""2""",7,5,,"=""""","=""L7603""",
"=""318.479""","=""0.002""","=""318.4788""","=""0.0012""","=""""","=""""",,"=""2.2514340""","=""6.144446""","=""5s.4d""","=""3D""","=""1""","=""4d.6p""","=""3D*""","=""2""",3,5,,"=""""","=""L7603""",
"=""319.015""","=""0.002""","=""319.0148""","=""0.0014""","=""""","=""""",,"=""2.2712989""","=""6.157771""","=""5s.4d""","=""3D""","=""3""","=""4d.6p""","=""3D*""","=""3""",7,7,,"=""""","=""L7603""",
"=""319.086""","=""0.002""","=""319.0860""","=""0.0012""","=""""","=""""",,"=""2.2588413""","=""6.144446""","=""5s.4d""","=""3D""","=""2""","=""4d.6p""","=""3D*""","=""2""",5,5,,"=""""","=""L7603""",
"=""319.992""","=""0.002""","=""319.9916""","=""0.0014""","=""""","=""""",,"=""2.2514340""","=""6.126042""","=""5s.4d""","=""3D""","=""1""","=""4d.6p""","=""3D*""","=""1""",3,3,,"=""""","=""L7603""",
"=""320.112""","=""0.002""","=""320.1123""","=""0.0012""","=""""","=""""",,"=""2.2712989""","=""6.144446""","=""5s.4d""","=""3D""","=""3""","=""4d.6p""","=""3D*""","=""2""",7,5,,"=""""","=""L7603""",
"=""320.604""","=""0.002""","=""320.6045""","=""0.0014""","=""""","=""""",,"=""2.2588413""","=""6.126042""","=""5s.4d""","=""3D""","=""2""","=""4d.6p""","=""3D*""","=""1""",5,3,,"=""""","=""L7603""",
"=""330.2685""","=""0.0005""","=""330.26830""","=""0.00010""","=""420h""","=""5.9e+07""",B',"=""1.77514463""","=""5.5291894""","=""5s.5p""","=""3P*""","=""0""","=""4d2""","=""3P""","=""1""",1,3,,"=""T2979""","=""L7362""",
