obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""234.382""","=""234.3854""","=""500""","=""3.6e+08""",D,"=""6.963005""","=""12.252762""","=""3d2.(1D).4s""","=""c 2D""","=""5/2""","=""3d2.(1D).4p""","=""y 2F*""","=""7/2""",6,8,,"=""T3396n""","=""L4746""",
"=""""","=""234.7043""","=""""","=""8.2e+07""",D,"=""5.468948""","=""10.751518""","=""3d2.(3F).4s""","=""b 4F""","=""5/2""","=""3d2.(3F).4p""","=""z 4F*""","=""3/2""",6,4,,"=""T3396n""","=""""",
"=""""","=""234.7848""","=""""","=""7.3e+07""",D,"=""5.498181""","=""10.778939""","=""3d2.(3F).4s""","=""b 4F""","=""7/2""","=""3d2.(3F).4p""","=""z 4F*""","=""5/2""",8,6,,"=""T3396n""","=""""",
"=""""","=""234.8964""","=""""","=""4.5e+07""",D,"=""5.535518""","=""10.813768""","=""3d2.(3F).4s""","=""b 4F""","=""9/2""","=""3d2.(3F).4p""","=""z 4F*""","=""7/2""",10,8,,"=""T3396n""","=""""",
"=""235.945""","=""235.9454""","=""500""","=""4.2e+08""",D,"=""6.115860""","=""11.370644""","=""3d2.(3F).4s""","=""b 2F""","=""5/2""","=""3d2.(3F).4p""","=""z 2G*""","=""7/2""",6,8,,"=""T3396n""","=""L4746""",
"=""236.703""","=""236.7017""","=""500""","=""4.2e+08""",D,"=""6.175069""","=""11.413062""","=""3d2.(3F).4s""","=""b 2F""","=""7/2""","=""3d2.(3F).4p""","=""z 2G*""","=""9/2""",8,10,,"=""T3396n""","=""L4746""",
"=""237.178""","=""237.1780""","=""2500""","=""5.2e+08""",D,"=""5.535518""","=""10.762993""","=""3d2.(3F).4s""","=""b 4F""","=""9/2""","=""3d2.(3F).4p""","=""z 4G*""","=""11/2""",10,12,,"=""T3396n""","=""L4746""",
"=""""","=""237.3787""","=""""","=""2.9e+08""",D,"=""6.974948""","=""12.198003""","=""3d2.(1D).4s""","=""c 2D""","=""3/2""","=""3d2.(1D).4p""","=""y 2F*""","=""5/2""",4,6,,"=""T3396n""","=""""",
"=""238.319""","=""238.3189""","=""1000""","=""5.0e+08""",D,"=""5.498181""","=""10.700630""","=""3d2.(3F).4s""","=""b 4F""","=""7/2""","=""3d2.(3F).4p""","=""z 4G*""","=""9/2""",8,10,,"=""T3396n""","=""L4746""",
"=""239.431""","=""239.4309""","=""500""","=""4.3e+08""",D,"=""5.468948""","=""10.647235""","=""3d2.(3F).4s""","=""b 4F""","=""5/2""","=""3d2.(3F).4p""","=""z 4G*""","=""7/2""",6,8,,"=""T3396n""","=""L4746""",
"=""""","=""240.0416""","=""""","=""3.7e+07""",D,"=""5.535518""","=""10.700630""","=""3d2.(3F).4s""","=""b 4F""","=""9/2""","=""3d2.(3F).4p""","=""z 4G*""","=""9/2""",10,10,,"=""T3396n""","=""""",
"=""240.491""","=""240.4915""","=""500""","=""2.5e+08""",D,"=""5.448174""","=""10.603625""","=""3d2.(3F).4s""","=""b 4F""","=""3/2""","=""3d2.(3F).4p""","=""z 4G*""","=""5/2""",4,6,,"=""T3396n""","=""L4746""",
"=""""","=""240.7903""","=""""","=""6.4e+07""",D,"=""5.498181""","=""10.647235""","=""3d2.(3F).4s""","=""b 4F""","=""7/2""","=""3d2.(3F).4p""","=""z 4G*""","=""7/2""",8,8,,"=""T3396n""","=""""",
"=""""","=""241.4645""","=""""","=""6.2e+07""",D,"=""5.468948""","=""10.603625""","=""3d2.(3F).4s""","=""b 4F""","=""5/2""","=""3d2.(3F).4p""","=""z 4G*""","=""5/2""",6,6,,"=""T3396n""","=""""",
"=""251.690""","=""251.6893""","=""500""","=""3.7e+08""",D,"=""7.848587""","=""12.774668""","=""3d2.(1G).4s""","=""b 2G""","=""9/2""","=""3d2.(1G).4p""","=""y 2G*""","=""9/2""",10,10,,"=""T3396n""","=""L4746""",
"=""252.192""","=""252.1917""","=""250""","=""1.1e+08""",D,"=""6.175069""","=""11.091338""","=""3d2.(3F).4s""","=""b 2F""","=""7/2""","=""3d2.(3F).4p""","=""2D*""","=""5/2""",8,6,,"=""T3396n""","=""L4746""",
"=""252.231""","=""252.2308""","=""250""","=""3.5e+08""",D,"=""7.850066""","=""12.765572""","=""3d2.(1G).4s""","=""b 2G""","=""7/2""","=""3d2.(1G).4p""","=""y 2G*""","=""7/2""",8,8,,"=""T3396n""","=""L4746""",
"=""254.897""","=""254.8983""","=""250""","=""2.0e+08""",D,"=""6.115860""","=""10.979927""","=""3d2.(3F).4s""","=""b 2F""","=""5/2""","=""3d2.(3F).4p""","=""2D*""","=""3/2""",6,4,,"=""T3396n""","=""L4746""",
"=""255.499""","=""255.4990""","=""150""","=""1.2e+08""",D,"=""6.175069""","=""11.027698""","=""3d2.(3F).4s""","=""b 2F""","=""7/2""","=""3d2.(3F).4p""","=""4D*""","=""5/2""",8,6,,"=""T3396n""","=""L4746""",
"=""256.409""","=""""","=""150""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L4746""",
"=""259.383""","=""259.3824""","=""250""","=""2.8e+08""",D,"=""6.115860""","=""10.895837""","=""3d2.(3F).4s""","=""b 2F""","=""5/2""","=""3d2.(3F).4p""","=""z 2F*""","=""5/2""",6,6,,"=""T3396n""","=""L4746""",
"=""259.588""","=""259.5874""","=""250""","=""2.8e+08""",D,"=""6.175069""","=""10.951271""","=""3d2.(3F).4s""","=""b 2F""","=""7/2""","=""3d2.(3F).4p""","=""z 2F*""","=""7/2""",8,8,,"=""T3396n""","=""L4746""",
"=""368.091""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L4746""",
"=""370.640""","=""""","=""50w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L4746""",
"=""471.621""","=""""","=""40""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L4746""",
"=""659.902""","=""""","=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L4746""",
