Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
F 2P;v=2s2.2p4(3P)3s,F 2Po;v=2s2.2p5,1.3966e-09,-13.0249834794867
F 4Po;v=2s2.2p4(3P)3p,F 4P;v=2s2.2p4(3P)3s,2.1815e-08,-1.7032915805781013
F 4Po;v=2s2.2p4(3P)3p,F 2P;v=2s2.2p4(3P)3s,4.2918e-07,-1.3747050793914006
F 4Do;v=2s2.2p4(3P)3p,F 4P;v=2s2.2p4(3P)3s,2.1744e-08,-1.8580202908127
F 4Do;v=2s2.2p4(3P)3p,F 2P;v=2s2.2p4(3P)3s,3.0395e-06,-1.5294337896259993
F 2Do;v=2s2.2p4(3P)3p,F 2P;v=2s2.2p4(3P)3s,2.924e-08,-1.5890688133622
F 2Do;v=2s2.2p4(3P)3p,F 4P;v=2s2.2p4(3P)3s,1.5632e-06,-1.9176553145489006
F 2So;v=2s2.2p4(3P)3p,F 2P;v=2s2.2p4(3P)3s,1.981e-08,-1.6550268853532
F 4So;v=2s2.2p4(3P)3p,F 4P;v=2s2.2p4(3P)3s,1.5198e-08,-1.9864649573215
F 4So;v=2s2.2p4(3P)3p,F 2P;v=2s2.2p4(3P)3s,1.2674e-06,-1.6578784561347994
F 2Po;v=2s2.2p4(3P)3p,F 2P;v=2s2.2p4(3P)3s,1.7575e-08,-1.738962251401901
F 2Po;v=2s2.2p4(3P)3p,F 4P;v=2s2.2p4(3P)3s,1.9305e-06,-2.0675487525886016
F 2D;v=2s2.2p4(1D)3s,F 2Po;v=2s2.2p5,3.7879e-09,-15.3638914270624
F 4P;v=2s2.2p4(3P)4s,F 4Po;v=2s2.2p4(3P)3p,1.0204e-07,-1.1770788260950997
F 4D;v=2s2.2p4(3P)3d,F 4Po;v=2s2.2p4(3P)3p,3.3113e-08,-1.4928592948189987
F 4D;v=2s2.2p4(3P)3d,F 4Do;v=2s2.2p4(3P)3p,1.9011e-07,-1.3381305845844
F 4D;v=2s2.2p4(3P)3d,F 2Do;v=2s2.2p4(3P)3p,6.8027e-07,-1.2784955608481994
F 2D;v=2s2.2p4(3P)3d,F 2Po;v=2s2.2p4(3P)3p,7.2348e-08,-1.1329414696499995
F 2D;v=2s2.2p4(3P)3d,F 4Po;v=2s2.2p4(3P)3p,1.0226e-07,-1.4971986416604999
F 2D;v=2s2.2p4(3P)3d,F 4So;v=2s2.2p4(3P)3p,1.7623e-07,-1.214025264917101
F 2D;v=2s2.2p4(3P)3d,F 2So;v=2s2.2p4(3P)3p,1.8189e-07,-1.2168768356987005
F 2D;v=2s2.2p4(3P)3d,F 2Do;v=2s2.2p4(3P)3p,2.143e-07,-1.2828349076897005
F 2F;v=2s2.2p4(3P)3d,F 2Do;v=2s2.2p4(3P)3p,6.0024e-08,-1.2975886869507995
F 2F;v=2s2.2p4(3P)3d,F 4Po;v=2s2.2p4(3P)3p,6.1652e-08,-1.5119524209215989
F 2F;v=2s2.2p4(3P)3d,F 4So;v=2s2.2p4(3P)3p,9.2593e-08,-1.2287790441782
F 2F;v=2s2.2p4(3P)3d,F 4Do;v=2s2.2p4(3P)3p,5.6497e-07,-1.3572237106870002
F 4F;v=2s2.2p4(3P)3d,F 4Po;v=2s2.2p4(3P)3p,8.7719e-08,-1.5343930431592003
F 4F;v=2s2.2p4(3P)3d,F 2Po;v=2s2.2p4(3P)3p,9.8039e-08,-1.1701358711487
F 4F;v=2s2.2p4(3P)3d,F 2So;v=2s2.2p4(3P)3p,1.4493e-07,-1.254071237197401
F 4F;v=2s2.2p4(3P)3d,F 4Do;v=2s2.2p4(3P)3p,5.9595e-07,-1.3796643329246017
F 4F;v=2s2.2p4(3P)3d,F 4So;v=2s2.2p4(3P)3p,1.3889e-06,-1.2512196664158015
F 4P;v=2s2.2p4(3P)3d,F 4Do;v=2s2.2p4(3P)3p,3.69e-08,-1.3910706160508006
F 4P;v=2s2.2p4(3P)3d,F 2So;v=2s2.2p4(3P)3p,1.6529e-07,-1.2654775203236
F 4P;v=2s2.2p4(3P)3d,F 2Do;v=2s2.2p4(3P)3p,1.675e-07,-1.3314355923146
F 4P;v=2s2.2p4(3P)3d,F 2Po;v=2s2.2p4(3P)3p,1.7699e-07,-1.181542154274899
F 4P;v=2s2.2p4(3P)3d,F 4Po;v=2s2.2p4(3P)3p,3.6232e-07,-1.5457993262853993
F 2P;v=2s2.2p4(3P)3d,F 4Po;v=2s2.2p4(3P)3p,7.0822e-08,-1.5564617213816998
F 2P;v=2s2.2p4(3P)3d,F 2Do;v=2s2.2p4(3P)3p,9.6154e-08,-1.3420979874109005
F 2P;v=2s2.2p4(3P)3d,F 4So;v=2s2.2p4(3P)3p,1.0638e-07,-1.273288344638301
F 2P;v=2s2.2p4(3P)3d,F 4Do;v=2s2.2p4(3P)3p,1.6611e-07,-1.4017330111471011
F 2Fo;v=2s2.2p4(1D)3p,F 2D;v=2s2.2p4(1D)3s,1.8975e-08,-1.6945769322802011
