Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""3d5.(4P).4p""","=""5D*""","=""3""",7,"=""""","=""14.514684""","=""""","=""0.000012""","=""  50                           :    29  3d5.(4G).4p    5F*  ""","=""L11223"""
"=""3d5.(4P).4p""","=""5D*""","=""4""",9,"=""""","=""14.570870""","=""""","=""0.000012""","=""  75                           :    14  3d5.(4D).4p    5D*  ""","=""L11223"""
"=""3d5.(4P).4p""","=""5S*""","=""2""",5,"=""""","=""14.503078""","=""""","=""0.000011""","=""  91                                                        ""","=""L11223"""
"=""3d5.(b 2G).4s""","=""1G""","=""4""",9,"=""""","=""14.623957""","=""""","=""0.000011""","="" 100                                                        ""","=""L11223"""
"=""3d5.(4G).4p""","=""3F*""","=""2""",5,"=""""","=""14.650432""","=""""","=""0.000011""","=""  90                                                        ""","=""L11223"""
"=""3d5.(4G).4p""","=""3F*""","=""4""",9,"=""""","=""14.673582""","=""""","=""0.000011""","=""  91                                                        ""","=""L11223"""
"=""3d5.(4G).4p""","=""3F*""","=""3""",7,"=""""","=""14.685094""","=""""","=""0.000011""","=""  66                           :    17  3d5.(4P).4p    5P*  ""","=""L11223"""
"=""3d5.(4P).4p""","=""5P*""","=""3""",7,"=""""","=""14.660727""","=""""","=""0.000011""","=""  45                           :    24  3d5.(4G).4p    3F*  ""","=""L11223"""
"=""3d5.(4P).4p""","=""5P*""","=""2""",5,"=""""","=""14.719623""","=""""","=""0.000012""","=""  69                           :    19  3d5.(4D).4p    5P*  ""","=""L11223"""
"=""3d5.(4P).4p""","=""5P*""","=""1""",3,"=""""","=""14.737759""","=""""","=""0.000012""","=""  78                           :    14  3d5.(4D).4p    5P*  ""","=""L11223"""
"=""3d5.(4G).4p""","=""3H*""","=""6""",13,"=""""","=""14.674175""","=""""","=""0.000012""","=""  96                                                        ""","=""L11223"""
