obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""18.7530297""","=""0.0000010""","=""""","=""1.2406e+10""",AA,"=""(1210.9620799)""","=""(1277.0763026)""","=""3p""","=""2P*""","=""3/2""","=""4s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
"=""""","=""18.7536844""","=""0.0000004""","=""""","=""3.5358e+09""",AA,"=""(1210.96185162)""","=""(1277.0737663)""","=""3d""","=""2D""","=""3/2""","=""4p""","=""2P*""","=""1/2""",4,2,,"=""T7771""","=""""",
"=""""","=""26.2010354""","=""0.0000007""","=""""","=""7.1934e+09""",AA,"=""(1277.0737663)""","=""(1324.39410926)""","=""4p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""26.2024236""","=""0.0000014""","=""""","=""4.4498e+09""",AA,"=""(1277.0763026)""","=""(1324.39413864)""","=""4s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""26.2099406""","=""0.0000008""","=""""","=""1.1980e+09""",AA,"=""(1277.0737663)""","=""(1324.3780315)""","=""4p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""26.2117635""","=""0.0000014""","=""""","=""4.4705e+09""",AA,"=""(1277.0763026)""","=""(1324.3772782)""","=""4s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""26.2294755""","=""0.0000005""","=""""","=""8.6312e+09""",AA,"=""(1277.1306837)""","=""(1324.39971830)""","=""4p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""26.2325177""","=""0.0000004""","=""""","=""9.4353e+07""",AA,"=""(1277.1305859)""","=""(1324.39413864)""","=""4d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""26.2325883""","=""0.0000005""","=""""","=""1.4394e+09""",AA,"=""(1277.1306837)""","=""(1324.39410926)""","=""4p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""26.23836302""","=""0.00000014""","=""""","=""1.3258e+10""",AA,"=""(1277.14948224)""","=""(1324.40250574)""","=""4f""","=""2F*""","=""5/2""","=""6g""","=""2G""","=""7/2""",6,8,,"=""T7771""","=""""",
"=""""","=""26.23991090""","=""0.00000019""","=""""","=""1.0231e+07""",AA,"=""(1277.14948224)""","=""(1324.39971830)""","=""4f""","=""2F*""","=""5/2""","=""6d""","=""2D""","=""5/2""",6,6,,"=""T7771""","=""""",
"=""""","=""26.2415149""","=""0.0000006""","=""""","=""2.4167e+09""",AA,"=""(1277.1306837)""","=""(1324.3780315)""","=""4p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
"=""""","=""26.2418790""","=""0.0000005""","=""""","=""9.5579e+08""",AA,"=""(1277.1305859)""","=""(1324.3772782)""","=""4d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""1/2""",4,2,,"=""T7771""","=""""",
"=""""","=""26.24268268""","=""0.00000014""","=""""","=""1.3742e+10""",AA,"=""(1277.15894174)""","=""(1324.40418719)""","=""4f""","=""2F*""","=""7/2""","=""6g""","=""2G""","=""9/2""",8,10,,"=""T7771""","=""""",
"=""""","=""26.24302619""","=""0.00000019""","=""""","=""2.1603e+08""",AA,"=""(1277.14948224)""","=""(1324.39410926)""","=""4f""","=""2F*""","=""5/2""","=""6d""","=""2D""","=""3/2""",6,4,,"=""T7771""","=""""",
"=""""","=""26.2430288""","=""0.0000004""","=""""","=""8.5250e+08""",AA,"=""(1277.1495164)""","=""(1324.39413864)""","=""4d""","=""2D""","=""5/2""","=""6p""","=""2P*""","=""3/2""",6,4,,"=""T7771""","=""""",
"=""""","=""26.24361668""","=""0.00000014""","=""""","=""4.9051e+08""",AA,"=""(1277.15894174)""","=""(1324.40250574)""","=""4f""","=""2F*""","=""7/2""","=""6g""","=""2G""","=""7/2""",8,8,,"=""T7771""","=""""",
"=""""","=""26.24516518""","=""0.00000019""","=""""","=""2.0514e+08""",AA,"=""(1277.15894174)""","=""(1324.39971830)""","=""4f""","=""2F*""","=""7/2""","=""6d""","=""2D""","=""5/2""",8,6,,"=""T7771""","=""""",
"=""""","=""40.4069218""","=""0.0000018""","=""""","=""1.2376e+10""",AA,"=""(1277.0737663)""","=""(1307.7576672)""","=""4p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""40.410196""","=""0.000003""","=""""","=""7.3506e+09""",AA,"=""(1277.0763026)""","=""(1307.7577176)""","=""4s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""40.4435466""","=""0.0000022""","=""""","=""2.1575e+09""",AA,"=""(1277.0737663)""","=""(1307.7298805)""","=""4p""","=""2P*""","=""1/2""","=""5s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""40.448610""","=""0.000003""","=""""","=""7.3967e+09""",AA,"=""(1277.0763026)""","=""(1307.7285795)""","=""4s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""40.4691010""","=""0.0000010""","=""""","=""2.4152e+10""",AA,"=""(1277.1305859)""","=""(1307.76734217)""","=""4d""","=""2D""","=""3/2""","=""5f""","=""2F*""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""40.4692069""","=""0.0000013""","=""""","=""1.4867e+10""",AA,"=""(1277.1306837)""","=""(1307.7673598)""","=""4p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""40.4818183""","=""0.0000012""","=""""","=""1.8882e+08""",AA,"=""(1277.1305859)""","=""(1307.7577176)""","=""4d""","=""2D""","=""3/2""","=""5p""","=""2P*""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""40.4820143""","=""0.0000013""","=""""","=""2.4810e+09""",AA,"=""(1277.1306837)""","=""(1307.7576672)""","=""4p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""40.4876845""","=""0.0000003""","=""""","=""4.1075e+10""",AA,"=""(1277.14948224)""","=""(1307.77217651)""","=""4f""","=""2F*""","=""5/2""","=""5g""","=""2G""","=""7/2""",6,8,,"=""T7771""","=""""",
"=""""","=""40.4877175""","=""0.0000010""","=""""","=""2.5871e+10""",AA,"=""(1277.1495164)""","=""(1307.77218574)""","=""4d""","=""2D""","=""5/2""","=""5f""","=""2F*""","=""7/2""",6,8,,"=""T7771""","=""""",
"=""""","=""40.4940540""","=""0.0000007""","=""""","=""2.4074e+07""",AA,"=""(1277.14948224)""","=""(1307.7673598)""","=""4f""","=""2F*""","=""5/2""","=""5d""","=""2D""","=""5/2""",6,6,,"=""T7771""","=""""",
"=""""","=""40.4941224""","=""0.0000010""","=""""","=""1.7250e+09""",AA,"=""(1277.1495164)""","=""(1307.76734217)""","=""4d""","=""2D""","=""5/2""","=""5f""","=""2F*""","=""5/2""",6,6,,"=""T7771""","=""""",
"=""""","=""40.4963518""","=""0.0000003""","=""""","=""4.2584e+10""",AA,"=""(1277.15894174)""","=""(1307.77508195)""","=""4f""","=""2F*""","=""7/2""","=""5g""","=""2G""","=""9/2""",8,10,,"=""T7771""","=""""",
"=""""","=""40.5001952""","=""0.0000003""","=""""","=""1.5205e+09""",AA,"=""(1277.15894174)""","=""(1307.77217651)""","=""4f""","=""2F*""","=""7/2""","=""5g""","=""2G""","=""7/2""",8,8,,"=""T7771""","=""""",
"=""""","=""40.5065686""","=""0.0000007""","=""""","=""4.8268e+08""",AA,"=""(1277.15894174)""","=""(1307.7673598)""","=""4f""","=""2F*""","=""7/2""","=""5d""","=""2D""","=""5/2""",8,6,,"=""T7771""","=""""",
"=""""","=""40.5068555""","=""0.0000012""","=""""","=""1.7062e+09""",AA,"=""(1277.1495164)""","=""(1307.7577176)""","=""4d""","=""2D""","=""5/2""","=""5p""","=""2P*""","=""3/2""",6,4,,"=""T7771""","=""""",
"=""""","=""40.5068771""","=""0.0000007""","=""""","=""5.0829e+08""",AA,"=""(1277.14948224)""","=""(1307.7576672)""","=""4f""","=""2F*""","=""5/2""","=""5d""","=""2D""","=""3/2""",6,4,,"=""T7771""","=""""",
"=""""","=""40.5187755""","=""0.0000019""","=""""","=""4.3563e+09""",AA,"=""(1277.1306837)""","=""(1307.7298805)""","=""4p""","=""2P*""","=""3/2""","=""5s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
"=""""","=""40.5203687""","=""0.0000015""","=""""","=""1.9137e+09""",AA,"=""(1277.1305859)""","=""(1307.7285795)""","=""4d""","=""2D""","=""3/2""","=""5p""","=""2P*""","=""1/2""",4,2,,"=""T7771""","=""""",
"=""""","=""74.395594""","=""0.000004""","=""""","=""3.7402e+09""",AA,"=""(1307.7285795)""","=""(1324.39410926)""","=""5p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""74.401271""","=""0.000005""","=""""","=""2.4209e+09""",AA,"=""(1307.7298805)""","=""(1324.39413864)""","=""5s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
"=""""","=""74.467435""","=""0.000005""","=""""","=""8.9667e+08""",AA,"=""(1307.7285795)""","=""(1324.3780315)""","=""5p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""74.476624""","=""0.000005""","=""""","=""2.4368e+09""",AA,"=""(1307.7298805)""","=""(1324.3772782)""","=""5s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
"=""""","=""74.5005974""","=""0.0000025""","=""""","=""6.7564e+09""",AA,"=""(1307.7576672)""","=""(1324.39970801)""","=""5d""","=""2D""","=""3/2""","=""6f""","=""2F*""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""74.5007772""","=""0.0000025""","=""""","=""4.4963e+09""",AA,"=""(1307.7577176)""","=""(1324.39971830)""","=""5p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
"=""""","=""74.5255379""","=""0.0000025""","=""""","=""9.6107e+07""",AA,"=""(1307.7576672)""","=""(1324.39413864)""","=""5d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""74.5258955""","=""0.0000025""","=""""","=""7.5055e+08""",AA,"=""(1307.7577176)""","=""(1324.39410926)""","=""5p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
"=""""","=""74.5313972""","=""0.0000011""","=""""","=""1.0674e+10""",AA,"=""(1307.76734217)""","=""(1324.40250574)""","=""5f""","=""2F*""","=""5/2""","=""6g""","=""2G""","=""7/2""",6,8,,"=""T7771""","=""""",
"=""""","=""74.5314523""","=""0.0000025""","=""""","=""7.2394e+09""",AA,"=""(1307.7673598)""","=""(1324.40251105)""","=""5d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""7/2""",6,8,,"=""T7771""","=""""",
"=""""","=""74.5438880""","=""0.0000016""","=""""","=""1.8637e+07""",AA,"=""(1307.76734217)""","=""(1324.39971830)""","=""5f""","=""2F*""","=""5/2""","=""6d""","=""2D""","=""5/2""",6,6,,"=""T7771""","=""""",
"=""""","=""74.5440130""","=""0.0000025""","=""""","=""4.8284e+08""",AA,"=""(1307.7673598)""","=""(1324.39970801)""","=""5d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""5/2""",6,6,,"=""T7771""","=""""",
"=""""","=""74.5455407""","=""0.0000003""","=""""","=""1.6101e+10""",AA,"=""(1307.77217651)""","=""(1324.404183906)""","=""5g""","=""2G""","=""7/2""","=""6h""","=""2H*""","=""9/2""",8,10,,"=""T7771""","=""""",
"=""""","=""74.5455673""","=""0.0000011""","=""""","=""1.1068e+10""",AA,"=""(1307.77218574)""","=""(1324.40418719)""","=""5f""","=""2F*""","=""7/2""","=""6g""","=""2G""","=""9/2""",8,10,,"=""T7771""","=""""",
"=""""","=""74.5530393""","=""0.0000011""","=""""","=""3.1634e+06""",AA,"=""(1307.77217651)""","=""(1324.40251105)""","=""5g""","=""2G""","=""7/2""","=""6f""","=""2F*""","=""7/2""",8,8,,"=""T7771""","=""""",
"=""""","=""74.5531044""","=""0.0000011""","=""""","=""3.9531e+08""",AA,"=""(1307.77218574)""","=""(1324.40250574)""","=""5f""","=""2F*""","=""7/2""","=""6g""","=""2G""","=""7/2""",8,8,,"=""T7771""","=""""",
"=""""","=""74.5535403""","=""0.0000003""","=""""","=""1.6465e+10""",AA,"=""(1307.77508195)""","=""(1324.405304723)""","=""5g""","=""2G""","=""9/2""","=""6h""","=""2H*""","=""11/2""",10,12,,"=""T7771""","=""""",
"=""""","=""74.5585653""","=""0.0000003""","=""""","=""3.6583e+08""",AA,"=""(1307.77508195)""","=""(1324.404183906)""","=""5g""","=""2G""","=""9/2""","=""6h""","=""2H*""","=""9/2""",10,10,,"=""T7771""","=""""",
"=""""","=""74.5656025""","=""0.0000016""","=""""","=""3.7357e+08""",AA,"=""(1307.77218574)""","=""(1324.39971830)""","=""5f""","=""2F*""","=""7/2""","=""6d""","=""2D""","=""5/2""",8,6,,"=""T7771""","=""""",
"=""""","=""74.5656073""","=""0.0000011""","=""""","=""1.1421e+08""",AA,"=""(1307.77217651)""","=""(1324.39970801)""","=""5g""","=""2G""","=""7/2""","=""6f""","=""2F*""","=""5/2""",8,6,,"=""T7771""","=""""",
"=""""","=""74.5660665""","=""0.0000011""","=""""","=""1.1089e+08""",AA,"=""(1307.77508195)""","=""(1324.40251105)""","=""5g""","=""2G""","=""9/2""","=""6f""","=""2F*""","=""7/2""",10,8,,"=""T7771""","=""""",
"=""""","=""74.5689826""","=""0.0000025""","=""""","=""8.6822e+08""",AA,"=""(1307.7673598)""","=""(1324.39413864)""","=""5d""","=""2D""","=""5/2""","=""6p""","=""2P*""","=""3/2""",6,4,,"=""T7771""","=""""",
"=""""","=""74.5690354""","=""0.0000016""","=""""","=""3.9327e+08""",AA,"=""(1307.76734217)""","=""(1324.39410926)""","=""5f""","=""2F*""","=""5/2""","=""6d""","=""2D""","=""3/2""",6,4,,"=""T7771""","=""""",
"=""""","=""74.597988""","=""0.000004""","=""""","=""1.8098e+09""",AA,"=""(1307.7577176)""","=""(1324.3780315)""","=""5p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
"=""""","=""74.601143""","=""0.000003""","=""""","=""9.7300e+08""",AA,"=""(1307.7576672)""","=""(1324.3772782)""","=""5d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""1/2""",4,2,,"=""T7771""","=""""",
