obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""12.3243""","=""0.0003""","=""12.324+""","=""20""","=""""",,"=""0.0000""","=""100.60""","=""5s""","=""2S""","=""1/2""","=""4d9.5s.(3D).4f""","=""2P*""","=""3/2""",2,4,,"=""""","=""L11883""",
"=""12.3265""","=""0.0003""","=""12.3265+""","=""15""","=""""",,"=""0.0000""","=""100.583""","=""5s""","=""2S""","=""1/2""","=""4d9.5s.(3D).4f""","=""2P*""","=""1/2""",2,2,,"=""""","=""L11883""",
"=""16.6674""","=""0.0005""","=""16.6674+""","=""15""","=""""",,"=""0.0000""","=""74.3872""","=""5s""","=""2S""","=""1/2""","=""4d9.(2D<3/2>).5s.5p.(1P*<1>)""","=""(3/2,1P*<1>)""","=""1/2""",2,2,,"=""""","=""L6205""",
"=""17.0856""","=""0.0005""","=""17.0856+""","=""100""","=""""",,"=""0.0000""","=""72.5665""","=""5s""","=""2S""","=""1/2""","=""4d9.(2D<5/2>).5s.5p.(1P*<1>)""","=""(5/2,1P*<1>)""","=""3/2""",2,4,,"=""""","=""L6205""",
"=""17.4147""","=""0.0005""","=""17.4147+""","=""5""","=""""",,"=""0.0000""","=""71.1952""","=""5s""","=""2S""","=""1/2""","=""4d9.(2D<3/2>).5s.5p.(3P*<2>)""","=""(3/2,3P*<2>)""","=""3/2""",2,4,,"=""""","=""L6205""",
"=""17.5872""","=""0.0005""","=""17.5872+""","=""3""","=""""",,"=""0.0000""","=""70.4968""","=""5s""","=""2S""","=""1/2""","=""4d9.(2D<3/2>).5s.5p.(3P*<2>)""","=""(3/2,3P*<2>)""","=""1/2""",2,2,,"=""""","=""L6205""",
"=""17.7258""","=""0.0005""","=""17.7258+""","=""35""","=""""",,"=""0.0000""","=""69.9456""","=""5s""","=""2S""","=""1/2""","=""4d9.(2D<3/2>).5s.5p.(3P*<1>)""","=""(3/2,3P*<1>)""","=""1/2""",2,2,,"=""""","=""L6205""",
"=""17.7707""","=""0.0005""","=""17.7707+""","=""50""","=""""",,"=""0.0000""","=""69.7689""","=""5s""","=""2S""","=""1/2""","=""4d9.(2D<3/2>).5s.5p.(3P*<1>)""","=""(3/2,3P*<1>)""","=""3/2""",2,4,,"=""""","=""L6205""",
"=""17.9656""","=""0.0005""","=""17.9656+""","=""30""","=""""",,"=""0.0000""","=""69.0120""","=""5s""","=""2S""","=""1/2""","=""4d9.(2D<3/2>).5s.5p.(3P*<0>)""","=""(5/2,3P*<2>)""","=""3/2""",2,4,,"=""""","=""L6205""",
"=""18.0142""","=""0.0005""","=""18.0142+""","=""5""","=""""",,"=""0.0000""","=""68.8259""","=""5s""","=""2S""","=""1/2""","=""4d9.(2D<5/2>).5s.5p.(3P*<2>)""","=""(5/2,3P*<2>)""","=""1/2""",2,2,,"=""""","=""L6205""",
