obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""10.29""","=""10.285631619""","=""0.000000021""","=""""","=""6.6910e+08""",AA,"=""0.00000000""","=""(120.5411617162)""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L7397""",
"=""10.29""","=""10.285636521""","=""0.000000021""","=""""","=""6.6898e+08""",AA,"=""0.00000000""","=""(120.5411042624)""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L7397""",
"=""10.34""","=""10.335850909""","=""0.000000021""","=""""","=""1.0020e+09""",AA,"=""0.00000000""","=""(119.9554826423)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L7397""",
"=""10.34""","=""10.335858299""","=""0.000000021""","=""""","=""1.0019e+09""",AA,"=""0.00000000""","=""(119.9553968798)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L7397""",
"=""10.41""","=""10.414193182""","=""0.000000022""","=""""","=""1.5991e+09""",AA,"=""0.00000000""","=""(119.0531001894)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L7397""",
"=""10.41""","=""10.414205096""","=""0.000000022""","=""""","=""1.5988e+09""",AA,"=""0.00000000""","=""(119.0529640008)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L7397""",
"=""10.55""","=""10.546772674""","=""0.000000022""","=""""","=""2.7863e+09""",AA,"=""0.00000000""","=""(117.5565286773)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L7397""",
"=""10.55""","=""10.546793788""","=""0.000000022""","=""""","=""2.7859e+09""",AA,"=""0.00000000""","=""(117.5562933413)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L7397""",
"=""10.80""","=""10.799879057""","=""0.000000023""","=""""","=""5.5269e+09""",AA,"=""0.00000000""","=""(114.8014693297)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L7397""",
"=""10.80""","=""10.799922298""","=""0.000000023""","=""""","=""5.5263e+09""",AA,"=""0.00000000""","=""(114.8010096841)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L7397""",
"=""11.39""","=""11.39045690""","=""0.00000003""","=""""","=""1.3557e+10""",AA,"=""0.00000000""","=""(108.8491880076)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L7397""",
"=""11.39""","=""11.39057091""","=""0.00000003""","=""""","=""1.3557e+10""",AA,"=""0.00000000""","=""(108.8480984654)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L7397""",
"=""13.50""","=""13.49957611""","=""0.00000004""","=""""","=""5.0777e+10""",AA,"=""0.00000000""","=""(91.8430307922)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L7397""",
