obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""148.269""","=""0.010""","=""148.2580""","=""0.0004""","=""""","=""""",,"=""1.8047016""","=""10.167436""","=""4p6.4d""","=""2D""","=""3/2""","=""4p6.8f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L3450""",
"=""148.899""","=""0.010""","=""148.8767""","=""0.0004""","=""*""","=""""",,"=""1.8394593""","=""10.167436""","=""4p6.4d""","=""2D""","=""5/2""","=""4p6.8f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L3450""",
"=""148.899""","=""0.010""","=""148.8767""","=""0.0004""","=""*""","=""""",,"=""1.8394593""","=""10.167436""","=""4p6.4d""","=""2D""","=""5/2""","=""4p6.8f""","=""2F*""","=""5/2""",6,6,,"=""""","=""L3450""",
"=""153.128""","=""0.010""","=""153.1267""","=""0.0005""","=""""","=""""",,"=""1.8047016""","=""9.901539""","=""4p6.4d""","=""2D""","=""3/2""","=""4p6.7f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L3450""",
"=""153.791""","=""0.010""","=""153.7869""","=""0.0005""","=""*""","=""""",,"=""1.8394593""","=""9.901539""","=""4p6.4d""","=""2D""","=""5/2""","=""4p6.7f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L3450""",
"=""153.791""","=""0.010""","=""153.7869""","=""0.0005""","=""*""","=""""",,"=""1.8394593""","=""9.901539""","=""4p6.4d""","=""2D""","=""5/2""","=""4p6.7f""","=""2F*""","=""5/2""",6,6,,"=""""","=""L3450""",
"=""161.298""","=""0.010""","=""161.2968""","=""0.0003""","=""""","=""""",,"=""1.8047016""","=""9.491412""","=""4p6.4d""","=""2D""","=""3/2""","=""4p6.6f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L3450""",
"=""162.035""","=""0.010""","=""162.0295""","=""0.0003""","=""*""","=""""",,"=""1.8394593""","=""9.491412""","=""4p6.4d""","=""2D""","=""5/2""","=""4p6.6f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L3450""",
"=""162.035""","=""0.010""","=""162.0295""","=""0.0003""","=""*""","=""""",,"=""1.8394593""","=""9.491412""","=""4p6.4d""","=""2D""","=""5/2""","=""4p6.6f""","=""2F*""","=""5/2""",6,6,,"=""""","=""L3450""",
"=""176.281""","=""0.010""","=""176.2663""","=""0.0003""","=""""","=""""",,"=""3.0396772""","=""[10.073592]""","=""4p6.5p""","=""2P*""","=""3/2""","=""4p6.9d""","=""2D""","=""5/2""",4,6,,"=""""","=""L3450""",
"=""176.963""","=""0.010""","=""176.9601""","=""0.0003""","=""""","=""""",,"=""1.8047016""","=""8.811036""","=""4p6.4d""","=""2D""","=""3/2""","=""4p6.5f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L3450""",
"=""177.839""","=""0.010""","=""177.8424""","=""0.0003""","=""*""","=""""",,"=""1.8394593""","=""8.811036""","=""4p6.4d""","=""2D""","=""5/2""","=""4p6.5f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L3450""",
"=""177.839""","=""0.010""","=""177.8424""","=""0.0003""","=""*""","=""""",,"=""1.8394593""","=""8.811036""","=""4p6.4d""","=""2D""","=""5/2""","=""4p6.5f""","=""2F*""","=""5/2""",6,6,,"=""""","=""L3450""",
