label,energy_eV
S V (3s2 1S<0>),47.222
S V (3s.3p 3P*<0>),57.5155
S V (3s.3p 3P*<1>),57.5613
S V (3s.3p 3P*<2>),57.6558
S V (3s.3p 1P*<1>),62.9866
