State,Lifetime /s,Energy /eV
Fe a5D;v=3d6.4s2,,0.0
Fe z1Fo;v=3d7(2G)4p,3.24002e-08,6.34800569818231
Fe x1Go;v=3d6(3F{2})4s.4p(3Po),5.47885e-09,6.34883637314911
Fe e7G;v=3d6(5D)4s(6D)4d,9.52844e-09,6.36893374809224
Fe x3Ho;v=3d6(3G)4s.4p(3Po),1.94175e-07,6.37376902028707
Fe t5Do;v=3d6(5D)4s(6D)5p,5.15299e-09,6.39332087734154
Fe f5F;v=3d6(5D)4s(6D)4d,7.19321e-09,6.39373001575803
Fe v3Fo;v=3d7(2D{2})4p,4.54545e-08,6.39980510133615
Fe e3D;v=3d6(5D)4s(4D)5s,4.02188e-08,6.40115649792393
Fe g5D;v=3d6(5D)4s(4D)5s,4.54401e-08,6.4011812941916
Fe u3Go;v=3d7(2H)4p,9.38703e-09,6.41086423671509
Fe e7S;v=3d6(5D)4s(6D)4d,2.30134e-08,6.41659217454589
Fe u5Fo;v=3d6(5D)4s(6D)5p,4.5045e-07,6.41753443271719
Fe 1Ho;v=3d6(3H)4s.4p(3Po),1.50582e-08,6.42543204396874
Fe u5Po;v=3d6(5D)4s(6D)5p,3.84615e-08,6.44018582322989
Fe y1Do;v=3d7(2P)4p,1.5748e-08,6.44947202547073
Fe x1Do;v=3d6(3H)4s.4p(3Po),1.66725e-08,6.45197644850497
Fe e5P;v=3d6(5D)4s(6D)4d,8.38926e-09,6.46944541907552
Fe u3Do;v=3d7(2P)4p,1.03447e-08,6.47892999145769
Fe 1Po;v=3d7(2P)4p,8.28006e-09,6.51057002899924
Fe t3Do;v=3d7(2D{2})4p,1.83107e-08,6.54233404787911
Fe w3Ho;v=3d7(2H)4p,6.17703e-09,6.55338078512422
Fe y3Io;v=3d7(2H)4p,8.04894e-09,6.55848881626338
Fe v3Po;v=3d7(2D{2})4p,6.99301e-08,6.56525819733614
Fe x3Fo;v=3d6(3G)4s.4p(3Po),1.14982e-08,6.58260318656836
Fe g5F;v=3d7(4F)4d,7.34107e-09,6.59951424111643
Fe 1Io;v=3d7(2H)4p,1.36986e-07,6.61177599547716
Fe h5D;v=3d7(4F)4d,1.25e-07,6.65297499420387
Fe f5P;v=3d7(4F)4d,2.20507e-08,6.66564588698109
Fe f5G;v=3d7(4F)4d,3.01205e-08,6.67123744533973
Fe 3Fo;v=3d7(4F)5p,5.88582e-08,6.68154029455486
Fe e5H;v=3d7(4F)4d,4.50045e-08,6.68571846565655
Fe 5Fo;v=3d7(4F)5p,3.22581e-07,6.6955749820537
Fe e3G;v=3d7(4F)4d,3.83303e-08,6.6967032122325
Fe f3D;v=3d7(4F)4d,2.02819e-08,6.71045274265318
Fe x1Fo;v=3d7(2D{2})4p,2.32721e-08,6.71143219522597
Fe g7D;v=3d6(5D)4s(6D)6s,5.42594e-08,6.74157205857374
Fe x3So;v=3d7(2P)4p,2.53485e-08,6.74203078952556
Fe e3H;v=3d7(4F)4d,2.457e-08,6.7428738626262
Fe 5Do;v=3d6(3D)4s.4p(3Po),2.36967e-08,6.75069708507475
Fe t3Go;v=3d6(3G)4s.4p(3Po),1.69722e-08,6.75586710688307
Fe t5Po;v=3d6(3D)4s.4p(3Po),1.33428e-08,6.76385150507146
Fe 5Fo;v=3d6(3D)4s.4p(3Po),9.96751e-09,6.76941826716243
Fe f3F;v=3d7(4F)4d,1.06338e-08,6.79552873701451
Fe w1Go;v=3d6(3G)4s.4p(3Po),8.59845e-08,6.8344588772498
Fe e3P;v=3d7(4F)4d,3.19489e-07,6.86560298943803
Fe s3Go;v=3d6(1G{2})4s.4p(3Po),7.3266e-09,6.87426928498722
Fe v3Ho;v=3d6(1G{2})4s.4p(3Po),4.88998e-09,6.91248033346021
Fe w1Do;v=3d7(2D{2})4p,1.1485e-08,6.91700565230921
Fe 1Ho;v=3d7(2H)4p,1.08755e-08,6.93144947822454
Fe 1Fo;v=3d6(3G)4s.4p(3Po),1.18357e-08,6.95508032131004
Fe u3Ho;v=3d6(1I)4s.4p(3Po),1.03939e-08,6.99543624693611
Fe u3Fo;v=3d6(1G{2})4s.4p(3Po),7.4096e-09,7.04941772164454
Fe v1Go;v=3d7(2H)4p,7.88084e-09,7.0608983935738
Fe x3Io;v=3d6(1I)4s.4p(3Po),1.71969e-08,7.0798551402043
Fe t3Fo;v=3d6(3D)4s.4p(3Po),7.90389e-09,7.14640832261928
Fe i5D;v=3d6(5D)4s(4D)4d,7.58438e-09,7.18770650641665
Fe g5G;v=3d6(5D)4s(4D)4d,3.0303e-07,7.21733804627727
Fe 5P;v=3d6.4s(4D)4d,7.93651e-08,7.2931774309331
Fe 3Io;v=3d6(3H)4s.4p(1Po),2.00381e-09,7.32553656023695
Fe t3Ho;v=3d6(3H)4s.4p(1Po),1.8797e-09,7.50875618201948
Fe r3Go;v=3d6(3F{2})4s.4p(1Po),1.93087e-09,7.5328085616553
Fe n7Do;v=3d6(5D)4s(6D)5p,,6.1187692868
Fe n7Fo;v=3d6(5D)4s(6D)5p,,6.1690810379
Fe b1D{2};v=3d6.4s2,,4.2943158276
Fe b3G;v=3d6.4s2,,2.9487249139
Fe b3H;v=3d7(2H)4s,,3.2366454121
Fe a3F;v=3d7(4F)4s,,1.4848301394
Fe c3F;v=3d8,,4.0757168911
