Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
Fe w5Fo;v=3d6(3F{2})4s.4p(3Po),Fe a5D;v=3d6.4s2,2.1882e-07,-5.51863253543077
Fe w5Fo;v=3d6(3F{2})4s.4p(3Po),Fe a5F;v=3d7(4F)4s,4.158e-07,-4.50760067594626
Fe w5Fo;v=3d6(3F{2})4s.4p(3Po),Fe a3H;v=3d6.4s2,1.5456e-06,-3.03431927426284
Fe w5Fo;v=3d6(3F{2})4s.4p(3Po),Fe z7Fo;v=3d6(5D)4s.4p(3Po),3.6765e-06,-2.66063952053937
Fe y5So;v=3d7(4P)4p,Fe a5F;v=3d7(4F)4s,1.8101e-08,-4.5466671956537095
Fe y5So;v=3d7(4P)4p,Fe a5D;v=3d6.4s2,1.6142e-07,-5.55769905513822
Fe y5So;v=3d7(4P)4p,Fe a5P;v=3d7(4P)4s,4.6024e-07,-3.33503601037972
Fe y5So;v=3d7(4P)4p,Fe b3G;v=3d6.4s2,5.3432e-06,-2.6089741412382197
Fe y5So;v=3d7(4P)4p,Fe b3F{2};v=3d6.4s2,1.7874e-05,-2.94925567803534
Fe e5D;v=3d6(5D)4s(6D)5s,Fe z7Fo;v=3d6(5D)4s.4p(3Po),4.7815e-08,-2.7895801124014796
Fe e5D;v=3d6(5D)4s(6D)5s,Fe a3H;v=3d6.4s2,7.3605e-08,-3.1632598661249496
Fe e5D;v=3d6(5D)4s(6D)5s,Fe a3F;v=3d7(4F)4s,8.5024e-08,-4.16274298789288
Fe e5D;v=3d6(5D)4s(6D)5s,Fe b3F{2};v=3d6.4s2,2.0742e-07,-3.03912975019
Fe e5D;v=3d6(5D)4s(6D)5s,Fe a5F;v=3d7(4F)4s,4.1576e-07,-4.6365412678083695
Fe x3Do;v=3d6(3P{2})4s.4p(3Po),Fe a3P{2};v=3d6.4s2,1.3691e-07,-3.19558180102731
Fe x3Do;v=3d6(3P{2})4s.4p(3Po),Fe a3F;v=3d7(4F)4s,2.0948e-07,-4.164131578882159
Fe x3Do;v=3d6(3P{2})4s.4p(3Po),Fe b3G;v=3d6.4s2,8.0901e-07,-2.70023680438216
Fe x3Do;v=3d6(3P{2})4s.4p(3Po),Fe b3F{2};v=3d6.4s2,1.0922e-06,-3.04051834117928
Fe x3Do;v=3d6(3P{2})4s.4p(3Po),Fe a5F;v=3d7(4F)4s,1.5207e-06,-4.63792985879765
Fe y3Go;v=3d6(3H)4s.4p(3Po),Fe a1P;v=3d7(2P)4s,3.934e-08,-2.22283661863216
Fe y3Go;v=3d6(3H)4s.4p(3Po),Fe a3D;v=3d7(2D{2})4s,4.6239e-08,-2.3611749959396104
Fe y3Go;v=3d6(3H)4s.4p(3Po),Fe b3D;v=3d6.4s2,8.8364e-08,-1.9666415811092102
Fe y3Go;v=3d6(3H)4s.4p(3Po),Fe y7Po;v=3d5(6S)4s2.4p,1.0452e-06,-0.6327759545633107
Fe y3Go;v=3d6(3H)4s.4p(3Po),Fe z5So;v=3d6(3P{2})4s.4p(3Po),1.5061e-06,-0.5535146849696106
Fe x5Go;v=3d6(3F{2})4s.4p(3Po),Fe a5F;v=3d7(4F)4s,2.681e-08,-4.68777035680589
Fe x5Go;v=3d6(3F{2})4s.4p(3Po),Fe a3P{2};v=3d6.4s2,3.4364e-06,-3.2454222990355506
Fe x5Go;v=3d6(3F{2})4s.4p(3Po),Fe b3F{2};v=3d6.4s2,9.0909e-06,-3.0903588391875205
Fe x5Go;v=3d6(3F{2})4s.4p(3Po),Fe a3G;v=3d7(2G)4s,1.282e-05,-2.9402918272741503
Fe x5Go;v=3d6(3F{2})4s.4p(3Po),Fe b3G;v=3d6.4s2,2.1277e-05,-2.7500773023904004
Fe z3Io;v=3d6(3H)4s.4p(3Po),Fe a3P{2};v=3d6.4s2,2.291e-07,-3.2665983116221398
Fe z3Io;v=3d6(3H)4s.4p(3Po),Fe a5F;v=3d7(4F)4s,3.1746e-06,-4.708946369392479
Fe z3Io;v=3d6(3H)4s.4p(3Po),Fe b3F{2};v=3d6.4s2,1.8051e-05,-3.1115348517741097
Fe z3Io;v=3d6(3H)4s.4p(3Po),Fe b3H;v=3d7(2H)4s,5.5556e-05,-2.4833328167769895
Fe w5Po;v=3d7(4P)4p,Fe a5D;v=3d6.4s2,4.7847e-09,-5.75402350438212
Fe w5Po;v=3d7(4P)4p,Fe a5P;v=3d7(4P)4s,6.8027e-08,-3.5313604596236203
Fe w5Po;v=3d7(4P)4p,Fe a3H;v=3d6.4s2,3.0303e-07,-3.26971024321419
Fe w5Po;v=3d7(4P)4p,Fe z7Fo;v=3d6(5D)4s.4p(3Po),9.2593e-07,-2.89603048949072
Fe z3So;v=3d6(3P{2})4s.4p(3Po),Fe z7Fo;v=3d6(5D)4s.4p(3Po),5.5249e-08,-2.9196365363085497
Fe z3So;v=3d6(3P{2})4s.4p(3Po),Fe a5D;v=3d6.4s2,1.3699e-07,-5.77762955119995
Fe z3So;v=3d6(3P{2})4s.4p(3Po),Fe c3P;v=3d7(2P)4s,3.0303e-07,-2.66673940238515
Fe y3Po;v=3d6(3P{2})4s.4p(3Po),Fe a5P;v=3d7(4P)4s,2.2802e-08,-3.56385596839964
Fe y3Po;v=3d6(3P{2})4s.4p(3Po),Fe z7Fo;v=3d6(5D)4s.4p(3Po),4.6473e-08,-2.9285259982667395
Fe y3Po;v=3d6(3P{2})4s.4p(3Po),Fe a3H;v=3d6.4s2,7.5072e-08,-3.3022057519902095
Fe y3Po;v=3d6(3P{2})4s.4p(3Po),Fe a5D;v=3d6.4s2,9.7593e-08,-5.78651901315814
Fe y3Po;v=3d6(3P{2})4s.4p(3Po),Fe c3P;v=3d7(2P)4s,2.7804e-07,-2.6756288643433397
Fe u5Do;v=3d7(4P)4p,Fe a3G;v=3d7(2G)4s,6.5906e-08,-3.08181652497666
Fe u5Do;v=3d7(4P)4p,Fe a3P{2};v=3d6.4s2,1.26e-07,-3.38694699673806
Fe u5Do;v=3d7(4P)4p,Fe b3G;v=3d6.4s2,5.6339e-07,-2.89160200009291
Fe u5Do;v=3d7(4P)4p,Fe a3F;v=3d7(4F)4s,6.3957e-07,-4.355496774592909
Fe u5Do;v=3d7(4P)4p,Fe b3F{2};v=3d6.4s2,1.0585e-06,-3.23188353689003
Fe x3Fo;v=3d6(3F{2})4s.4p(3Po),Fe a5P;v=3d7(4P)4s,9.6225e-09,-3.62572265622579
Fe x3Fo;v=3d6(3F{2})4s.4p(3Po),Fe a5D;v=3d6.4s2,1.1454e-07,-5.84838570098429
Fe x3Fo;v=3d6(3F{2})4s.4p(3Po),Fe a3H;v=3d6.4s2,1.2917e-07,-3.3640724398163595
Fe x3Fo;v=3d6(3F{2})4s.4p(3Po),Fe a3G;v=3d7(2G)4s,1.6679e-07,-3.0898753119680396
Fe x3Fo;v=3d6(3F{2})4s.4p(3Po),Fe a5F;v=3d7(4F)4s,5.6928e-07,-4.837353841499779
Fe z3Ho;v=3d6(3H)4s.4p(3Po),Fe a5P;v=3d7(4P)4s,5.1293e-08,-3.6288841803531797
Fe z3Ho;v=3d6(3H)4s.4p(3Po),Fe b3F{2};v=3d6.4s2,9.8824e-08,-3.2431038480087997
Fe z3Ho;v=3d6(3H)4s.4p(3Po),Fe a3F;v=3d7(4F)4s,1.0613e-07,-4.366717085711679
Fe z3Ho;v=3d6(3H)4s.4p(3Po),Fe a5D;v=3d6.4s2,1.0711e-07,-5.85154722511168
Fe z3Ho;v=3d6(3H)4s.4p(3Po),Fe a3G;v=3d7(2G)4s,1.85e-07,-3.0930368360954295
Fe e5F;v=3d7(4F)5s,Fe z7Fo;v=3d6(5D)4s.4p(3Po),2.9859e-08,-3.0028528105949497
Fe e5F;v=3d7(4F)5s,Fe a5P;v=3d7(4P)4s,3.1304e-08,-3.63818278072785
Fe e5F;v=3d7(4F)5s,Fe a5D;v=3d6.4s2,7.6629e-08,-5.86084582548635
Fe e5F;v=3d7(4F)5s,Fe a3H;v=3d6.4s2,1.668e-07,-3.3765325643184196
Fe e5F;v=3d7(4F)5s,Fe a3F;v=3d7(4F)4s,2.7633e-07,-4.376015686086349
Fe w3Do;v=3d7(4P)4p,Fe z7Fo;v=3d6(5D)4s.4p(3Po),2.1277e-07,-3.02116485426613
Fe w3Do;v=3d7(4P)4p,Fe a3H;v=3d6.4s2,2.1978e-07,-3.3948446079896
Fe w3Do;v=3d7(4P)4p,Fe b3F{2};v=3d6.4s2,1.2987e-06,-3.2707144920546503
Fe w3Do;v=3d7(4P)4p,Fe z5Fo;v=3d6(5D)4s.4p(3Po),1.8868e-06,-2.46433986756313
Fe w3Do;v=3d7(4P)4p,Fe a1I;v=3d6.4s2,9.0909e-06,-2.24402502935258
Fe w5Go;v=3d6(3G)4s.4p(3Po),Fe a1G;v=3d7(2G)4s,1.5746e-07,-2.8364450582898297
Fe w5Go;v=3d6(3G)4s.4p(3Po),Fe a3G;v=3d7(2G)4s,2.4034e-07,-3.12473886430614
Fe w5Go;v=3d6(3G)4s.4p(3Po),Fe a1H;v=3d7(2H)4s,3.8982e-07,-2.31010708268191
Fe w5Go;v=3d6(3G)4s.4p(3Po),Fe b3F{2};v=3d6.4s2,4.0981e-07,-3.27480587621951
Fe w5Go;v=3d6(3G)4s.4p(3Po),Fe a5F;v=3d7(4F)4s,5.6079e-07,-4.87221739383788
Fe 1Do;v=3d6(3P{2})4s.4p(3Po),Fe z7Fo;v=3d6(5D)4s.4p(3Po),3.0661e-08,-3.03801391814504
Fe 1Do;v=3d6(3P{2})4s.4p(3Po),Fe a3H;v=3d6.4s2,5.9993e-08,-3.41169367186851
