Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
Fe x3Go;v=3d6(3F{2})4s.4p(3Po),Fe a3H;v=3d6.4s2,6.4008e-07,-3.50273316860346
Fe x3Go;v=3d6(3F{2})4s.4p(3Po),Fe c3P;v=3d7(2P)4s,8.2522e-07,-2.8761562809565904
Fe x3Go;v=3d6(3F{2})4s.4p(3Po),Fe z5Do;v=3d6(5D)4s.4p(3Po),3.5661e-06,-2.7131332191878506
Fe e3F;v=3d7(4F)5s,Fe a5F;v=3d7(4F)4s,1.0168e-08,-4.983540237523449
Fe e3F;v=3d7(4F)5s,Fe a5P;v=3d7(4P)4s,9.5132e-08,-3.77190905224946
Fe e3F;v=3d7(4F)5s,Fe c3P;v=3d7(2P)4s,1.3271e-07,-2.8836819481931597
Fe e3F;v=3d7(4F)5s,Fe a3H;v=3d6.4s2,1.4235e-07,-3.5102588358400295
Fe e3F;v=3d7(4F)5s,Fe a3G;v=3d7(2G)4s,4.1958e-07,-3.2360617079917096
Fe v5Po;v=3d5(6S)4s2.4p,Fe a1G;v=3d7(2G)4s,1.9738e-08,-2.9517353048019195
Fe v5Po;v=3d5(6S)4s2.4p,Fe z5Po;v=3d6(5D)4s.4p(3Po),4.0803e-07,-2.3642745293978296
Fe v5Po;v=3d5(6S)4s2.4p,Fe a3G;v=3d7(2G)4s,4.4959e-07,-3.2400291108182295
Fe v5Po;v=3d5(6S)4s2.4p,Fe b3G;v=3d6.4s2,5.0317e-07,-3.0498145859344796
Fe v5Po;v=3d5(6S)4s2.4p,Fe a1H;v=3d7(2H)4s,9.7208e-07,-2.425397329194
Fe y5Ho;v=3d6(3G)4s.4p(3Po),Fe z7Fo;v=3d6(5D)4s.4p(3Po),2.2446e-08,-3.15015503866358
Fe y5Ho;v=3d6(3G)4s.4p(3Po),Fe a3H;v=3d6.4s2,3.2439e-08,-3.52383479238705
Fe y5Ho;v=3d6(3G)4s.4p(3Po),Fe c3P;v=3d7(2P)4s,5.176e-08,-2.8972579047401803
Fe y5Ho;v=3d6(3G)4s.4p(3Po),Fe a5P;v=3d7(4P)4s,5.585e-08,-3.7854850087964804
Fe y5Ho;v=3d6(3G)4s.4p(3Po),Fe a1I;v=3d6.4s2,2.3504e-07,-2.37301521375003
Fe x3Po;v=3d7(4P)4p,Fe a3G;v=3d7(2G)4s,3.3124e-07,-3.2515717734166603
Fe x3Po;v=3d7(4P)4p,Fe b3F{2};v=3d6.4s2,3.6271e-07,-3.4016387853300305
Fe x3Po;v=3d7(4P)4p,Fe a3F;v=3d7(4F)4s,6.5288e-07,-4.525252023032911
Fe x3Po;v=3d7(4P)4p,Fe b3G;v=3d6.4s2,1.4409e-06,-3.0613572485329104
Fe x3Po;v=3d7(4P)4p,Fe a1G;v=3d7(2G)4s,3.7418e-06,-2.96327796740035
Fe z1Ho;v=3d7(2G)4p,Fe a1G;v=3d7(2G)4s,3.5771e-08,-2.9913969349333596
Fe z1Ho;v=3d7(2G)4p,Fe a3G;v=3d7(2G)4s,6.6356e-08,-3.2796907409496696
Fe z1Ho;v=3d7(2G)4p,Fe a1H;v=3d7(2H)4s,4.3702e-07,-2.46505895932544
Fe z1Ho;v=3d7(2G)4p,Fe b3G;v=3d6.4s2,8.2548e-07,-3.0894762160659197
Fe z1Ho;v=3d7(2G)4p,Fe b1G{2};v=3d6.4s2,1.175e-06,-2.3436936272352296
Fe y1Go;v=3d6(3H)4s.4p(3Po),Fe z3Fo;v=3d6(5D)4s.4p(3Po),4.0486e-07,-2.1065793176810996
Fe y1Go;v=3d6(3H)4s.4p(3Po),Fe z3Do;v=3d6(5D)4s.4p(3Po),5.8824e-07,-2.0821921884317995
Fe y1Go;v=3d6(3H)4s.4p(3Po),Fe a1P;v=3d7(2P)4s,2.5641e-06,-2.6361036136840696
Fe y1Go;v=3d6(3H)4s.4p(3Po),Fe a3D;v=3d7(2D{2})4s,3.5714e-06,-2.77444199099152
Fe y1Go;v=3d6(3H)4s.4p(3Po),Fe y5Do;v=3d7(4F)4p,5e-06,-1.83576688036917
Fe w3Fo;v=3d7(2G)4p,Fe a3G;v=3d7(2G)4s,2.7613e-08,-3.3534720353892298
Fe w3Fo;v=3d7(2G)4p,Fe a5P;v=3d7(4P)4s,6.7806e-08,-3.88931937964698
Fe w3Fo;v=3d7(2G)4p,Fe b3F{2};v=3d6.4s2,7.2395e-08,-3.5035390473026
Fe w3Fo;v=3d7(2G)4p,Fe z7Fo;v=3d6(5D)4s.4p(3Po),9.5902e-08,-3.25398940951408
Fe w3Fo;v=3d7(2G)4p,Fe c3P;v=3d7(2P)4s,6.8775e-07,-3.00109227559068
Fe v3Do;v=3d6(3F{2})4s.4p(3Po),Fe a3G;v=3d7(2G)4s,1.5306e-08,-3.3702715067328
Fe v3Do;v=3d6(3F{2})4s.4p(3Po),Fe b3F{2};v=3d6.4s2,1.3726e-07,-3.52033851864617
Fe v3Do;v=3d6(3F{2})4s.4p(3Po),Fe a1G;v=3d7(2G)4s,2.7131e-07,-3.08197770071649
Fe v3Do;v=3d6(3F{2})4s.4p(3Po),Fe z7Fo;v=3d6(5D)4s.4p(3Po),2.9081e-07,-3.27078888085765
Fe v3Do;v=3d6(3F{2})4s.4p(3Po),Fe c3F;v=3d8,6.7435e-07,-2.05306500464905
Fe y3Ho;v=3d7(2G)4p,Fe a1G;v=3d7(2G)4s,6.2963e-08,-3.08743287960297
Fe y3Ho;v=3d7(2G)4p,Fe a1D;v=3d7(2D{2})4s,2.108e-07,-2.5878004842711104
Fe y3Ho;v=3d7(2G)4p,Fe a3G;v=3d7(2G)4s,8.5175e-07,-3.3757266856192802
Fe y3Ho;v=3d7(2G)4p,Fe a1I;v=3d6.4s2,1.3568e-06,-2.4991042348305803
Fe y3Ho;v=3d7(2G)4p,Fe b3G;v=3d6.4s2,1.8633e-06,-3.1855121607355303
Fe v3Go;v=3d7(2G)4p,Fe a3G;v=3d7(2G)4s,1.313e-08,-3.40670962206768
Fe v3Go;v=3d7(2G)4p,Fe b3G;v=3d6.4s2,1.1998e-07,-3.21649509718393
Fe v3Go;v=3d7(2G)4p,Fe a3F;v=3d7(4F)4s,3.2325e-07,-4.68038987168393
Fe v3Go;v=3d7(2G)4p,Fe a3P{2};v=3d6.4s2,7.1728e-07,-3.71184009382908
Fe v3Go;v=3d7(2G)4p,Fe a1G;v=3d7(2G)4s,1.0658e-06,-3.1184158160513697
Fe 1Fo;v=3d6(3F{2})4s.4p(3Po),Fe a3G;v=3d7(2G)4s,1.5476e-08,-3.42203371548514
Fe 1Fo;v=3d6(3F{2})4s.4p(3Po),Fe b3G;v=3d6.4s2,7.6415e-08,-3.23181919060139
Fe 1Fo;v=3d6(3F{2})4s.4p(3Po),Fe a3F;v=3d7(4F)4s,1.5992e-07,-4.69571396510139
Fe 1Fo;v=3d6(3F{2})4s.4p(3Po),Fe a3P{2};v=3d6.4s2,4.0419e-07,-3.72716418724654
Fe 1Fo;v=3d6(3F{2})4s.4p(3Po),Fe b3F{2};v=3d6.4s2,4.3741e-07,-3.57210072739851
Fe w3Po;v=3d7(2P)4p,Fe c3P;v=3d7(2P)4s,2.5513e-08,-3.0821388764563205
Fe w3Po;v=3d7(2P)4p,Fe z7Fo;v=3d6(5D)4s.4p(3Po),2.6892e-08,-3.3350360103797203
Fe w3Po;v=3d7(2P)4p,Fe z5Do;v=3d6(5D)4s.4p(3Po),1.5971e-07,-2.9191158146875806
Fe w3Po;v=3d7(2P)4p,Fe a3H;v=3d6.4s2,5.4973e-07,-3.7087157641031903
Fe w3Po;v=3d7(2P)4p,Fe a1I;v=3d6.4s2,5.6535e-07,-2.5578961854661704
Fe e7F;v=3d6(5D)4s(6D)4d,Fe a1G;v=3d7(2G)4s,2.6613e-08,-3.2250273688804394
Fe e7F;v=3d6(5D)4s(6D)4d,Fe a1D;v=3d7(2D{2})4s,2.198e-07,-2.7253949735485796
Fe e7F;v=3d6(5D)4s(6D)4d,Fe z5Do;v=3d6(5D)4s.4p(3Po),9.0339e-07,-2.9979183533294598
Fe e7F;v=3d6(5D)4s(6D)4d,Fe b3G;v=3d6.4s2,1.0442e-06,-3.3231066500129995
Fe e7F;v=3d6(5D)4s(6D)4d,Fe c3P;v=3d7(2P)4s,1.2974e-06,-3.1609414150981996
Fe f7D;v=3d6(5D)4s(6D)4d,Fe a1G;v=3d7(2G)4s,4.2553e-08,-3.2283872631491595
Fe f7D;v=3d6(5D)4s(6D)4d,Fe a3G;v=3d7(2G)4s,4.3309e-07,-3.5166810691654695
Fe f7D;v=3d6(5D)4s(6D)4d,Fe a3P{2};v=3d6.4s2,1.0571e-06,-3.82181154092687
Fe f7D;v=3d6(5D)4s(6D)4d,Fe a1H;v=3d7(2H)4s,1.5504e-06,-2.70204928754124
Fe f7D;v=3d6(5D)4s(6D)4d,Fe b3H;v=3d7(2H)4s,1.7094e-06,-3.0385460460817195
Fe f5D;v=3d6(5D)4s(6D)4d,Fe z7Do;v=3d6(5D)4s.4p(3Po),7.1153e-09,-3.82379524234013
Fe f5D;v=3d6(5D)4s(6D)4d,Fe z7Po;v=3d6(5D)4s.4p(3Po),2.7333e-08,-3.2674537828566095
Fe f5D;v=3d6(5D)4s(6D)4d,Fe b3P;v=3d7(4P)4s,4.0105e-08,-3.4239306299615797
Fe f5D;v=3d6(5D)4s(6D)4d,Fe a3D;v=3d7(2D{2})4s,5.4156e-08,-3.01408551984756
Fe f5D;v=3d6(5D)4s(6D)4d,Fe b3D;v=3d6.4s2,1.5804e-07,-2.6195521050171595
Fe e7P;v=3d6(5D)4s(6D)4d,Fe z7Do;v=3d6(5D)4s.4p(3Po),2.1735e-08,-3.8386358085381005
Fe e7P;v=3d6(5D)4s(6D)4d,Fe a3D;v=3d7(2D{2})4s,4.1522e-08,-3.0289260860455305
Fe e7P;v=3d6(5D)4s(6D)4d,Fe b3P;v=3d7(4P)4s,9.0954e-08,-3.4387711961595504
Fe e7P;v=3d6(5D)4s(6D)4d,Fe b3D;v=3d6.4s2,1.0852e-07,-2.63439267121513
Fe e7P;v=3d6(5D)4s(6D)4d,Fe z7Po;v=3d6(5D)4s.4p(3Po),2.1656e-07,-3.28229434905458
Fe e5G;v=3d6(5D)4s(6D)4d,Fe z7Do;v=3d6(5D)4s.4p(3Po),9.3181e-09,-3.84695495633997
Fe e5G;v=3d6(5D)4s(6D)4d,Fe b3P;v=3d7(4P)4s,4.5334e-08,-3.44709034396142
Fe e5G;v=3d6(5D)4s(6D)4d,Fe a3D;v=3d7(2D{2})4s,8.8206e-08,-3.0372452338474
Fe e5G;v=3d6(5D)4s(6D)4d,Fe z7Po;v=3d6(5D)4s.4p(3Po),1.2858e-07,-3.2906134968564498
Fe e5G;v=3d6(5D)4s(6D)4d,Fe b3D;v=3d6.4s2,4.2562e-07,-2.642711819017
Fe z1Fo;v=3d7(2G)4p,Fe b3G;v=3d6.4s2,1.2238e-07,-3.39928078428231
Fe z1Fo;v=3d7(2G)4p,Fe z5Do;v=3d6(5D)4s.4p(3Po),1.293e-07,-3.07409248759877
Fe z1Fo;v=3d7(2G)4p,Fe a3G;v=3d7(2G)4s,1.6378e-07,-3.5894953091660597
Fe z1Fo;v=3d7(2G)4p,Fe b3H;v=3d7(2H)4s,1.9269e-07,-3.1113602860823097
Fe z1Fo;v=3d7(2G)4p,Fe c3P;v=3d7(2P)4s,2.7297e-07,-3.23711554936751
Fe x1Go;v=3d6(3F{2})4s.4p(3Po),Fe z7Do;v=3d6(5D)4s.4p(3Po),9.1459e-09,-3.8667795723387703
Fe x1Go;v=3d6(3F{2})4s.4p(3Po),Fe z7Po;v=3d6(5D)4s.4p(3Po),3.1304e-08,-3.31043811285525
Fe x1Go;v=3d6(3F{2})4s.4p(3Po),Fe b3P;v=3d7(4P)4s,3.4054e-08,-3.4669149599602203
Fe x1Go;v=3d6(3F{2})4s.4p(3Po),Fe a1P;v=3d7(2P)4s,1.0358e-07,-2.91873147253875
Fe x1Go;v=3d6(3F{2})4s.4p(3Po),Fe a3D;v=3d7(2D{2})4s,4.5106e-07,-3.0570698498462003
Fe e7G;v=3d6(5D)4s(6D)4d,Fe a1P;v=3d7(2P)4s,2.5157e-08,-2.93882884748188
Fe e7G;v=3d6(5D)4s(6D)4d,Fe z7Do;v=3d6(5D)4s.4p(3Po),3.7884e-08,-3.8868769472819
Fe e7G;v=3d6(5D)4s(6D)4d,Fe z7Po;v=3d6(5D)4s.4p(3Po),4.3766e-08,-3.3305354877983797
Fe e7G;v=3d6(5D)4s(6D)4d,Fe b3P;v=3d7(4P)4s,9.7109e-08,-3.48701233490335
Fe e7G;v=3d6(5D)4s(6D)4d,Fe z5So;v=3d6(3P{2})4s.4p(3Po),1.7684e-07,-1.2695069138193302
Fe x3Ho;v=3d6(3G)4s.4p(3Po),Fe b3G;v=3d6.4s2,3.1746e-07,-3.42504410638707
Fe x3Ho;v=3d6(3G)4s.4p(3Po),Fe a1G;v=3d7(2G)4s,5.8824e-07,-3.32696482525451
Fe x3Ho;v=3d6(3G)4s.4p(3Po),Fe c3F;v=3d8,5.5556e-06,-2.29805212918707
Fe x3Ho;v=3d6(3G)4s.4p(3Po),Fe a1H;v=3d7(2H)4s,8.3333e-06,-2.8006268496465903
Fe t5Do;v=3d6(5D)4s(6D)5p,Fe b3P;v=3d7(4P)4s,5.684e-09,-3.51139946415265
Fe t5Do;v=3d6(5D)4s(6D)5p,Fe a1P;v=3d7(2P)4s,1.544e-07,-2.96321597673118
Fe t5Do;v=3d6(5D)4s(6D)5p,Fe a3D;v=3d7(2D{2})4s,1.6175e-07,-3.10155435403863
Fe t5Do;v=3d6(5D)4s(6D)5p,Fe z7Do;v=3d6(5D)4s.4p(3Po),3.582e-07,-3.9112640765312
Fe t5Do;v=3d6(5D)4s(6D)5p,Fe z5So;v=3d6(3P{2})4s.4p(3Po),3.7312e-07,-1.2938940430686303
Fe f5F;v=3d6(5D)4s(6D)4d,Fe z7Po;v=3d6(5D)4s.4p(3Po),8.8253e-09,-3.35533175546417
Fe f5F;v=3d6(5D)4s(6D)4d,Fe z7Do;v=3d6(5D)4s.4p(3Po),4.9925e-08,-3.9116732149476903
Fe f5F;v=3d6(5D)4s(6D)4d,Fe b3P;v=3d7(4P)4s,2.849e-07,-3.51180860256914
Fe f5F;v=3d6(5D)4s(6D)4d,Fe a3D;v=3d7(2D{2})4s,8.3333e-07,-3.1019634924551203
Fe f5F;v=3d6(5D)4s(6D)4d,Fe b3D;v=3d6.4s2,1.0309e-06,-2.70743007762472
Fe v3Fo;v=3d7(2D{2})4p,Fe a5D;v=3d6.4s2,4.5454e-08,-6.39980510133615
Fe e3D;v=3d6(5D)4s(4D)5s,Fe a5P;v=3d7(4P)4s,5.3763e-08,-4.17849345316543
Fe e3D;v=3d6(5D)4s(4D)5s,Fe c3P;v=3d7(2P)4s,2.0408e-07,-3.29026634910913
Fe e3D;v=3d6(5D)4s(4D)5s,Fe e5D;v=3d6(5D)4s(6D)5s,7.3314e-07,-0.7535833706310502
Fe g5D;v=3d6(5D)4s(4D)5s,Fe b3H;v=3d7(2H)4s,9.2013e-08,-3.1645358820916
Fe g5D;v=3d6(5D)4s(4D)5s,Fe a3G;v=3d7(2G)4s,2.7392e-07,-3.64267090517535
Fe g5D;v=3d6(5D)4s(4D)5s,Fe a3P{2};v=3d6.4s2,3.3131e-07,-3.9478013769367504
Fe g5D;v=3d6(5D)4s(4D)5s,Fe b3G;v=3d6.4s2,3.6136e-07,-3.4524563802916
Fe g5D;v=3d6(5D)4s(4D)5s,Fe a1H;v=3d7(2H)4s,5.8733e-07,-2.8280391235511204
Fe u3Go;v=3d7(2H)4p,Fe z5Do;v=3d6(5D)4s.4p(3Po),1.9121e-08,-3.1369510261315505
Fe u3Go;v=3d7(2H)4p,Fe z5Fo;v=3d6(5D)4s.4p(3Po),3.5759e-08,-2.9960462351206902
Fe u3Go;v=3d7(2H)4p,Fe c3P;v=3d7(2P)4s,7.6827e-08,-3.2999740879002903
Fe u3Go;v=3d7(2H)4p,Fe a1D;v=3d7(2D{2})4s,8.7802e-08,-2.8644276463506704
Fe u3Go;v=3d7(2H)4p,Fe b1D{2};v=3d6.4s2,5.3737e-07,-2.11654840911509
Fe e7S;v=3d6(5D)4s(6D)4d,Fe a3D;v=3d7(2D{2})4s,5.6659e-08,-3.1248256512429804
Fe e7S;v=3d6(5D)4s(6D)4d,Fe a1P;v=3d7(2P)4s,1.1037e-07,-2.98648727393553
Fe e7S;v=3d6(5D)4s(6D)4d,Fe z5So;v=3d6(3P{2})4s.4p(3Po),1.33e-07,-1.3171653402729806
Fe e7S;v=3d6(5D)4s(6D)4d,Fe z7Do;v=3d6(5D)4s.4p(3Po),1.8316e-07,-3.9345353737355504
Fe e7S;v=3d6(5D)4s(6D)4d,Fe y7Po;v=3d5(6S)4s2.4p,2.6559e-07,-1.3964266098666807
Fe u5Fo;v=3d6(5D)4s(6D)5p,Fe c3P;v=3d7(2P)4s,5.8823e-07,-3.30664428390239
Fe u5Fo;v=3d6(5D)4s(6D)5p,Fe a1D;v=3d7(2D{2})4s,1.9231e-06,-2.87109784235277
Fe 1Ho;v=3d6(3H)4s.4p(3Po),Fe a3G;v=3d7(2G)4s,4.4143e-08,-3.6669216549524895
Fe 1Ho;v=3d6(3H)4s.4p(3Po),Fe b3H;v=3d7(2H)4s,5.4569e-08,-3.1887866318687395
Fe 1Ho;v=3d6(3H)4s.4p(3Po),Fe a1G;v=3d7(2G)4s,8.5247e-08,-3.3786278489361794
Fe 1Ho;v=3d6(3H)4s.4p(3Po),Fe a3P{2};v=3d6.4s2,1.1425e-07,-3.9720521267138897
Fe 1Ho;v=3d6(3H)4s.4p(3Po),Fe b3G;v=3d6.4s2,2.0216e-07,-3.4767071300687395
Fe u5Po;v=3d6(5D)4s(6D)5p,Fe a5D;v=3d6.4s2,3.8462e-08,-6.44018582322989
Fe y1Do;v=3d7(2P)4p,Fe b3D;v=3d6.4s2,3.002e-08,-2.7631720873374195
Fe y1Do;v=3d7(2P)4p,Fe a3D;v=3d7(2D{2})4s,8.0052e-08,-3.1577055021678198
Fe y1Do;v=3d7(2P)4p,Fe a1P;v=3d7(2P)4s,1.1042e-07,-3.0193671248603695
Fe y1Do;v=3d7(2P)4p,Fe z7Po;v=3d6(5D)4s.4p(3Po),1.6282e-07,-3.4110737651768694
Fe y1Do;v=3d7(2P)4p,Fe y3Fo;v=3d7(4F)4p,4.0026e-07,-1.8113797511198593
Fe x1Do;v=3d6(3H)4s.4p(3Po),Fe z3Do;v=3d6(5D)4s.4p(3Po),3.4915e-08,-2.46796012264234
Fe x1Do;v=3d6(3H)4s.4p(3Po),Fe z3Fo;v=3d6(5D)4s.4p(3Po),6.6505e-08,-2.49234725189164
Fe x1Do;v=3d6(3H)4s.4p(3Po),Fe y5Fo;v=3d7(4F)4p,1.5518e-07,-2.16772691374494
Fe x1Do;v=3d6(3H)4s.4p(3Po),Fe b3D;v=3d6.4s2,1.8621e-07,-2.76567651037166
Fe x1Do;v=3d6(3H)4s.4p(3Po),Fe y5Do;v=3d7(4F)4p,2.2286e-07,-2.2215348145797105
Fe e5P;v=3d6(5D)4s(6D)4d,Fe z5Do;v=3d6(5D)4s.4p(3Po),1.8727e-08,-3.1955322084919806
Fe e5P;v=3d6(5D)4s(6D)4d,Fe c3P;v=3d7(2P)4s,2.1739e-08,-3.3585552702607204
Fe e5P;v=3d6(5D)4s(6D)4d,Fe a3H;v=3d6.4s2,7.6336e-08,-3.9851321579075902
Fe e5P;v=3d6(5D)4s(6D)4d,Fe a1D;v=3d7(2D{2})4s,1.4925e-07,-2.9230088287111005
Fe u3Do;v=3d7(2P)4p,Fe a1P;v=3d7(2P)4s,3.6438e-08,-3.04882509084733
Fe u3Do;v=3d7(2P)4p,Fe y5Do;v=3d7(4F)4p,4.7649e-08,-2.2484883575324304
Fe u3Do;v=3d7(2P)4p,Fe z3Do;v=3d6(5D)4s.4p(3Po),5.2054e-08,-2.49491366559506
Fe u3Do;v=3d7(2P)4p,Fe b3P;v=3d7(4P)4s,6.5342e-08,-3.5970085782688
Fe u3Do;v=3d7(2P)4p,Fe b3D;v=3d6.4s2,7.2875e-08,-2.79263005332438
Fe 1Po;v=3d7(2P)4p,Fe c3P;v=3d7(2P)4s,1.4118e-08,-3.39967988018444
Fe 1Po;v=3d7(2P)4p,Fe a3H;v=3d6.4s2,4.5334e-08,-4.02625676783131
Fe 1Po;v=3d7(2P)4p,Fe z5Do;v=3d6(5D)4s.4p(3Po),7.0268e-08,-3.2366568184157
Fe 1Po;v=3d7(2P)4p,Fe z5Fo;v=3d6(5D)4s.4p(3Po),1.3721e-07,-3.09575202740484
Fe 1Po;v=3d7(2P)4p,Fe b3F{2};v=3d6.4s2,1.5721e-07,-3.90212665189636
Fe t3Do;v=3d7(2D{2})4p,Fe b3H;v=3d7(2H)4s,2.2655e-08,-3.3056886357791098
Fe t3Do;v=3d7(2D{2})4p,Fe a3P{2};v=3d6.4s2,1.5873e-07,-4.08895413062426
Fe t3Do;v=3d7(2D{2})4p,Fe b3G;v=3d6.4s2,2.7778e-07,-3.59360913397911
Fe t3Do;v=3d7(2D{2})4p,Fe a3G;v=3d7(2G)4s,1.7452e-06,-3.7838236588628598
Fe w3Ho;v=3d7(2H)4p,Fe a3H;v=3d6.4s2,1.988e-08,-4.0690675239562895
Fe w3Ho;v=3d7(2H)4p,Fe c3P;v=3d7(2P)4s,2.3435e-08,-3.4424906363094196
Fe w3Ho;v=3d7(2H)4p,Fe z5Do;v=3d6(5D)4s.4p(3Po),3.1117e-08,-3.27946757454068
Fe w3Ho;v=3d7(2H)4p,Fe z7Fo;v=3d6(5D)4s.4p(3Po),4.0771e-08,-3.6953877702328195
Fe w3Ho;v=3d7(2H)4p,Fe b3F{2};v=3d6.4s2,8.1613e-08,-3.9449374080213397
Fe y3Io;v=3d7(2H)4p,Fe b3H;v=3d7(2H)4s,1.1317e-08,-3.32184340416338
Fe y3Io;v=3d7(2H)4p,Fe a1H;v=3d7(2H)4s,3.4722e-08,-2.9853466456229003
Fe y3Io;v=3d7(2H)4p,Fe a3P{2};v=3d6.4s2,1.9531e-07,-4.10510889900853
Fe y3Io;v=3d7(2H)4p,Fe z5Po;v=3d6(5D)4s.4p(3Po),5.1021e-07,-2.92422384582673
Fe v3Po;v=3d7(2D{2})4p,Fe z5Do;v=3d6(5D)4s.4p(3Po),7.6923e-08,-3.2913449867526006
Fe v3Po;v=3d7(2D{2})4p,Fe a1I;v=3d6.4s2,7.6923e-07,-2.9301253575311903
Fe x3Fo;v=3d6(3G)4s.4p(3Po),Fe a1H;v=3d7(2H)4s,2.0161e-08,-3.00946101592788
Fe x3Fo;v=3d6(3G)4s.4p(3Po),Fe b3H;v=3d7(2H)4s,2.907e-08,-3.3459577744683595
Fe x3Fo;v=3d6(3G)4s.4p(3Po),Fe z5Po;v=3d6(5D)4s.4p(3Po),3.367e-07,-2.9483382161317095
Fe g5F;v=3d7(4F)4d,Fe z7Fo;v=3d6(5D)4s.4p(3Po),2.5079e-08,-3.74152122622503
Fe g5F;v=3d7(4F)4d,Fe c3P;v=3d7(2P)4s,3.2228e-08,-3.48862409230163
Fe g5F;v=3d7(4F)4d,Fe z5Fo;v=3d6(5D)4s.4p(3Po),3.2834e-08,-3.18469623952203
Fe g5F;v=3d7(4F)4d,Fe a3H;v=3d6.4s2,3.9095e-08,-4.1152009799485
Fe g5F;v=3d7(4F)4d,Fe z5Do;v=3d6(5D)4s.4p(3Po),1.0772e-07,-3.3256010305328902
Fe 1Io;v=3d7(2H)4p,Fe z5Do;v=3d6(5D)4s.4p(3Po),1.3699e-07,-3.33786278489362
Fe h5D;v=3d7(4F)4d,Fe a1D;v=3d7(2D{2})4s,1.8868e-07,-3.10653840383945
Fe h5D;v=3d7(4F)4d,Fe b1G{2};v=3d6.4s2,3.7037e-07,-2.9584674914731797
Fe f5P;v=3d7(4F)4d,Fe a1G;v=3d7(2G)4s,3.8284e-08,-3.61884169194853
Fe f5P;v=3d7(4F)4d,Fe b3H;v=3d7(2H)4s,1.0591e-07,-3.42900047488109
Fe f5P;v=3d7(4F)4d,Fe a1D;v=3d7(2D{2})4s,1.6935e-07,-3.11920929661667
Fe f5P;v=3d7(4F)4d,Fe b1G{2};v=3d6.4s2,4.895e-07,-2.9711383842503998
Fe f5P;v=3d7(4F)4d,Fe a5P;v=3d7(4P)4s,5.4359e-07,-4.44298284222259
Fe f5G;v=3d7(4F)4d,Fe z5Fo;v=3d6(5D)4s.4p(3Po),4e-08,-3.25641944374533
Fe f5G;v=3d7(4F)4d,Fe a1I;v=3d6.4s2,1.2195e-07,-3.03610460553478
Fe 3Fo;v=3d7(4F)5p,Fe b3H;v=3d7(2H)4s,1.1364e-07,-3.4448948824548595
Fe 3Fo;v=3d7(4F)5p,Fe z5Do;v=3d6(5D)4s.4p(3Po),1.4286e-07,-3.40762708397132
Fe 3Fo;v=3d7(4F)5p,Fe a1I;v=3d6.4s2,1.2658e-06,-3.0464074547499096
Fe 3Fo;v=3d7(4F)5p,Fe c3F;v=3d8,2.5e-06,-2.6058234034548597
Fe e5H;v=3d7(4F)4d,Fe a3D;v=3d7(2D{2})4s,1.1652e-07,-3.3939519423536404
Fe e5H;v=3d7(4F)4d,Fe a1P;v=3d7(2P)4s,1.4435e-07,-3.25561356504619
Fe e5H;v=3d7(4F)4d,Fe y5Fo;v=3d7(4F)4p,2.6139e-07,-2.4014689308965202
Fe e5H;v=3d7(4F)4d,Fe z3Po;v=3d6(5D)4s.4p(3Po),4.8357e-07,-2.38454547821462
Fe e5H;v=3d7(4F)4d,Fe z3Do;v=3d6(5D)4s.4p(3Po),1.2242e-06,-2.70170213979392
Fe 5Fo;v=3d7(4F)5p,Fe z5Do;v=3d6(5D)4s.4p(3Po),3.2258e-07,-3.4216617714701605
Fe e3G;v=3d7(4F)4d,Fe b3H;v=3d7(2H)4s,4.2553e-08,-3.4600578001325
Fe e3G;v=3d7(4F)4d,Fe a3G;v=3d7(2G)4s,5.1813e-07,-3.93819282321625
Fe e3G;v=3d7(4F)4d,Fe c3F;v=3d8,1.5174e-06,-2.6209863211325004
Fe f3D;v=3d7(4F)4d,Fe z7Do;v=3d6(5D)4s.4p(3Po),5.5526e-08,-4.22839594184284
Fe f3D;v=3d7(4F)4d,Fe b3P;v=3d7(4P)4s,5.7771e-08,-3.82853132946429
Fe f3D;v=3d7(4F)4d,Fe z7Po;v=3d6(5D)4s.4p(3Po),1.2012e-07,-3.6720544823593197
Fe f3D;v=3d7(4F)4d,Fe n7Fo;v=3d6(5D)4s(6D)5p,2.6509e-07,-0.5413717047531801
Fe f3D;v=3d7(4F)4d,Fe n7Do;v=3d6(5D)4s(6D)5p,5.2962e-07,-0.5916834558531798
Fe x1Fo;v=3d7(2D{2})4p,Fe a3D;v=3d7(2D{2})4s,3.795e-08,-3.41966567192306
Fe x1Fo;v=3d7(2D{2})4p,Fe y5Do;v=3d7(4F)4p,1.4291e-07,-2.48099056130071
Fe x1Fo;v=3d7(2D{2})4p,Fe a1P;v=3d7(2P)4s,2.2307e-07,-3.28132729461561
Fe x1Fo;v=3d7(2D{2})4p,Fe y5Po;v=3d6(5D)4s.4p(1Po),3.1538e-07,-2.05950360351759
Fe x1Fo;v=3d7(2D{2})4p,Fe z3Po;v=3d6(5D)4s.4p(3Po),5.0811e-07,-2.4102592077840397
Fe g7D;v=3d6(5D)4s(6D)6s,Fe z5Go;v=3d7(4F)4p,1.0044e-07,-2.2960475989154103
Fe g7D;v=3d6(5D)4s(6D)6s,Fe a1P;v=3d7(2P)4s,2.4431e-07,-3.31146715796338
