obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""3.94112""","=""""","=""2.69e+10""",D+,"=""1.53593""","=""316.127""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.3d""","=""3D*""","=""2""",5,5,,"=""u31""","=""""",
"=""""","=""3.94317""","=""""","=""2.94e+06""",E',"=""1.53593""","=""315.964""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.3d""","=""3D*""","=""1""",5,3,,"=""u31""","=""""",
"=""3.9572""","=""3.95718""","=""30g,bl*""","=""1.13e+11""",C+,"=""0.64571""","=""313.960""","=""2s2.2p2""","=""3P""","=""1""","=""2s2.2p.3d""","=""1D*""","=""2""",3,5,,"=""u31""","=""L7069""",
"=""3.9572""","=""3.9572""","=""30bl*""","=""2.39e+12""",C,"=""44.058""","=""357.37""","=""2s.2p3""","=""3D*""","=""3""","=""2s.2p2.(2D).3d""","=""3F""","=""4""",7,9,,"=""T5052""","=""L7069""",
"=""3.9648""","=""3.96454""","=""50*""","=""6.70e+10""",C+,"=""8.32508""","=""321.058?""","=""2s2.2p2""","=""1D""","=""2""","=""2s2.2p.3d""","=""1P*""","=""1""",5,3,,"=""u31""","=""L7069""",
"=""3.9648""","=""3.96480""","=""50*""","=""2.76e+12""",B+,"=""8.32508""","=""321.037""","=""2s2.2p2""","=""1D""","=""2""","=""2s2.2p.3d""","=""1F*""","=""3""",5,7,,"=""u31""","=""L7069""",
"=""""","=""3.96846""","=""""","=""1.45e+10""",C+,"=""1.53593""","=""313.960""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.3d""","=""1D*""","=""2""",5,5,,"=""u31""","=""""",
"=""3.9717""","=""3.97167""","=""30bl""","=""2.45e+12""",C,"=""66.359""","=""378.530""","=""2s.2p3""","=""3S*""","=""1""","=""2s.2p2.(2P).3d""","=""3P""","=""2""",3,5,,"=""T5052""","=""L7069""",
"=""""","=""4.00809""","=""""","=""4.46e+09""",C,"=""8.32508""","=""317.660""","=""2s2.2p2""","=""1D""","=""2""","=""2s2.2p.3d""","=""3P*""","=""1""",5,3,,"=""u31""","=""""",
"=""""","=""4.01016""","=""""","=""4.50e+10""",C+,"=""8.32508""","=""317.500""","=""2s2.2p2""","=""1D""","=""2""","=""2s2.2p.3d""","=""3P*""","=""2""",5,5,,"=""u31""","=""""",
"=""""","=""4.01883""","=""""","=""2.55e+08""",D+,"=""8.32508""","=""316.833""","=""2s2.2p2""","=""1D""","=""2""","=""2s2.2p.3d""","=""3D*""","=""3""",5,7,,"=""u31""","=""""",
"=""""","=""4.02805""","=""""","=""2.93e+10""",C+,"=""8.32508""","=""316.127""","=""2s2.2p2""","=""1D""","=""2""","=""2s2.2p.3d""","=""3D*""","=""2""",5,5,,"=""u31""","=""""",
"=""""","=""4.03019""","=""""","=""1.67e+09""",C,"=""8.32508""","=""315.964""","=""2s2.2p2""","=""1D""","=""2""","=""2s2.2p.3d""","=""3D*""","=""1""",5,3,,"=""u31""","=""""",
"=""4.0566""","=""4.05661""","=""40""","=""5.57e+11""",B,"=""8.32508""","=""313.960""","=""2s2.2p2""","=""1D""","=""2""","=""2s2.2p.3d""","=""1D*""","=""2""",5,5,,"=""u31""","=""L7069""",
"=""4.0707""","=""4.07070""","=""40bl""","=""1.62e+12""",B+,"=""16.4811""","=""321.058?""","=""2s2.2p2""","=""1S""","=""0""","=""2s2.2p.3d""","=""1P*""","=""1""",1,3,,"=""u31""","=""L7069""",
