Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""2s2.2p4.(1D).3d""","=""2G""","=""9/2""",10,"=""""","=""381.65""","=""""","=""0.04""","=""  97                                       ""","=""L11908"""
"=""2s2.2p4.(1D).3d""","=""2G""","=""7/2""",8,"=""""","=""381.66""","=""""","=""0.04""","=""  96                                       ""","=""L11908"""
"=""2s2.2p4.(1D).3d""","=""2S""","=""1/2""",2,"=""""","=""383.64""","=""""","=""0.04""","=""  95                                       ""","=""L2181"""
"=""2s2.2p4.(1D).3d""","=""2F""","=""5/2""",6,"=""""","=""384.12""","=""""","=""0.04""","=""  86         :    13  2s2.2p4.(1D).3d 2D   ""","=""L2181"""
"=""2s2.2p4.(1D).3d""","=""2F""","=""7/2""",8,"=""""","=""384.34""","=""""","=""0.04""","=""  97                                       ""","=""L11908"""
"=""2s2.2p4.(1D).3d""","=""2D""","=""5/2""",6,"=""""","=""385.31""","=""""","=""0.04""","=""  71         :    16  2s2.2p4.(3P).3d 2D   ""","=""L2181"""
"=""2s2.2p4.(1D).3d""","=""2D""","=""3/2""",4,"=""""","=""386.26""","=""""","=""0.04""","=""  77         :    22  2s2.2p4.(3P).3d 2D   ""","=""L2181"""
"=""2s2.2p4.(1D).3d""","=""2P""","=""3/2""",4,"=""""","=""385.33""","=""""","=""0.04""","=""  77         :    20  2s2.2p4.(3P).3d 2P   ""","=""L2181"""
"=""2s2.2p4.(1D).3d""","=""2P""","=""1/2""",2,"=""(""","=""386.22""","="")""","=""""","=""  72         :    25  2s2.2p4.(3P).3d 2P   ""","=""L11908"""
"=""2s2.2p4.(1S).3d""","=""2D""","=""5/2""",6,"=""""","=""393.81""","=""""","=""0.04""","=""  95                                       ""","=""L2181"""
"=""2s2.2p4.(1S).3d""","=""2D""","=""3/2""",4,"=""""","=""394.16""","=""""","=""0.04""","=""  93                                       ""","=""L2181"""
"=""2s.2p5.(3P*).3s""","=""2P*""","=""3/2""",4,"=""""","=""404.91""","=""""","=""0.03""","=""                                           ""","=""L2181"""
"=""2s.2p5.(3P*).3s""","=""2P*""","=""1/2""",2,"=""""","=""406.64""","=""""","=""0.03""","=""                                           ""","=""L2181"""
"=""2s2.2p4.(3P<2>).4f""","=""2[4]*""","=""7/2""",8,"=""""","=""462.24""","=""""","=""0.06""","=""                                           ""","=""L11908"""
"=""2s2.2p4.(3P<2>).4f""","=""2[4]*""","=""9/2""",10,"=""""","=""462.24""","=""""","=""0.06""","=""                                           ""","=""L11908"""
"=""2s2.2p4.(3P<2>).4f""","=""2[5]*""","=""11/2""",12,"=""""","=""462.25""","=""""","=""0.06""","=""                                           ""","=""L11908"""
"=""2s2.2p4.(3P<2>).4f""","=""2[5]*""","=""9/2""",10,"=""""","=""462.31""","=""""","=""0.06""","=""                                           ""","=""L11908"""
"=""K XII (2p4 3P<2>)""","=""Limit""","=""---""",,"=""[""","=""565.6""","=""]""","=""0.7""","=""                                           ""","=""L11770"""
