obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""3.5563""","=""0.0010""","=""3.5564""","=""0.0013""","=""4""","=""9.00e+10""",,"=""0.000""","=""348.62""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1S).3s""","=""2S""","=""1/2""",4,2,,"=""T6437""","=""L2181""",
"=""3.5865""","=""0.0010""","=""3.5864""","=""0.0003""","=""4""","=""9.81e+10""",,"=""2.9130""","=""348.62""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(1S).3s""","=""2S""","=""1/2""",2,2,,"=""T6437""","=""L2181""",
"=""3.6660""","=""0.0010""","=""3.6660""","=""0.0014""","=""20""","=""1.92e+11""",,"=""0.000""","=""338.20""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(1D).3s""","=""2D""","=""5/2""",4,6,,"=""T6437""","=""L2181""",
"=""3.6968""","=""0.0010""","=""3.6969""","=""0.0003""","=""10""","=""1.98e+11""",,"=""2.9130""","=""338.29""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(1D).3s""","=""2D""","=""3/2""",2,4,,"=""T6437""","=""L2181""",
"=""3.7236""","=""0.0010""","=""3.7236""","=""0.0014""","=""6""","=""2.04e+11""",,"=""0.000""","=""332.97""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).3s""","=""2P""","=""1/2""",4,2,,"=""T6437""","=""L2181""",
"=""3.7431""","=""0.0010""","=""3.7432""","=""0.0014""","=""20""","=""3.75e+11""",,"=""0.000""","=""331.22""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).3s""","=""2P""","=""3/2""",4,4,,"=""T6437""","=""L2181""",
"=""3.7564""","=""0.0010""","=""3.7564""","=""0.0004""","=""10""","=""3.04e+11""",,"=""2.9130""","=""332.97""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(3P).3s""","=""2P""","=""1/2""",2,2,,"=""T6437""","=""L2181""",
"=""3.7692""","=""0.0010""","=""3.7693""","=""0.0015""","=""10""","=""8.14e+10""",,"=""0.000""","=""328.93""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""",4,4,,"=""T6437""","=""L2181""",
"=""3.7766""","=""0.0010""","=""3.7764""","=""0.0004""","=""5""","=""4.31e+10""",,"=""2.9130""","=""331.22""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(3P).3s""","=""2P""","=""3/2""",2,4,,"=""T6437""","=""L2181""",
"=""3.7871""","=""0.0010""","=""3.7872""","=""0.0015""","=""5""","=""3.40e+09""",,"=""0.000""","=""327.38""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p4.(3P).3s""","=""4P""","=""5/2""",4,6,,"=""T6437""","=""L2181""",
"=""3.7891""","=""0.0010""","=""3.7892""","=""0.0004""","=""1""","=""6.68e+09""",,"=""2.9130""","=""330.12""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(3P).3s""","=""4P""","=""1/2""",2,2,,"=""T6437""","=""L2181""",
"=""3.8030""","=""0.0010""","=""3.8030""","=""0.0004""","=""3""","=""5.12e+09""",,"=""2.9130""","=""328.93""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""",2,4,,"=""T6437""","=""L2181""",
"=""3.8112""","=""0.0010""","=""3.8111""","=""0.0004""","=""2""","=""""",,"=""81.3214""","=""406.64""","=""2s.2p6""","=""2S""","=""1/2""","=""2s.2p5.(3P*).3s""","=""2P*""","=""1/2""",2,2,,"=""""","=""L2181""",
"=""3.8317""","=""0.0010""","=""3.8316""","=""0.0004""","=""6""","=""""",,"=""81.3214""","=""404.91""","=""2s.2p6""","=""2S""","=""1/2""","=""2s.2p5.(3P*).3s""","=""2P*""","=""3/2""",2,4,,"=""""","=""L2181""",
"=""13.508""","=""0.010""","=""13.508""","=""0.011""","=""20""","=""""",,"=""370.45""","=""462.24""","=""2s2.2p4.(3P).3d""","=""4D""","=""7/2""","=""2s2.2p4.(3P<2>).4f""","=""2[4]*""","=""9/2""",8,10,,"=""""","=""L11908""",
"=""13.538""","=""0.010""","=""13.538""","=""0.011""","=""10""","=""""",,"=""370.65""","=""462.24""","=""2s2.2p4.(3P).3d""","=""4D""","=""5/2""","=""2s2.2p4.(3P<2>).4f""","=""2[4]*""","=""7/2""",6,8,,"=""""","=""L11908""",
"=""13.827""","=""0.010""","=""13.826""","=""0.011""","=""37""","=""""",,"=""372.57""","=""462.25""","=""2s2.2p4.(3P).3d""","=""4F""","=""9/2""","=""2s2.2p4.(3P<2>).4f""","=""2[5]*""","=""11/2""",10,12,,"=""""","=""L11908""",
"=""13.940""","=""0.010""","=""13.941""","=""0.011""","=""10""","=""""",,"=""373.38""","=""462.31""","=""2s2.2p4.(3P).3d""","=""4F""","=""7/2""","=""2s2.2p4.(3P<2>).4f""","=""2[5]*""","=""9/2""",8,10,,"=""""","=""L11908""",
"=""15.2462""","=""0.0005""","=""15.246""","=""0.023""","=""560""","=""3.68e+10""",,"=""0.000""","=""81.3214""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s.2p6""","=""2S""","=""1/2""",4,2,,"=""T6437""","=""L5515""",
"=""15.8135""","=""0.0005""","=""15.8126""","=""0.0005""","=""450""","=""1.62e+10""",,"=""2.9130""","=""81.3214""","=""2s2.2p5""","=""2P*""","=""1/2""","=""2s.2p6""","=""2S""","=""1/2""",2,2,,"=""T6437""","=""L5515""",
"=""49.185""","=""0.010""","=""49.18""","=""0.09""","=""18""","=""4.84e+09""",,"=""348.17""","=""373.38""","=""2s2.2p4.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p4.(3P).3d""","=""4F""","=""7/2""",6,8,,"=""T6437""","=""L11908""",
"=""49.336""","=""0.010""","=""49.33""","=""0.10""","=""16""","=""2.37e+09""",,"=""345.32""","=""370.45""","=""2s2.2p4.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p4.(3P).3d""","=""4D""","=""7/2""",6,8,,"=""T6437""","=""L11908""",
"=""49.566""","=""0.010""","=""49.58""","=""0.10""","=""73""","=""5.05e+09""",,"=""347.56""","=""372.57""","=""2s2.2p4.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p4.(3P).3d""","=""4F""","=""9/2""",8,10,,"=""T6437""","=""L11908""",
"=""49.809""","=""0.010""","=""49.80""","=""0.10""","=""12""","=""4.75e+09""",,"=""356.76""","=""381.66""","=""2s2.2p4.(1D).3p""","=""2F*""","=""5/2""","=""2s2.2p4.(1D).3d""","=""2G""","=""7/2""",6,8,,"=""T6437""","=""L11908""",
"=""49.924""","=""0.010""","=""49.93""","=""0.10""","=""8""","=""3.52e+09""",,"=""359.51""","=""384.34""","=""2s2.2p4.(1D).3p""","=""2D*""","=""5/2""","=""2s2.2p4.(1D).3d""","=""2F""","=""7/2""",6,8,,"=""T6437""","=""L11908""",
"=""49.992""","=""0.010""","=""49.99""","=""0.10""","=""14""","=""4.98e+09""",,"=""350.25""","=""375.05""","=""2s2.2p4.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p4.(3P).3d""","=""2F""","=""7/2""",6,8,,"=""T6437""","=""L11908""",
"=""50.765""","=""0.010""","=""50.76""","=""0.10""","=""20""","=""""",,"=""357.22""","=""381.65""","=""2s2.2p4.(1D).3p""","=""2F*""","=""7/2""","=""2s2.2p4.(1D).3d""","=""2G""","=""9/2""",8,10,,"=""""","=""L11908""",
"=""58.183""","=""0.010""","=""58.20""","=""0.12""","=""7""","=""2.58e+09""",,"=""338.20""","=""359.51""","=""2s2.2p4.(1D).3s""","=""2D""","=""5/2""","=""2s2.2p4.(1D).3p""","=""2D*""","=""5/2""",6,6,,"=""T6437""","=""L11908""",
"=""59.270""","=""0.010""","=""59.22""","=""0.12""","=""6""","=""2.71e+09""",,"=""338.29""","=""359.23""","=""2s2.2p4.(1D).3s""","=""2D""","=""3/2""","=""2s2.2p4.(1D).3p""","=""2D*""","=""3/2""",4,4,,"=""T6437""","=""L11908""",
"=""61.417""","=""0.010""","=""61.43""","=""0.13""","=""27""","=""2.55e+09""",,"=""327.38""","=""347.56""","=""2s2.2p4.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p4.(3P).3p""","=""4D*""","=""7/2""",6,8,,"=""T6437""","=""L11908""",
"=""64.474""","=""0.010""","=""64.45""","=""0.15""","=""5""","=""1.98e+09""",,"=""328.93""","=""348.17""","=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p4.(3P).3p""","=""4D*""","=""5/2""",4,6,,"=""T6437""","=""L11908""",
"=""65.174""","=""0.010""","=""65.16""","=""0.15""","=""11*""","=""1.96e+09""",,"=""331.22""","=""350.25""","=""2s2.2p4.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p4.(3P).3p""","=""2D*""","=""5/2""",4,6,,"=""T6437""","=""L11908""",
"=""65.174""","=""0.010""","=""65.19""","=""0.15""","=""11*""","=""2.12e+09""",,"=""338.20""","=""357.22""","=""2s2.2p4.(1D).3s""","=""2D""","=""5/2""","=""2s2.2p4.(1D).3p""","=""2F*""","=""7/2""",6,8,,"=""T6437""","=""L11908""",
"=""67.175""","=""0.010""","=""67.11""","=""0.16""","=""4""","=""1.65e+09""",,"=""338.29""","=""356.76""","=""2s2.2p4.(1D).3s""","=""2D""","=""3/2""","=""2s2.2p4.(1D).3p""","=""2F*""","=""5/2""",4,6,,"=""T6437""","=""L11908""",
"=""69.095""","=""0.010""","=""69.11""","=""0.17""","=""6""","=""1.53e+09""",,"=""327.38""","=""345.32""","=""2s2.2p4.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p4.(3P).3p""","=""4P*""","=""5/2""",6,6,,"=""T6437""","=""L11908""",
"=""425.63""","=""0.09""","=""426""","=""18""","=""""","=""2.25e+02""",A,"=""0.000""","=""2.9130""","=""2s2.2p5""","=""2P*""","=""3/2""","=""2s2.2p5""","=""2P*""","=""1/2""",4,2,M1,"=""T7438""","=""L6826""",
