obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""5.1316""","=""0.0010""","=""5.1316""","=""0.0003""","=""10""","=""""",,"=""15.8971""","=""257.507?""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2p.6p""","=""3D?""","=""3""",5,7,,"=""""","=""L7429""",
"=""5.1789""","=""0.0010""","=""5.1789""","=""0.0003""","=""10""","=""""",,"=""0.0000""","=""239.402""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.6p""","=""1P*""","=""1""",1,3,,"=""""","=""L7429""",
"=""""","=""""","=""5.3704""","=""0.0003""","=""""","=""5.95e+09""",E,"=""15.6980""","=""246.565""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2p.5p""","=""3P""","=""2""",3,5,,"=""T5633c3,LS""","=""""",
"=""5.3750""","=""0.0010""","=""5.3750""","=""0.0003""","=""10""","=""1.78e+10""",D,"=""15.8971""","=""246.565""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2p.5p""","=""3P""","=""2""",5,5,,"=""T5633c3,LS""","=""L7429""",
"=""5.4380""","=""0.0010""","=""5.4380""","=""0.0003""","=""100""","=""4.44e+10""",D,"=""0.0000""","=""227.996""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.5p""","=""1P*""","=""1""",1,3,,"=""T5633c3""","=""L7429""",
"=""""","=""""","=""5.5324""","=""0.0003""","=""""","=""1.85e+10""",E,"=""15.6073""","=""239.715""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.6d""","=""3D?""","=""1""",1,3,,"=""T5633c3,LS""","=""""",
"=""5.5345""","=""0.0010""","=""5.5346""","=""0.0003""","=""10""","=""2.50e+10""",D,"=""15.6980""","=""239.715""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.6d""","=""3D?""","=""2""",3,5,,"=""T5633c3,LS""","=""L7429""",
"=""""","=""""","=""5.5346""","=""0.0003""","=""""","=""1.39e+10""",E,"=""15.6980""","=""239.715""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.6d""","=""3D?""","=""1""",3,3,,"=""T5633c3,LS""","=""""",
"=""""","=""""","=""5.5395""","=""0.0003""","=""""","=""9.24e+08""",E,"=""15.8971""","=""239.715""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.6d""","=""3D?""","=""1""",5,3,,"=""T5633c3,LS""","=""""",
"=""""","=""""","=""5.5395""","=""0.0003""","=""""","=""8.30e+09""",E,"=""15.8971""","=""239.715""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.6d""","=""3D?""","=""2""",5,5,,"=""T5633c3,LS""","=""""",
"=""5.5396""","=""0.0010""","=""5.5395""","=""0.0003""","=""100""","=""3.32e+10""",D,"=""15.8971""","=""239.715""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.6d""","=""3D?""","=""3""",5,7,,"=""T5633c3,LS""","=""L7429""",
"=""""","=""""","=""5.7046""","=""0.0003""","=""""","=""2.51e+10""",D,"=""40.6020""","=""257.944""","=""1s2.2p2""","=""3P""","=""0""","=""1s2.2p.6d""","=""3D*""","=""1""",1,3,,"=""T5633c3,LS""","=""""",
"=""""","=""""","=""5.7073""","=""0.0003""","=""""","=""1.88e+10""",E,"=""40.7054""","=""257.944""","=""1s2.2p2""","=""3P""","=""1""","=""1s2.2p.6d""","=""3D*""","=""1""",3,3,,"=""T5633c3,LS""","=""""",
"=""""","=""""","=""5.7073""","=""0.0003""","=""""","=""3.38e+10""",D,"=""40.7054""","=""257.944""","=""1s2.2p2""","=""3P""","=""1""","=""1s2.2p.6d""","=""3D*""","=""2""",3,5,,"=""T5633c3,LS""","=""""",
"=""5.7096""","=""0.0010""","=""5.7096""","=""0.0003""","=""10""","=""""",,"=""40.8813""","=""258.032""","=""1s2.2p2""","=""3P""","=""2""","=""1s2.2p.6d""","=""3P*""","=""2""",5,5,,"=""""","=""L7429""",
"=""5.7119""","=""0.0010""","=""5.7119""","=""0.0003""","=""10""","=""4.50e+10""",D+,"=""40.8813""","=""257.944""","=""1s2.2p2""","=""3P""","=""2""","=""1s2.2p.6d""","=""3D*""","=""3""",5,7,,"=""T5633c3,LS""","=""L7429""",
"=""""","=""""","=""5.7119""","=""0.0003""","=""""","=""1.25e+09""",E,"=""40.8813""","=""257.944""","=""1s2.2p2""","=""3P""","=""2""","=""1s2.2p.6d""","=""3D*""","=""1""",5,3,,"=""T5633c3,LS""","=""""",
"=""""","=""""","=""5.7119""","=""0.0003""","=""""","=""1.12e+10""",E,"=""40.8813""","=""257.944""","=""1s2.2p2""","=""3P""","=""2""","=""1s2.2p.6d""","=""3D*""","=""2""",5,5,,"=""T5633c3,LS""","=""""",
"=""5.7230""","=""0.0010""","=""5.7230""","=""0.0003""","=""10""","=""4.04e+10""",D,"=""30.1539""","=""246.796""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2p.5p""","=""1D""","=""2""",3,5,,"=""T5633c3""","=""L7429""",
"=""""","=""""","=""5.8045""","=""0.0003""","=""""","=""3.00e+10""",D,"=""15.6073""","=""229.206?""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.5d""","=""3D?""","=""1""",1,3,,"=""T5633c3,LS""","=""""",
"=""5.8070""","=""0.0010""","=""5.8070""","=""0.0003""","=""10""","=""4.04e+10""",D,"=""15.6980""","=""229.206?""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.5d""","=""3D?""","=""2""",3,5,,"=""T5633c3,LS""","=""L7429""",
"=""""","=""""","=""5.8070""","=""0.0003""","=""""","=""2.24e+10""",E,"=""15.6980""","=""229.206?""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.5d""","=""3D?""","=""1""",3,3,,"=""T5633c3,LS""","=""""",
"=""""","=""""","=""5.8124""","=""0.0003""","=""""","=""1.49e+09""",E,"=""15.8971""","=""229.206?""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.5d""","=""3D?""","=""1""",5,3,,"=""T5633c3,LS""","=""""",
"=""""","=""""","=""5.8124""","=""0.0003""","=""""","=""1.34e+10""",E,"=""15.8971""","=""229.206?""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.5d""","=""3D?""","=""2""",5,5,,"=""T5633c3,LS""","=""""",
"=""""","=""""","=""5.8124""","=""0.0003""","=""""","=""5.37e+10""",D+,"=""15.8971""","=""229.206?""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.5d""","=""3D?""","=""3""",5,7,,"=""T5633c3,LS""","=""""",
"=""""","=""""","=""5.8953""","=""0.0003""","=""""","=""1.12e+10""",E,"=""15.6980""","=""226.008""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2p.4p""","=""3P""","=""2""",3,5,,"=""T5633c3,LS""","=""""",
"=""5.9009""","=""0.0010""","=""5.9009""","=""0.0003""","=""100""","=""3.35e+10""",D,"=""15.8971""","=""226.008""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2p.4p""","=""3P""","=""2""",5,5,,"=""T5633c3,LS""","=""L7429""",
"=""5.9101""","=""0.0010""","=""5.9101""","=""0.0004""","=""10""","=""2.53e+10""",D,"=""30.1539""","=""239.938""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.6d""","=""1D""","=""2""",3,5,,"=""T5633c3""","=""L7429""",
"=""""","=""""","=""5.9193""","=""0.0004""","=""""","=""2.84e+10""",D,"=""15.6980""","=""225.157?""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2p.4p""","=""3D""","=""2""",3,5,,"=""T5633c3,LS""","=""""",
"=""5.9204""","=""0.0010""","=""5.9204""","=""0.0004""","=""300""","=""3.79e+10""",D+,"=""15.8971""","=""225.315""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2p.4p""","=""3D""","=""3""",5,7,,"=""T5633c3,LS""","=""L7429""",
"=""5.9249""","=""0.0010""","=""5.9249""","=""0.0004""","=""10""","=""9.44e+09""",E,"=""15.8971""","=""225.157?""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2p.4p""","=""3D""","=""2""",5,5,,"=""T5633c3,LS""","=""L7429""",
