obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""46.6152""","=""0.001""","=""46.6152""","=""1""","=""""",,"=""0.000000""","=""26.59739""","=""4p6""","=""1S""","=""0""","=""4p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L2590""",
"=""47.4875""","=""0.0005""","=""47.4875""","=""10""","=""""",,"=""0.000000""","=""26.10882""","=""4p6""","=""1S""","=""0""","=""4p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L2590""",
"=""48.1115""","=""0.0005""","=""48.11177""","=""40""","=""""",,"=""0.000000""","=""25.7700351""","=""4p6""","=""1S""","=""0""","=""4p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L2590""",
"=""48.8532""","=""0.0005""","=""48.85348""","=""5""","=""""",,"=""0.000000""","=""25.3787837""","=""4p6""","=""1S""","=""0""","=""4p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L2590""",
"=""49.0344""","=""0.0005""","=""49.03449""","=""3""","=""""",,"=""0.000000""","=""25.285101""","=""4p6""","=""1S""","=""0""","=""4p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",1,3,,"=""""","=""L2590""",
"=""49.7428""","=""0.0005""","=""49.74295""","=""90""","=""""",,"=""0.000000""","=""24.9249767""","=""4p6""","=""1S""","=""0""","=""4p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L2590""",
"=""50.3291""","=""0.0005""","=""50.32920""","=""3""","=""""",,"=""0.000000""","=""24.6346464""","=""4p6""","=""1S""","=""0""","=""4p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""",1,3,,"=""""","=""L2590""",
"=""50.8436""","=""0.0005""","=""50.84342""","=""20""","=""""",,"=""0.000000""","=""24.385495""","=""4p6""","=""1S""","=""0""","=""4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L2590""",
"=""51.3268""","=""0.0005""","=""51.32661""","=""150""","=""""",,"=""0.000000""","=""24.155929""","=""4p6""","=""1S""","=""0""","=""4p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L2590""",
"=""53.0174""","=""0.0002""","=""53.01729""","=""300""","=""""",,"=""0.000000""","=""23.3856146""","=""4p6""","=""1S""","=""0""","=""4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L2590""",
"=""53.3800""","=""0.0005""","=""53.38010""","=""75""","=""""",,"=""0.000000""","=""23.226669""","=""4p6""","=""1S""","=""0""","=""4p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",1,3,,"=""""","=""L2590""",
"=""54.2888""","=""0.0005""","=""54.28866""","=""40""","=""""",,"=""0.000000""","=""22.8379543""","=""4p6""","=""1S""","=""0""","=""4p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",1,3,,"=""""","=""L2590""",
"=""55.5036""","=""0.0002""","=""55.50364""","=""200""","=""""",,"=""0.000000""","=""22.3380312""","=""4p6""","=""1S""","=""0""","=""4p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""",1,3,,"=""""","=""L2590""",
"=""58.9420""","=""0.0001""","=""58.94192""","=""2500""","=""4.8e+10""",,"=""0.000000""","=""21.0349776""","=""4p6""","=""1S""","=""0""","=""4p5.4d""","=""1P*""","=""1""",1,3,,"=""T4631""","=""L2590""",
"=""64.3879""","=""0.0001""","=""64.38784""","=""1500""","=""2.3e+08""",,"=""0.000000""","=""19.2558396""","=""4p6""","=""1S""","=""0""","=""4p5.4d""","=""3D*""","=""1""",1,3,,"=""T4631""","=""L2590""",
"=""69.7048""","=""0.0001""","=""69.70488""","=""3000""","=""1.3e+08""",,"=""0.000000""","=""17.7870182""","=""4p6""","=""1S""","=""0""","=""4p5.4d""","=""3P*""","=""1""",1,3,,"=""T4631""","=""L2590""",
"=""71.1187""","=""0.0001""","=""71.11867""","=""6000""","=""1.7e+09""",,"=""0.000000""","=""17.4334240""","=""4p6""","=""1S""","=""0""","=""4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",1,3,,"=""T4631""","=""L2590""",
"=""74.1455""","=""0.0001""","=""74.14561""","=""10000""","=""8.6e+08""",,"=""0.000000""","=""16.7217180""","=""4p6""","=""1S""","=""0""","=""4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",1,3,,"=""T4631""","=""L2590""",
"=""148.9056""","=""0.0005""","=""148.90557""","=""2""","=""""",,"=""16.7217180""","=""25.0480819""","=""4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""4p5.(2P*<3/2>).5f""","=""2[3/2]""","=""2""",3,5,,"=""""","=""L2590""",
"=""149.0787""","=""0.0005""","=""149.07868""","=""3""","=""""",,"=""17.4334240""","=""25.750119""","=""4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4p5.(2P*<3/2>).6f""","=""2[5/2]""","=""2""",3,5,,"=""""","=""L2590""",
"=""149.1637""","=""0.0005""","=""149.16383""","=""10""","=""""",,"=""17.8482533""","=""26.160201""","=""4p5.4d""","=""3P*""","=""2""","=""4p5.(2P*<3/2>).7f""","=""2[5/2]""","=""3""",5,7,,"=""""","=""L2590""",
"=""149.4258""","=""0.0005""","=""149.42585""","=""5""","=""""",,"=""17.4334240""","=""25.730797""","=""4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4p5.(2P*<3/2>).6f""","=""2[3/2]""","=""2""",3,5,,"=""""","=""L2590""",
"=""150.7262""","=""0.001""","=""150.72620""","=""1""","=""""",,"=""18.4348031""","=""26.660592""","=""4p5.4d""","=""3F*""","=""2""","=""4p5.(2P*<1/2>).6f""","=""2[7/2]""","=""3""",5,7,,"=""""","=""L2590""",
"=""150.8693""","=""0.0005""","=""150.8693""","=""10""","=""""",,"=""18.2049213""","=""26.42291""","=""4p5.4d""","=""3F*""","=""3""","=""4p5.(2P*<3/2>).8f""","=""2[9/2]""","=""4""",7,9,,"=""""","=""L2590""",
"=""151.3707""","=""0.0005""","=""151.37086""","=""5""","=""""",,"=""16.5322523""","=""24.7230096""","=""4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4p5.(2P*<1/2>).4f""","=""2[5/2]""","=""3""",5,7,,"=""""","=""L2590""",
"=""151.6631""","=""0.001""","=""151.6631""","=""1""","=""""",,"=""18.4348031""","=""26.60978""","=""4p5.4d""","=""3F*""","=""2""","=""4p5.(2P*<3/2>).9f""","=""2[7/2]""","=""3""",5,7,,"=""""","=""L2590""",
"=""152.0739""","=""0.0005""","=""152.0739""","=""3""","=""""",,"=""18.0119430""","=""26.164834""","=""4p5.4d""","=""3F*""","=""4""","=""4p5.(2P*<3/2>).7f""","=""2[7/2]""","=""4""",9,9,,"=""""","=""L2590""",
"=""152.2660""","=""0.0005""","=""152.26610""","=""50""","=""""",,"=""18.0119430""","=""26.154544""","=""4p5.4d""","=""3F*""","=""4""","=""4p5.(2P*<3/2>).7f""","=""2[9/2]""","=""5""",9,11,,"=""""","=""L2590""",
"=""152.5260""","=""0.0005""","=""152.52601""","=""25""","=""""",,"=""17.8482533""","=""25.976978""","=""4p5.4d""","=""3P*""","=""2""","=""4p5.(2P*<1/2>).5f""","=""2[5/2]""","=""3""",5,7,,"=""""","=""L2590""",
"=""153.1510""","=""0.0005""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2590""",
"=""154.8592""","=""0.0005""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2590""",
"=""155.0960""","=""0.0005""","=""155.0960""","=""7""","=""""",,"=""18.4348031""","=""26.42883""","=""4p5.4d""","=""3F*""","=""2""","=""4p5.(2P*<3/2>).8f""","=""2[7/2]""","=""3""",5,7,,"=""""","=""L2590""",
