label,energy_eV
Na II (2p6 1S<0>),5.13907696
Na II (2p5.3s 3P*<2>),37.985506
Na II (2p5.3s 3P*<1>),38.080391
Na II (2p5.3s 3P*<0>),38.15379
Na II (2p5.3s 1P*<1>),38.461437
Na II (2s.2p6.3s 3S<1>),70.962
Na II (2s.2p6.3s 1S<0>),71.384
